14年 8月16日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 8月16日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺｽﾓｽ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｌノｰスヒｰロｰ, 20,長岡禎,, 52,*  5,  -6,11, 77.2,①①①, 1, 8,Ｃファイネスト, 66,吉田隼,, 63,   0,*  1, 2,  4.2,⑤⑤⑥, 1,10,Ａサンライズネガノ, 77,勝浦正,, 69,   6,   2, 1,  2.2, ③③, 1, 2,Ｄマイネルサクセサｰ, 51,柴山雄,, 60,  -5,* -5, 1,  2.6,③③②
 2, 7,Ｄレッツイットラン, 48,菱田裕, 0.3, 48,*  5,  -7, 3,  9.2,②②②, 2, 7,Ｂクリュｰサオｰル, 67,藤岡康, 0.0, 63,  -1,*  3, 1,  2.8,⑬⑨⑦, 2,12,Ｅサンレイクウッド, 70,松田大, 0.1, 69,*  8,  -1, 3,  7.3, ①①, 2, 9,Ａグランカマラｰド, 60,藤岡佑, 0.1, 59,  -5,* -5, 2,  2.7,⑤⑥④
 3, 4,Ｃノｰスランドボｰイ, 50,勝浦正, 0.3, 48,   1,* -1, 8, 12.3,⑪⑨⑨, 3,12,Ｆマコトヴォカシオン, 62,福永祐, 0.0, 63,   1,   0, 4,  6.3,②④④, 3, 5,Ｆディアゴッホ, 69,藤岡佑, 0.1, 68,   4,   2, 5, 13.2, ⑤⑤, 3, 4,Ｂラブミｰクン, 57,田中博, 0.5, 53,* -2, -16, 5, 18.9,①①①
 4, 8,Ｋライドオンウインド, 35,古川吉, 0.7, 47,*  4,  -9,10, 34.3,④④④, 4, 3,Ａメイショウトキムネ, 67,古川吉, 0.6, 59,*  2,  -9, 3,  4.4,⑥②②, 4, 9,Ｃベストヒット, 73,長岡禎, 0.1, 70,*  7,   0, 4,  9.7, ②②, 4, 5, パｰティメｰカｰ,---,勝浦正, 0.6, 55,  -6,  -9, 7, 49.6,⑥⑦⑥
 5, 3,Ｂトｰセンミッション, 50,吉田隼, 0.7, 47,  -1,* -2, 6,  9.6,⑨⑫⑪, 5, 1,Ｋクリノカメハメハ, 53,城戸義, 0.7, 58,*  1,  -7,12,113.7,③③③, 5, 2,Ｊクラシックマｰク, 63,池添謙, 0.2, 66,  -6,*  9,11, 54.3, ⑪⑩, 5, 1,Ｆシゲルケンカヤマ, 46,丸田恭, 0.9, 49,  -5, -16, 4,  6.4,⑦⑤⑤
 6, 2,Ｆマゼンタ, 47,三浦皇, 1.0, 44,   3, -10, 2,  5.2,⑦⑥⑤, 6, 4,Ｅブラウンサタｰン, 63,津村明, 0.7, 60,  -3,   0, 8, 31.2,⑫⑩⑨, 6,11,Ｈトウショウハマｰ, 67,村田一, 0.3, 65,  -7,*  8,10, 53.7, ⑫⑪, 6, 7,Ｅペイシャオブロｰ, 48,丹内祐, 1.3, 45,* -4, -25, 3,  4.7,②②③
 7, 9,Ｊティンバレス, 37,福永祐, 1.2, 42,*  4, -14, 4,  9.2,③③③, 7, 2,Ｊダベンポｰト, 54,川島信, 0.7, 60,  -1,  -3,13,190.1,⑦⑧⑤, 7, 7,Ｇモリトブイコｰル, 69,横山和, 0.5, 64,  -4,   4, 8, 19.6, ⑩⑧, 7, 3,Ｃタケルオウジ, 55,井上俊, 1.3, 45,  -6, -19, 6, 24.5,⑧⑧⑧
 8,13,Ａニホンピロサンダｰ, 51,田中博, 1.4, 42,   1, -11, 7, 11.3,⑩⑩⑩, 8,10,Ｈリムショット, 60,横山和, 0.7, 59,  -3,   0, 6, 20.7,⑩⑫⑪, 8, 4,Ｉトラストフェアリｰ, 64,藤岡康, 0.7, 62,   0,   0,12, 69.9, ⑧⑨, 8, 8, ルコンポゼ,---,岩橋勇, 1.5, 42,  -5, -26, 8, 58.1,④④⑦
