14年11月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,渡月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12, 5, アワｰドジャック,---,四位洋, 2.6, 41,  -5, -20, 1,  2.6, ⑧⑨,12,14,Ｊトウケイゴｰルド, 73,義英真, 0.6, 79,  -4,  12,12, 78.1,⑭⑮⑬,12, 1,Ｏネロ, 66,藤田伸, 1.1, 74,* 19, -13, 2,  5.2, ①①
,,,,,,,,,,,,13,14, スズカオパｰル,---,和田竜, 2.9, 37,  -2, -28, 5, 18.5, ⑤⑥,13, 3,Ｂサイモンラムセス, 79,酒井学, 0.6, 77,  -2,   7, 2,  6.5,⑦⑦⑧,13,14,Ｆモエレジュンキン, 79,和田竜, 1.3, 70,  12,  -6,10, 35.3, ⑧⑧
,,,,,,,,,,,,14, 8, グロビュｰル,---,国分優, 3.0, 35,  -1, -30, 8, 25.8, ④④,14,12,Ｒハギノブシドウ, 60,藤岡佑, 0.8, 71,* -1,   0,18,217.7,④⑥⑥,14, 7,Ｐテイエムキュウコｰ, 63,森一馬, 2.9, 58,* 17, -25,16,214.9, ④③
,,,,,,,,,,,,15, 9, パｰプルドリｰム,---,小坂忠, 5.0, 21,*  1, -50,15,164.6, ①①,15, 8,Ｐステイザコｰス, 66,藤岡康, 0.9, 74,  -3,   5,14, 99.3,⑬⑪⑫,15, 6,Ｇイエスイットイズ, 78,小林徹, 3.6, 52,* 16, -31,11, 38.0, ③⑩
,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｎティｰエスネオ, 67,和田竜, 1.1, 69,  -3,  -1,17,205.0,⑩⑨⑨,16,15,Ｈエｰシンレンジャｰ, 78,太宰啓, 3.6, 52,  12, -25, 4,  8.0, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｋプラチナグロｰス, 73,藤田伸, 1.6, 62,* -1, -11,13, 79.4,⑥⑤⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｑテイエムサンビカ, 61,太宰啓, 2.6, 51,  -4, -19,11, 69.8,⑫⑬⑮,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,
"単勝:160円 複勝:01=110円 02=350円 10=140円 枠連:2,560円",,,,,,,,,,,,"単勝:640円 複勝:04=240円 02=3,500円 03=200円 枠連:530円",,,,,,,,,,,,"単勝:1,660円 複勝:04=500円 10=520円 05=380円 枠連:2,130円",,,,,,,,,,,,"単勝:2,840円 複勝:08=820円 10=230円 13=1,780円 枠連:9,030円",,,,,,,,,,,
"馬連:2,550円 ワイド:01-02=590円 01-10=160円 02-10=1,170円",,,,,,,,,,,,"馬連:35,510円 ワイド:02-04=11,950円 03-04=630円 02-03=10,830円",,,,,,,,,,,,"馬連:11,770円 ワイド:04-10=3,380円 04-05=5,000円 05-10=4,570円",,,,,,,,,,,,"馬連:10,260円 ワイド:08-10=3,280円 08-13=24,880円 10-13=5,470円",,,,,,,,,,,
"馬単:3,640円 3連複:2,780円 3連単:13,460円",,,,,,,,,,,,"馬単:58,520円 3連複:55,140円 3連単:369,760円",,,,,,,,,,,,"馬単:23,240円 3連複:68,680円 3連単:363,080円",,,,,,,,,,,,"馬単:24,930円 3連複:143,360円 3連単:875,130円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1400m 2 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,京都ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,KBS京都賞ﾌｧﾝﾀｼﾞｰｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂエイシンバッケン, 63,太宰啓,, 59,  -5,*  9, 2,  5.3, ⑦⑤, 1, 2, エイシンカラット,---,武豊  ,, 71,* -3,*  7, 1,  2.4, ①①, 1,14, オｰスミムｰン,,中村将,,,,, 2,  6.9,①①①, 1, 6,Ｋクｰルホタルビ, 59,小牧太,, 68,  -1,   6,14, 92.3, ③③
 2, 3,Ａピンストライプ, 67,福永祐, 0.1, 56,* -1,  -1, 1,  1.3, ①①, 2, 3, フォロｰガｰネット,---,川田将, 1.2, 57,  -6,  -5, 5, 12.3, ③③, 2, 3, メイショウブシドウ,,高田潤,212.1,,,, 1,  1.2,⑧③③, 2, 1,Ｉダノングラシアス, 61,岩田康, 0.1, 68,  -8,  14, 1,  2.7, ⑧⑨
