14年11月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 8日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,渡月橋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 6, 5,Ｃアンバｰグリスキｰ, 62,岩田康, 0.4, 66, -12,   6, 1,  2.5,⑦⑨⑦, 6, 7,Ａコウユｰアンドレ, 78,国分恭, 0.9, 74,   3,* 10, 4,  5.4,⑩⑩⑩, 6, 2,Ｃフェｰタルロｰズ, 78,小牧太, 0.3, 73,* 12,  -2, 3,  8.2, ②②, 6,10,Ｆアメリ, 79,川田将, 0.6, 74,  -2,  12, 1,  4.4, ③③
 7, 1,Ｆヤマカツボｰイ, 57,松山弘, 0.5, 63, -12,   2, 9, 47.2,③④⑤, 7, 4,Ｆシャドウシティｰ, 69,ルメｰ, 2.1, 64,   5,  -7, 1,  4.0,⑧⑧⑧, 7, 7,Ｊコウエイワンマン, 72,福永祐, 0.3, 73,  11,   0, 4,  9.6, ④④, 7,12,Ｄシルヴァｰグレイス, 80,秋山真, 0.6, 74,  -3,  14, 8, 13.5, ⑥⑥
 8,10,Ｇエｰティｰロゼッタ, 53,藤田伸, 0.5, 61,*-11,   0, 8, 38.7,⑨⑤④, 8,11,Ｇティｰエスハｰツ, 68,和田竜, 2.5, 62,   6, -11, 6, 10.4,⑤⑦⑦, 8, 8,Ｅポセイドンバロｰズ, 76,ルメｰ, 0.5, 72,   7,   5, 5, 13.5, ⑨⑩, 8, 8,Ｍネヴァｰハｰツ, 71,幸英明, 0.7, 75,  -8,* 19,11, 95.2, ⑮⑮
 9, 6,Ｄドンアルフォンス, 60,川須栄, 0.7, 64, -15,   8,11, 97.3,⑪⑬⑫, 9, 3,Ｉマｰティンゴｰルド, 64,太宰啓, 2.7, 62,   9, -18,11,226.9,②③⑤, 9,10,Ｌツィンクルソｰド, 68,藤岡康, 0.7, 69,  11,  -7,10, 46.4, ⑤⑤, 9, 7,Ｈハッピｰエム, 76,小坂忠, 0.7, 73,  -3,  13, 9, 19.0, ⑦⑧
10, 8,Ｊトラベリックス, 45,国分恭, 0.9, 57, -12,  -2,12,156.9,⑥⑥⑩,10, 2,Ｋマヴェリックブルｰ, 60,義英真, 2.9, 60,   2,  -5,10,177.4,⑪⑪⑪,10, 3,Ｉサトノキングリｰ, 72,岩田康, 0.9, 66,  11, -10, 2,  3.7, ③③,10,11,Ｃアｰバンレジェンド, 82,岩田康, 0.9, 71,  -4,  11, 2,  5.5, ⑧⑨
11, 4,Ｍサｰジェントバッジ, 40,ルメｰ, 1.1, 58, -15,   2, 6, 18.4,⑩⑫⑪,11, 5,Ｊビットビバｰチェ, 63,藤岡佑, 4.5, 47,* 10, -36, 8, 16.8,①①③,11, 5,Ｇメイショウエゾフジ, 74,武幸四, 1.1, 65,* 14, -19, 8, 21.9, ①①,11, 2,Ｂサトノジョリｰ, 82,藤岡康, 0.9, 72,  -5,  14,10, 22.6, ⑪⑪
12,14,Ｎスマｰトシルフ, 37,和田竜, 1.2, 51,*-11, -12,10, 65.2,④③③,,,,,,,,,,,,,12, 4,Ｈスリｰアルテミス, 73,池添謙, 1.3, 62,   8, -10,12,141.3, ⑥⑥,12,16,Ｏネオアレクサンドラ, 69,北村友, 1.0, 71, -10,* 18,15,196.9, ⑯⑯
13,11,Ｌコスモジョイジョイ, 43,酒井学, 1.4, 54, -15,  -4,13,186.1,⑬⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,13, 1,Ｌカクシアジ, 73,酒井学, 1.2, 70,  -3,   9,12,101.0, ⑩⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｎシニスタｰクイｰン, 70,義英真, 1.2, 68,  -5,  11,13,138.6, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｊホッコｰアムｰル, 75,藤岡佑, 1.2, 69,  -4,  10,14,161.4, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｐブレイヴフィｰト, 65,川須栄, 1.5, 69,  -8,  12,16,230.4, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,
単勝:680円 複勝:13=240円 07=160円 09=560円 枠連:920円,,,,,,,,,,,,単勝:460円 複勝:09=230円 06=190円 01=500円 枠連:630円,,,,,,,,,,,,"単勝:1,860円 複勝:09=310円 11=110円 12=870円 枠連:1,670円",,,,,,,,,,,,"単勝:940円 複勝:04=420円 03=280円 15=250円 枠連:4,070円",,,,,,,,,,,
"馬連:990円 ワイド:07-13=410円 09-13=2,240円 07-09=1,480円",,,,,,,,,,,,"馬連:1,450円 ワイド:06-09=600円 01-09=1,800円 01-06=1,120円",,,,,,,,,,,,"馬連:1,840円 ワイド:09-11=570円 09-12=5,180円 11-12=2,050円",,,,,,,,,,,,"馬連:3,680円 ワイド:03-04=1,450円 04-15=1,590円 03-15=1,090円",,,,,,,,,,,
"馬単:2,600円 3連複:7,740円 3連単:32,630円",,,,,,,,,,,,"馬単:3,060円 3連複:10,760円 3連単:54,420円",,,,,,,,,,,,"馬単:5,420円 3連複:17,990円 3連単:91,270円",,,,,,,,,,,,"馬単:7,220円 3連複:9,840円 3連単:60,740円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
