14年 4月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾗｼﾞｵ関西賞仲春特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａルスナイプリンセス, 66,秋山真,, 66,*  1,*  4, 3,  5.0, ③③, 1, 7,Ｆファｰガソン, 57,岩田康,, 72,   0,* 16, 2,  6.5,⑩⑪⑧, 1, 4,Ｉチュウワワンダｰ, 66,川島信,, 72,  -2,* 12, 8, 50.2, ⑫⑫, 1, 8,Ｄスミデロキャニオン, 78,川田将,, 83,*  7,   8, 2,  3.5,③③②
 2, 6,Ｆシゲルオワリ, 60,岩田康, 0.0, 69,*  4,   2, 6, 17.5, ①①, 2,16,Ａメドウラｰク, 62,小牧太, 0.4, 66,   1,   6, 1,  2.0,⑪⑩④, 2,10,Ｋドニカナルボｰイ, 60,岩田康, 0.0, 72,   5,   4, 4, 11.9, ③④, 2, 3,Ａサンライズタイセイ, 82,武豊  , 0.2, 82,   4,* 12, 3,  5.6,⑥⑧⑧
 3,11,Ｂマチルダ, 64,藤田伸, 0.1, 67,*  1,*  3, 1,  2.6, ④④, 3, 4,Ｂマイネルプレッジ, 62,シュタ, 0.7, 65,   0,   7, 5,  9.4,⑦⑨⑪, 3, 1,Ａエクチュア, 75,福永祐, 0.2, 71,  -3,* 12, 3,  7.0, ⑬⑬, 2, 2,Ｂテイエムダイパワｰ, 80,松田大, 0.2, 79,*  8,   3, 1,  1.8,①①①
 4,10,Ｄスタｰペスユウコ, 61,小林徹, 0.5, 63,*  2,  -1, 4, 11.0, ②②, 4,11,Ｅマイネボニｰタ, 58,和田竜, 0.9, 62,*  5,  -5, 7, 23.9,②②①, 4,11,Ｃサトノユニコｰン, 74,小牧太, 0.4, 70,   3,   3, 2,  3.5, ⑦⑥, 4, 4,Ｉヴァリアシオン, 72,古川吉, 0.3, 79,   4,*  9, 6, 27.6,⑤⑦④
 5,13,Ｅサンレイフレンチ, 61,幸英明, 0.6, 63,  -6,*  7, 5, 12.1, ⑫⑩, 5,12,Ｃグロリアスカフェ, 60,藤田伸, 0.9, 60,*  2,  -4, 3,  6.8,④③②, 5, 7,Ｆサｰシスリｰフ, 68,川須栄, 0.6, 67,*  7,  -5, 5, 20.3, ①①, 5,10,Ｅベルウッドテラス, 77,浜中俊, 1.0, 71,*  6,  -6, 4, 11.4,④④③
 6, 7,Ｃテイエムリヴィエラ, 62,小牧太, 0.7, 62,  -2,   1, 2,  3.3, ⑦⑤, 6, 6,Ｇエリタｰジュゲラン, 54,川島信, 1.1, 62,  -1,   5, 9, 24.4,⑬⑫⑫, 6, 5,Ｄウタヒメ, 69,松若風, 0.8, 65,   2,   0,11,160.5, ⑧⑧, 6, 6,Ｈハギノサキガチ, 72,高倉稜, 1.0, 73,   4,   2, 9,140.3,⑧⑨⑨
 7, 9,Ｈゴｰルデンロッド, 50,川須栄, 1.1, 59,  -3,   0, 7, 25.2, ⑨⑧, 7, 3,Ｉグレンガイル, 45,浜中俊, 1.4, 57,  -3,   2, 4,  9.0,⑫⑬⑬, 7,14,Ｇスズカアルファ, 67,花田大, 0.8, 65,*  6,  -4, 6, 41.0, ④③, 7, 5,Ｆロｰドエフォｰル, 76,池添謙, 1.5, 68,   4,  -8, 5, 21.5,⑨⑥⑥
 8,16,Ｌノｰザンチェリｰ, 38,中井裕, 1.9, 51, -10,  -2,16,421.2, ⑬⑬, 8,14,Ｍフミノスナイパｰ, 33,藤岡佑, 1.5, 54,   1, -10,10, 26.5,⑨⑦⑤, 8, 3,Ｈスリｰフォスタｰ, 66,難波剛, 0.8, 66,   0,   3,12,230.2, ⑩⑩, 8, 7,Ｊスリｰロブロイ, 71,藤田伸, 2.4, 59,   4, -21, 8, 68.7,⑦⑤⑤
