14年 3月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なにわｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｅオｰシャンブルグ, 56,池添謙,, 64,  -5,* 10, 7, 16.4,⑨⑦⑥, 1,11,Ｄブレイクアウト, 59,横山典,, 68,   4,*  1, 2,  3.4, ⑥④, 1, 3,Ａハッピｰモｰメント, 81,四位洋,, 76,   7,* 10, 1,  2.1, ⑩⑩, 1,11,Ｂダノンレジェンド, 82,和田竜,, 87,* 10,* 12, 4,  6.4, ②②
 2,12,Ｂメイショウブｰケ, 64,幸英明, 0.3, 62,* -3,   2, 1,  3.3,④③①, 2, 4,Ｆガｰトルｰド, 52,シュタ, 0.3, 66,   3,* -1, 6, 11.4, ⑤⑤, 2, 6,Ｋトルストイ, 62,デムｰ, 0.1, 77,   8,*  6, 3,  5.8, ⑧⑦, 2, 9,Ｊエリアコンプリｰト, 76,幸英明, 0.9, 78,   4,   9, 6,  9.3, ⑦⑧
 3,14,Ｄアルマミｰア, 56,岩田康, 0.4, 61,* -4,   3, 3,  5.0,⑥⑤④, 3,16,Ｂキｰアシスト, 64,秋山真, 0.4, 65,   4,  -3, 3,  4.2, ③③, 3, 1,Ｄヴィルジニア, 70,川田将, 0.2, 74,  10,   1, 2,  3.7, ③④, 3,10,Ｌシゲルスダチ, 73,シュタ, 1.1, 77,   8,   4, 5,  8.3, ⑤③
 4, 9,Ａサンエルピス, 67,和田竜, 0.6, 62,  -7,*  7, 2,  3.9,⑫⑨⑨, 4,13,Ｍエンジェルミディ, 42,岩田康, 0.4, 66,*  6,  -5, 5, 10.8, ②②, 4,10,Ｂアウトオブシャドウ, 71,岩田康, 0.3, 73,   9,   2, 4,  6.6, ⑦⑧, 4, 1,Ｃスズカロジック, 81,秋山真, 1.2, 74,  -1,* 11, 9, 50.9, ⑫⑪
 5,10,Ｊロザリンド, 52,デムｰ, 1.2, 53,  -5,  -2, 4,  5.8,⑤⑥⑤, 5, 6,Ｃサダムアリガトウ, 59,川田将, 1.1, 59,   1,  -6, 4, 10.4, ⑦⑦, 5, 9,Ｃシルクブルックリン, 70,シュタ, 0.4, 70,   8,   0, 6, 26.7, ⑨⑨, 5,13,Ａエクセルシオｰル, 86,デムｰ, 1.2, 74,* 12,  -1, 3,  6.1, ①①
 6, 7,Ｆクイズリングテラス, 55,義英真, 1.5, 56, -10,*  6,11,104.7,⑮⑮⑮, 6, 9,Ａタマモホルン, 66,幸英明, 1.5, 58,*  6, -14, 1,  3.4, ①①, 6, 2,Ｇセシリア, 67,幸英明, 0.5, 71,* 13,  -8, 5, 14.6, ①①, 6, 5,Ｉキクノフレヴァン, 78,太宰啓, 1.2, 76,   2,   8,11, 60.0, ⑩⑨
 7, 4,Ｈツキミチャン, 54,武豊  , 1.5, 56,  -6,  -2, 6, 15.1,③⑧⑧, 7, 7,Ｇルｰルウイニング, 51,国分恭, 2.0, 51,   3, -16, 8, 28.4, ④⑥, 7, 5,Ｍコスモサリｰ, 61,国分恭, 0.8, 67,  10,  -7,10, 96.8, ⑥⑥, 7, 2,Ｇコウユｰサムライ, 78,岩田康, 1.2, 75,   4,   6, 2,  5.5, ⑥⑥
 8,13,Ｉウィナｰウェイ, 52,シュタ, 1.6, 53,  -8,   0, 8, 16.7,⑪⑫⑪, 8,12,Ｉスリｰキｰパｰ, 49,四位洋, 2.1, 51,  -2,  -9,10, 97.1, ⑬⑪, 8, 8,Ｎクリｰルハヤテ, 56,池添謙, 0.8, 66,* 11, -10,12,188.0, ④③, 8, 8,Ｆドリｰムコンサｰト, 79,武豊  , 1.3, 75,   7,   2, 1,  3.0, ③④
