14年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月13日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾚｼﾞｪﾝﾄﾞﾄﾚｰﾅｰｽﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 1,Ｉクリエイトアゲン, 37,松岡正, 2.7, 37,  -3, -14,12,142.5, ⑬⑬,12, 2, アンワンワｰルド,---,宮崎北, 1.8, 34, -10, -26,11, 54.7, ⑨⑪,12, 7,Ｌアヴェクトワ, 48,黛弘人, 2.4, 57,   7, -19,12,226.1, ⑩⑩,,,,,,,,,,,,
13, 2,Ｋタｰンブルブルｰ, 35,丸田恭, 3.0, 35,   1, -22,11,126.4, ⑩⑩,13,10, ウインメアリｰ,---,嘉藤貴, 2.2, 30,  -7, -34,13,121.6, ⑪⑩,,,,,,,,,,,,,,,,,,,,,,,,
14, 6,Ｊタマモカチュｰシャ, 35,石川裕, 3.4, 34,   5, -31,13,172.3, ⑤⑤,14, 4, ハワイアンアイ,---,田辺裕, 2.3, 32, -19, -20, 5, 11.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
15, 3,Ｎクリノホンイツ, 23,宮崎北, 3.5, 32,  -4, -19,15,288.4, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 8,Ｐミダレガミ, 15,黛弘人, 6.2, 14,   2, -51,16,312.8, ⑨⑧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,
単勝:160円 複勝:04=110円 07=110円 05=220円 枠連:210円,,,,,,,,,,,,"単勝:1,130円 複勝:13=280円 08=270円 12=180円 枠連:1,930円",,,,,,,,,,,,単勝:250円 複勝:06=140円 04=140円 12=310円 枠連:470円,,,,,,,,,,,,単勝:410円 複勝:02=140円 09=110円 03=290円 枠連:310円,,,,,,,,,,,
馬連:230円 ワイド:04-07=140円 04-05=470円 05-07=570円,,,,,,,,,,,,"馬連:8,110円 ワイド:08-13=2,300円 12-13=840円 08-12=1,360円",,,,,,,,,,,,馬連:640円 ワイド:04-06=290円 06-12=780円 04-12=860円,,,,,,,,,,,,馬連:380円 ワイド:02-09=200円 02-03=770円 03-09=690円,,,,,,,,,,,
"馬単:410円 3連複:820円 3連単:1,850円",,,,,,,,,,,,"馬単:15,320円 3連複:11,560円 3連単:89,530円",,,,,,,,,,,,"馬単:970円 3連複:2,660円 3連単:6,800円",,,,,,,,,,,,"馬単:1,050円 3連複:1,810円 3連単:8,370円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 5R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,東京ﾊｲｼﾞｬﾝﾌﾟ,,,,,,,,,,,,ｴﾙｺﾝﾄﾞﾙﾊﾟｻｰﾒﾓﾘｱﾙ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,18,Ｄダノンプラチナ, 51,蛯名正,, 65,* -9,*  2, 1,  1.9, ⑧⑤, 1,11,Ｆリンガスアリュｰル, 67,柴田善,, 67,   4,*  4, 5,  7.9, ⑧⑨, 1,12, サンレイデュｰク,,難波剛,,,,,13,112.7,⑧⑧⑦, 1,12,Ｆワイドバッハ, 88,蛯名正,, 88,  13,* 19, 3,  6.7, ⑭⑭
 2, 7,Ｇムｰンマジェスティ, 45,勝浦正, 0.7, 59, -13,*  0, 5, 15.2, ⑨⑩, 2,14,Ｇクレバｰパルマ, 67,丸山元, 0.2, 69,   3,*  3,11, 49.6, ⑫⑩, 2, 7, エｰシンホワイティ,,北沢伸,207.1,,,, 1,  2.3,③②②, 2, 7,Ｃタｰルタン, 90,ベリｰ, 0.3, 84,  19,   9, 1,  2.7, ⑤⑤
