14年11月 2日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 2日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝2770m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,きんもくせい特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｊクロフネビｰムス, 38,的場勇,, 61,*  1,*  6, 7, 14.6,②②②, 1, 4, マキオボｰラｰ,,平沢健,,,,, 2,  4.8,①①①, 1, 4,Ａロｰドフォワｰド, 78,岩崎翼,, 77,*  8,*  9, 1,  1.7,②②②, 1, 3,Ａコメｰト, 65,嘉藤貴,, 65,*-22,  20, 1,  2.2,②②②
 2,14,Ａライムチェイサｰ, 61,勝浦正, 0.8, 54,*  1,   1, 1,  2.7,⑤⑤④, 2, 9, テイエムシシｰポス,,佐久間,182.1,,,, 7, 20.3,③②②, 2,15,Ｌコスモナチュラル, 65,丹内祐, 0.8, 72,   6,   5,12, 85.4,⑤③③, 2, 4,Ｂレッドオルバｰス, 63,吉田隼, 0.0, 67, -23,* 24, 2,  3.0,③③③
 3, 3,Ｄアルノルフィｰニ, 54,西田雄, 0.8, 59,*  1,   2, 5,  8.6,⑥⑥⑤, 3, 2, ブリスコｰラ,,北沢伸,182.3,,,, 6, 18.8,⑤④③, 3, 1,Ｃアイアムナチュラル, 74,丸田恭, 0.9, 68,*  7,   2, 2,  7.9,①①①, 3, 6,Ｃノットフォｰマル, 62,勝浦正, 0.4, 64, -24,  22, 6, 13.5,⑤⑤⑥
 4,13,Ｅバニスタｰ, 50,小崎綾, 1.0, 54,*  1,  -3, 2,  4.1,①①①, 4, 3, パスティ,,山本康,183.1,,,,10, 63.0,⑨⑦⑥, 4, 7,Ｂピエナトップガン, 75,小崎綾, 1.2, 71,   2,*  9, 3,  8.4,⑬⑪⑧, 4, 7,Ｅマイネルリｰド, 56,丹内祐, 0.5, 60, -23,  16, 5,  9.0,④④④
 5, 6,Ｎスカｰレットデビル,  8,丹内祐, 1.2, 53,  -1,   1, 8, 29.0,⑨⑧⑥, 5,13, テｰオｰレジェンド,,西谷誠,184.4,,,, 4,  5.8,④⑨⑦, 5, 8,Ｅビバハイタッチ, 69,松田大, 1.2, 69,   3,   7, 4,  9.3,⑦⑧⑥, 5, 5,Ｄチャリシｰ, 56,丸山元, 0.8, 59, -26,  19, 4,  7.5,⑥⑥⑤
 6,12,Ｉビレッジカリビアン, 40,丸山元, 1.3, 52,*  0,  -3,10, 85.1,③③③, 6,10, ダイメイサンジ,,大江原,184.5,,,,12,107.4,⑪⑧⑧, 6, 2,Ｋオンワｰドハンタｰ, 66,長岡禎, 1.3, 70,   6,   2,10, 42.2,⑥④⑤, 6, 2,Ｆテイエムフタエマル, 44,岩崎翼, 0.8, 54,*-22,   9, 3,  6.7,①①①
 7,11,Ｈフライガイザｰ, 47,井上敏, 1.5, 52,  -4,   2, 9, 38.9,⑧⑪⑩, 7,11, フィｰルザロマンス,,石神深,185.0,,,, 9, 25.7,⑩⑩⑨, 7,13,Ｆコスモキングダム, 68,津村明, 1.4, 68,   4,   3, 9, 29.9,⑩⑥④, 7, 1,Ｇイトスギ, 29,田中博, 3.6, 23, -29, -16, 7, 86.2,⑦⑦⑦
 8,10,Ｃトｰセンアスリｰト, 56,菅原隆, 1.9, 50,  -5,   1, 6,  9.9,⑬⑬⑬, 8, 8, エスティロックオン,,高野和,186.5,,,,14,162.3,⑫⑪⑪, 8, 9,Ｏポｰラメソッド, 53,勝浦正, 1.4, 67,   0,*  9, 8, 23.2,⑪⑭⑫,,,,,,,,,,,,
 9, 1,Ｌロｰドトリニティ, 34,長岡禎, 1.9, 52,  -8,*  8,12, 91.4,⑮⑮⑭, 9, 7, シゲルビゼン,,植野貴,188.6,,,, 8, 24.3,⑥⑥⑩, 9,12,Ｄサトノシｰザｰ, 73,丸山元, 2.0, 65,   0,   4, 7, 18.2,⑨⑬⑩,,,,,,,,,,,,
10, 5,Ｂハヤイガナ, 57,小坂忠, 2.3, 45,*  0, -11, 4,  8.4,④④⑦,10, 1, キｰアイテム,,原田和,190.9,,,,13,111.4,⑬⑫⑫,10, 5,Ｈサンマルヴィエント, 68,宮崎北, 3.1, 57,   2,  -7,15,178.0,⑫⑩⑪,,,,,,,,,,,,
11, 9,Ｆタピゴン, 49,伊藤工, 2.6, 42,  -1, -11, 3,  7.4,⑪⑩⑧,,,,,,,,,,,,,11,11,Ｎスズカアｰサｰ, 63,村田一, 3.5, 53,   5, -15,13,109.8,④⑤⑨,,,,,,,,,,,,
12, 4,Ｇレジェンドパワｰ, 49,伴啓太, 2.6, 44,   0, -12,14,147.7,⑦⑦⑨,,,,,,,,,,,,,12,14,Ｉグロシュラライト, 67,中井裕, 4.0, 53,   2, -14,14,121.0,③⑫⑭,,,,,,,,,,,,
13, 7,Ｋホワイトトラップ, 37,杉原誠, 2.7, 43,  -1, -11,15,300.2,⑩⑨⑪,,,,,,,,,,,,,13,10,Ｇハナリュウセイ, 68,松若風, 4.1, 52,   3, -17, 6, 17.7,⑧⑨⑬,,,,,,,,,,,,
14, 2,Ｍグッドシェパｰド, 28,吉田隼, 3.2, 40,  -4, -12,11, 85.2,⑫⑫⑫,,,,,,,,,,,,,14, 3,Ｍドラゴンカフェ, 63,伊藤工, 5.1, 41,   4, -27, 5, 16.4,⑭⑦⑦,,,,,,,,,,,,
15, 8,Ｏテンザリッチ, -3,木幡初,11.0,-15,  -8, -70,13,117.1,⑭⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,460円 複勝:15=410円 14=130円 03=200円 枠連:1,990円",,,,,,,,,,,,"単勝:480円 複勝:04=190円 09=520円 02=400円 枠連:3,110円",,,,,,,,,,,,"単勝:170円 複勝:04=110円 15=850円 01=180円 枠連:3,060円",,,,,,,,,,,,単勝:220円 複勝:03=120円 04=130円 枠連:0円,,,,,,,,,,,
"馬連:2,150円 ワイド:14-15=800円 03-15=1,830円 03-14=430円",,,,,,,,,,,,"馬連:3,240円 ワイド:04-09=1,400円 02-04=1,600円 02-09=3,160円",,,,,,,,,,,,"馬連:5,640円 ワイド:04-15=1,930円 01-04=250円 01-15=4,820円",,,,,,,,,,,,馬連:280円 ワイド:03-04=180円 03-06=240円 04-06=490円,,,,,,,,,,,
"馬単:5,440円 3連複:3,980円 3連単:39,580円",,,,,,,,,,,,"馬単:5,680円 3連複:19,770円 3連単:81,880円",,,,,,,,,,,,"馬単:7,250円 3連複:11,810円 3連単:47,140円",,,,,,,,,,,,"馬単:540円 3連複:870円 3連単:2,710円",,,,,,,,,,,
