14年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,比叡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂミツバ, 56,幸英明,, 59, -12,*  8, 2,  6.1, ⑪⑪, 1, 6,Ｂヴェルステルキング, 60,福永祐,, 62,  -9,*  2, 1,  2.0, ⑥⑥, 1,11,Ａフォロｰハｰト, 76,幸英明,, 78,*  7,   6, 1,  1.6,②②②, 1, 9,Ｉスズカデヴィアス, 75,藤岡佑,, 88,*  9,* 18, 6, 13.6,①①①
 2, 6,Ｊエンデヴァｰ, 42,バルザ, 0.4, 56,  -4,  -4,10,104.9, ⑥⑤, 2, 7,Ｋディファｰスト, 40,川田将, 0.2, 56,* -5,  -8,12, 75.5, ①①, 2, 3,Ｈナムラキッス, 69,小牧太, 0.4, 76,   5,   5, 5, 10.4,④⑤⑤, 2, 5,Ａシャドウダンサｰ, 88,岩田康, 0.2, 88,   7,* 20, 1,  2.3,③③④
 3, 1,Ｄジョウショｰエガオ, 53,池添謙, 0.7, 55,*  1, -11, 4, 12.7, ③③, 3, 5,Ｆセンタｰピｰス, 52,岩田康, 0.3, 57,  -9,  -4, 4,  7.4, ⑤⑤, 3, 9,Ｆテイエムライオネス, 71,竹之下, 0.6, 72,*  7,   0, 8, 42.3,①①①, 3, 8,Ｈリヤンドファミユ, 77,池添謙, 0.5, 86,   6,* 19, 5,  9.1,⑨⑧⑦
 4,11,Ｃオレンジピｰクス, 55,福永祐, 0.8, 55,*  3, -14, 3,  7.7, ②②, 4, 3,Ａリリｰヴィクトリｰ, 61,池添謙, 0.3, 56,* -8,  -6, 3,  5.2, ③②, 4, 5,Ｇスズカシャｰマン, 71,秋山真, 0.9, 71,   5,   2, 6, 19.6,⑥⑥⑥, 4,11,Ｄレコンダイト, 82,ルメｰ, 0.6, 82,*  9,  10, 3,  4.9,②②②
 5,13,Ｋスズカオパｰル, 42,藤岡佑, 1.2, 47,  -9,  -5,12,201.7, ⑩⑨, 5,12,Ｅニホンピロシナバｰ, 55,酒井学, 0.5, 55, -11,  -4,11, 65.6, ⑩⑧, 5,10,Ｄウインクルミラクル, 72,北村友, 0.9, 71,   4,   5, 3,  8.5,⑨⑧⑦, 5, 1,Ｅリメインサイレント, 81,福永祐, 0.7, 81,   7,   9, 2,  4.8,④④③
 6, 4,Ｆスズカレグルス, 49,竹之下, 1.6, 45, -12,  -6,15,326.7, ⑫⑫, 6, 2,Ｌサトノアッシュ, 40,ルメｰ, 0.6, 53, -11,  -5, 2,  4.0, ⑧⑨, 6, 7,Ｂストレｰトラブ, 75,松山弘, 1.0, 74,  -1,* 14, 4,  9.5,⑫⑫⑪, 6, 3,Ｂビｰビｰトレイタｰ, 85,浜中俊, 0.9, 80,   7,   9, 4,  5.7,⑥⑥⑤
 7,15,Ｈオイルタウン, 46,酒井学, 1.7, 44, -15,  -3,16,375.3, ⑮⑮, 7, 4,Ｃバトルボンネビル, 59,バルザ, 0.8, 54, -15,* -1,13, 79.5, ⑯⑯, 7, 6,Ｊソロデビュｰ, 65,義英真, 1.1, 67,*  6,  -2,12,172.7,⑤③③, 7, 4,Ｃトｰホウストロング, 84,バルザ, 1.0, 80,   5,  12, 7, 40.2,⑧⑨⑨
 8, 5,Ａマラニｰノ, 61,岩田康, 1.8, 47,*  4, -23, 1,  1.4, ①①, 8, 1,Ｎミスズダンディｰ, 39,北村友, 0.8, 52, -12,  -6,15,148.9, ⑬⑪, 8, 2,Ｉウインマルゲリｰタ, 67,国分恭, 1.5, 71,  -1,* 11,11,100.1,⑪⑪⑫, 8, 6,Ｊタイタン, 75,川須栄, 1.1, 77,   7,   5, 8, 51.4,⑤⑤⑥
 9, 8,Ｅゴットモｰニング, 50,国分恭, 1.8, 42, -14,  -5, 5, 15.9, ⑬⑬, 9,13,Ｈモズフリムカナイデ, 49,小牧太, 0.8, 54, -13,* -2, 8, 48.3, ⑮⑮, 9,12,Ｃサンレイフロｰラ, 73,酒井学, 1.6, 68,   2,   3, 7, 36.3,⑩⑩⑩, 9, 2,Ｇカネトシマｰシャル, 77,藤岡康, 1.4, 75,   6,   4, 9, 93.7,⑦⑦⑧
10,16,Ｐサイレンスラヴ, 30,義英真, 1.8, 43,  -7, -13,13,209.9, ⑧⑦,10,11,Ｏウォｰタｰメアヌイ, 36,武幸四, 0.9, 50,* -8, -14,16,313.9, ④④,10, 1,Ｋマｰヴェリックス, 64,バルザ, 2.1, 63,*  6, -10,10, 47.2,③④④,10,10,Ｋバアゼルリバｰ, 41,松山弘, 1.5, 78,   3,  11,11,181.8,⑩⑪⑪
11, 9,Ｇワンダｰグロワｰル, 46,国分優, 1.8, 45,   0, -20, 7, 28.5, ④④,11,10,Ｊパイアタウン, 43,幸英明, 1.0, 50, -11, -10, 7, 44.7, ⑨⑩,11, 4,Ｌピュクシス, 64,和田竜, 3.3, 57,   2, -12, 9, 44.2,⑧⑨⑨,11, 7,Ｆメイショウタマカゼ, 77,武幸四, 1.6, 77,   4,   8,10,133.4,⑪⑩⑩
12, 3,Ｍシゲルワッショイ, 40,太宰啓, 2.0, 43,  -8, -13,14,275.7, ⑨⑧,12,15,Ｉテイエムトラネコ, 45,太宰啓, 1.4, 44, -13, -11,10, 64.2, ⑭⑬,12, 8,Ｅナンヨｰユナ, 71,岩田康, 4.1, 50,   5, -25, 2,  5.8,⑦⑦⑧,,,,,,,,,,,,
13, 2,Ｉパピプペポ, 46,川田将, 2.1, 43,  -3, -19, 6, 27.7, ⑤⑥,13, 9,Ｇウエスタンルｰポ, 49,義英真, 1.4, 43, -14, -13, 9, 53.3, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
13,10,Ｎレンズフルパワｰ, 40,北村友, 2.1, 39, -21,  -2, 9, 80.0, ⑯⑯,14,14,Ｄセイジャッカル, 58,国分優, 1.6, 39,  -9, -23, 6, 36.2, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,
