14年 4月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蓬莱峡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａメイショウアズミノ, 63,池添謙,, 66,*  0,*  5, 2,  4.7, ①①, 1,15,Ａアドマイヤシｰマ, 66,福永祐,, 78, -12,* 24, 1,  1.8,⑥⑧⑧, 1,17,Ｂケルンフォｰティｰ, 75,小崎綾,, 75,   9,*  6,11, 56.0, ⑨⑩, 1, 1,Ａビｰビｰトレイタｰ, 81,浜中俊,, 83,  14,*  0, 4,  5.9, ⑧⑧
 2,14,Ｃクレアドｰル, 60,武豊  , 0.0, 68,  -3,*  8, 1,  1.8, ⑥④, 2, 8,Ｈコスモミレディｰ, 55,和田竜, 0.4, 69,* -7,  10, 8, 37.8,②②②, 2,13,Ｉグラｰネ, 69,浜中俊, 0.1, 74,   8,*  8, 8, 22.4, ⑬⑬, 2, 3,Ｈサングップ, 75,池添謙, 0.2, 81,  16,  -5, 8, 40.5, ⑦⑥
 3,13,Ｅエスペランサナナ, 56,藤田伸, 1.1, 58,  -4,  -1, 6, 19.2, ⑦⑤, 3, 7,Ｂリリコイパイ, 65,浜中俊, 0.5, 67,* -9,  10, 5,  9.1,⑦④④, 3, 2,Ａディｰプウェｰブ, 75,川田将, 0.2, 75,   7,* 10, 1,  2.6, ⑯⑮, 3, 4,Ｃサトノキングリｰ, 79,岩田康, 0.2, 81,* 17,  -8, 3,  4.8, ④④
 4,12, サンバレッスン,---,水口優, 1.2, 58,* -1,  -5,11, 73.6, ②②, 4, 9,Ｅエアマチュｰル, 57,川田将, 0.8, 65, -11,   9, 2,  6.4,⑨⑤⑦, 4, 4,Ｊラッキｰマンボ, 68,国分優, 0.3, 70,* 16, -10, 5, 10.7, ①①, 4,12,Ｂカレンバッドボｰイ, 79,武豊  , 0.4, 80,  13,* -2, 1,  3.1, ⑪⑪
 5, 2,Ｂイロリ, 62,義英真, 1.2, 56,  -3,  -3, 3,  5.6, ④⑥, 5,14,Ｃメイショウヤエ, 65,武豊  , 0.8, 70, -15,* 18, 4,  8.6,⑭⑬⑪, 5, 5,Ｍニシノモンクス, 66,熊沢重, 0.3, 71,  14,  -5,12, 58.6, ⑤④, 5, 9,Ｅヴァリアシオン, 77,シュタ, 0.4, 78,  16,  -9, 6, 13.2, ⑤⑤
 6, 1,Ｄコウザンバニｰ, 58,酒井学, 1.6, 52,  -8,  -2, 4, 16.8, ⑧⑨, 6, 6,Ｇデンコウガイア, 55,酒井学, 0.8, 66, -12,  13,11,128.2,⑧⑨⑨, 6,15,Ｅメイショウヤマホコ, 73,幸英明, 0.4, 72,   7,*  7, 6, 13.9, ⑮⑯, 6,10,Ｄハッピｰモｰメント, 77,川田将, 0.4, 79,  16,  -8, 2,  3.4, ⑥⑦
 7, 5, ディｰプハマｰ,---,幸英明, 1.6, 53,  -8,  -2, 5, 18.4, ⑨⑧, 7, 5,Ｄストライキングアイ, 59,岩田康, 0.9, 66, -12,  12, 3,  7.0,⑩⑩⑩, 7, 8,Ｋサンマルホｰム, 67,太宰啓, 0.4, 72,   4,* 12,18,242.5, ⑱⑰, 7, 2,Ｉサトノジョリｰ, 75,福永祐, 0.8, 75,  13,  -8, 7, 29.9, ⑫⑫
 8,11, サンアルバカｰキ,---,浜中俊, 1.9, 51, -14,   2, 7, 29.0, ⑯⑭, 8, 4,Ｆウエスタンマンデラ, 56,シュタ, 0.9, 61,* -9,   3, 7, 30.4,④③③, 8,14,Ｇプリンシペアスｰル, 70,高倉稜, 0.5, 69,   9,   1,14, 76.1, ⑫⑪, 8, 8,Ｋレインフォｰル, 73,太宰啓, 1.0, 72,* 18, -20, 5, 12.4, ③③
