14年 7月26日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月26日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北辰特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａマコトグナイゼナウ, 55,藤岡康,, 50,*  4,  -4, 2,  3.3,①①①, 1, 5,Ｂジュガンティｰヤ, 65,長岡禎,, 62,   2,* -3, 1,  2.7,③⑤⑤, 1, 3,Ｋキｰクッキｰ, 57,小崎綾,, 73,*  7,   3, 7, 33.6, ①①, 1, 9,Ａレッドセインツ, 75,四位洋,, 77,  -3,* 13, 1,  3.0,⑧⑦⑤
 2,14,Ｊディｰプフォルツァ, 38,岩田康, 0.0, 50,   1,*  2, 3,  5.3,⑨⑨⑩, 2, 7,Ｆレオウィッシュ, 61,横山和, 0.2, 60,*  3,  -7, 4,  6.1,⑤④①, 2, 6,Ａセイウンチカラ, 77,岩田康, 0.2, 70,   0,   6, 1,  2.4, ⑤④, 2, 3,Ｆクリノサンタクルス, 68,柴山雄, 0.1, 74,  -4,  10, 7, 27.9,⑤⑤③
 3, 9,Ｄウインアキレア, 47,三浦皇, 0.2, 46,   0,  -2, 4,  7.5,⑧⑧④, 3, 3,Ｇラインファング, 58,小崎綾, 0.3, 61,   0,* -1, 6, 20.0,⑥⑥⑥, 3, 9,Ｄサトノプレシャス, 72,吉田隼, 0.3, 68, -12,* 14, 2,  2.8, ⑫⑪, 3, 4,Ｂウインインスパイア, 73,岩田康, 0.1, 75,  -4,  10, 4,  5.2,⑥⑥⑥
 4, 4,Ｅサトノアッシュ, 45,秋山真, 0.4, 43,  -2,* -1, 1,  3.0,⑩⑪⑪, 4, 6,Ａマコトヴォカシオン, 66,菱田裕, 0.7, 56,*  3, -11, 2,  3.7,②②②, 4, 5,Ｂホワイトポピｰ, 73,柴山雄, 0.5, 67,   3,   2, 3,  5.6, ③②, 4, 2,Ｃネコタイショウ, 72,吉田隼, 0.3, 70,  -2,   4, 3,  4.5,③③④
 5, 6,Ｇブラックバｰド, 43,長岡禎, 0.4, 43,   0,  -5, 8, 30.2,⑫⑩⑧, 5, 2,Ｄトｰセンパピｰ, 62,柴山雄, 0.8, 55,   3, -11, 5,  9.4,④③③, 5, 1,Ｅテイエムシシオｰ, 72,長岡禎, 0.7, 64,  -3,   3, 5, 14.7, ⑥⑥, 5, 6,Ｅグランスエルテ, 70,藤田伸, 1.0, 62,*  1, -10, 5,  6.1,①①①
 6, 3,Ｉピックアンドポップ, 40,吉田隼, 0.8, 39,  -2,  -5, 5, 12.4,⑭⑬⑭, 6, 1,Ｅトｰアイタダキ, 62,勝浦正, 1.1, 54,*  4, -14, 7, 22.4,①①④, 6, 7,Ｇシゲルウシュウ, 62,丸田恭, 0.7, 63,  -7,   6,10, 70.9, ⑧⑩, 6, 5,Ｉマイネルピクトル, 65,丹内祐, 1.4, 64,  -8,   4, 6, 18.4,⑨⑨⑧
 7, 1,Ｎデルマヨタロウ, 17,津村明, 0.8, 40,*  3, -12,14,166.4,④④②, 7, 8,Ｃメロｰワイン, 63,津村明, 1.2, 54,  -1,  -8, 3,  4.2,⑧⑦⑦, 7,11,Ｆミスズモンブラン, 64,菱田裕, 0.8, 62,  -9,   6, 6, 18.3, ⑩⑨, 7, 7,Ｄロｰハイド, 70,菱田裕, 1.6, 58,  -5,  -7, 2,  4.3,⑦⑧⑦
 8, 2,Ｋネコレｰヌ, 31,井上敏, 1.0, 36,  -7,* -1,13,124.2,⑬⑭⑬, 8, 9,Ｈデルママルコ, 53,竹之下, 1.7, 52,  -2, -10, 9, 98.9,⑦⑧⑧, 7, 2,Ｊロｰドメビウス, 60,三浦皇, 0.8, 62,  -9,   6, 9, 44.5, ⑨⑧, 8, 1,Ｇマイネルバランシン, 68,ロｰウ, 1.6, 53,* -1, -17, 9, 61.5,②②②
