14年 7月 5日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月 5日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 4R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,木曽川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, バｰドバｰニング,,植野貴,,,,, 3,  6.6,⑤④④, 1, 9, エｰシンホワイティ,,北沢伸,,,,, 2,  3.2,③②②, 1,13,Ｇメイショウゲキテキ, 54,松山弘,, 69,* 13,* -8, 4,  8.2, ②③, 1, 6,Ａトウシンモンステラ, 90,武豊  ,, 87,   1,* 16, 1,  2.5,⑧⑦⑦
 2, 4, カリスマミッキｰ,,熊沢重,200.1,,,, 4,  7.3,③②②, 2,10, ニジブルｰム,,小坂忠,218.1,,,, 3,  4.8,①①①, 2, 4,Ａクリｰブラット, 66,福永祐, 0.2, 64,   8,* -4, 1,  2.7, ⑧⑦, 2, 4,Ｅアドマイヤツヨシ, 78,福永祐, 0.1, 82,*  5,   7, 4,  6.7,①①①
 3, 6, タイセイジｰニアス,,白浜雄,201.4,,,, 1,  2.8,④③③, 3, 3, ミルクディッパｰ,,中村将,218.2,,,, 1,  2.8,⑥④④, 3,14, トｰホウスプライト,---,松若風, 0.3, 62,   8,* -6, 2,  4.7, ⑦⑧, 3, 8,Ｋペプチドアマゾン, 67,浜中俊, 0.2, 83,   2,* 11, 2,  6.1,⑤⑤⑤
 4,10, ブルｰスビスティｰ,,金子光,203.1,,,, 9, 21.7,⑨⑨⑧, 4, 6, ドリｰムチャｰジ,,難波剛,219.8,,,, 6, 20.6,⑦⑤⑤, 4, 8,Ｆエイユｰチャキｰラ, 55,国分恭, 0.9, 59,* 13, -20, 9, 33.8, ③②, 4, 1,Ｂタイキプレミアム, 86,小牧太, 0.4, 80,*  3,   6, 3,  6.2,③④④
 5,12, ドリｰムヒｰロｰ,,北沢伸,203.8,,,, 2,  4.7,⑥⑥⑤, 5, 4, トｰセンタイガｰ,,山本康,220.9,,,, 7, 27.0,⑨⑨⑧, 5,12,Ｋキクノユニゾン, 46,和田竜, 0.9, 57,   9, -15, 6, 14.3, ⑥⑥, 5, 9,Ｇアンバサドゥｰル, 75,国分恭, 0.6, 78,*  3,   2,11,125.6,⑫③③
 6, 2, マキオボｰラｰ,,佐久間,203.9,,,, 5,  9.0,①①①, 6, 7, クレバｰベスト,,植野貴,222.6,,,, 5, 15.5,②③③, 6, 1,Ｄミヤセイリュｰ, 57,鮫島良, 1.0, 57,   9, -17, 5,  9.7, ⑤④, 6, 5,Ｌレッドルｰラｰ, 66,川田将, 0.7, 76,*  3,   1, 6, 11.2,②②②
 7, 1, ダンツフォワｰド,,中村将,204.5,,,,11, 50.4,②⑤⑥, 7, 1, タニノマンボ,,林満明,222.6,,,, 9, 33.7,⑪⑩⑨, 7,10,Ｂハワイアンロｰズ, 61,岩崎翼, 1.1, 54,   7, -15, 3,  6.3, ⑨⑨, 7,12,Ｃジェラルド, 85,川須栄, 1.0, 77,   1,   5, 9, 27.2,⑨⑨⑩
 8, 8, ハクユウドルフィン,,難波剛,204.7,,,, 6, 14.5,⑧⑦⑦, 8, 2, ポピュラｰストック,,浜野谷,223.2,,,, 8, 33.3,⑩⑧⑥, 8, 6,Ｅバタｰカップ, 55,武幸四, 1.3, 50,   1, -11,12, 77.3, ⑭⑭, 8,11,Ｆウエスタンレベッカ, 78,高倉稜, 1.1, 73,   2,  -2, 5,  8.5,④⑥⑥
 9, 9, スマイルフォンテン,,横山義,207.1,,,,13,111.9,⑩⑩⑩, 9, 5, マイネルガヴロシュ,,熊沢重,223.5,,,, 4,  7.0,④⑥⑦, 9, 5,Ｌトｰアコシタンタン, 45,森一馬, 1.4, 50,   5, -17,18,289.3, ⑫⑩, 9, 3,Ｄアムｰルブリエ, 84,松山弘, 1.2, 74,  -1,   3, 8, 25.0,⑦⑩⑪
10, 3, グリｰティングワン,,上野翔,210.5,,,,14,214.1,⑬⑫⑫,10,11, ティンバｰウルフ,,江田勇,226.8,,,,11,106.0,⑤⑦⑩,10,16,Ｉトウカイラッキｰ, 49,北村友, 1.7, 47,   9, -27,10, 34.7, ④⑤,10, 2,Ｉスズカアンペｰル, 72,幸英明, 1.2, 75,  -1,   4,10, 51.7,⑩⑫⑫
11,11, ニイハオジュウクン,,西谷誠,210.8,,,, 7, 19.2,⑫⑪⑪,11, 8, クリスクリングル,,大江原,234.9,,,,10, 42.1,⑧⑪⑪,11,11,Ｍツルミプラチｰタｰ, 42,熊沢重, 1.9, 43,   5, -23,15,178.5, ⑪⑬,11,10,Ｈメイショウシレトコ, 73,国分優, 1.3, 72,   1,  -2,12,141.9,⑥⑧⑧
12,14, シゲルシゲザネ,,石神深,210.9,,,,10, 32.7,⑦⑧⑨,,,,,,,,,,,,,12, 9,Ｊアメイジングゲイル, 49,義英真, 1.9, 44,   5, -23,17,235.7, ⑬⑪,12, 7,Ｊラニカイツヨシ, 71,和田竜, 1.6, 69,   1,  -5, 7, 14.6,⑪⑪⑨
13, 5, プラネットスコア,,小坂忠,217.8,,,,12, 78.5,⑭⑬⑬,,,,,,,,,,,,,13,15,Ｈヤマカゲ, 52,中井裕, 2.0, 44,   5, -24, 8, 25.4, ⑩⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｎアスタｰノワｰル, 35,川須栄, 2.1, 41,  -6, -13,16,218.4, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 3, スズカビスタ,---,幸英明, 2.1, 42,  -9,* -7,13,104.6, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｃカネトシキフジン, 57,川島信, 2.2, 45,* 13, -37, 7, 19.5, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,18, フリｰジアコｰト,---,浜中俊, 5.6,-23, -37, -15,11, 48.1, ⑱⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,17, アイリッシュペコ,---,高倉稜, 6.9,-38, -34, -37,14,104.7, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:2),,,,,,,,,,,
"単勝:660円 複勝:07=170円 04=180円 06=130円 枠連:1,910円",,,,,,,,,,,,単勝:320円 複勝:09=130円 10=140円 03=120円 枠連:840円,,,,,,,,,,,,単勝:820円 複勝:13=190円 04=130円 14=190円 枠連:440円,,,,,,,,,,,,単勝:250円 複勝:06=120円 04=170円 08=170円 枠連:800円,,,,,,,,,,,
"馬連:2,220円 ワイド:04-07=850円 06-07=400円 04-06=370円",,,,,,,,,,,,馬連:960円 ワイド:09-10=320円 03-09=200円 03-10=350円,,,,,,,,,,,,"馬連:1,020円 ワイド:04-13=470円 13-14=790円 04-14=480円",,,,,,,,,,,,馬連:910円 ワイド:04-06=330円 06-08=360円 04-08=720円,,,,,,,,,,,
"馬単:5,500円 3連複:2,260円 3連単:18,260円",,,,,,,,,,,,"馬単:1,520円 3連複:760円 3連単:4,340円",,,,,,,,,,,,"馬単:2,780円 3連複:2,270円 3連単:14,330円",,,,,,,,,,,,"馬単:1,460円 3連複:1,630円 3連単:6,530円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,白川郷ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａマチルダ, 68,幸英明,, 64,*  5,  -2, 2,  2.8, ①①, 1, 5, ドルメロ,---,小牧太,, 67,   6,  -7, 5, 13.4, ⑤③, 1,13,Ｇサカジロヴィグラス, 68,義英真,, 71,   5,   3, 6, 12.2, ⑤⑤, 1,10,Ａサトノプリンシパル, 87,川須栄,, 89,* 11,* 15, 1,  2.7,①①①
 2, 2,Ｅアイファｰマシェリ, 56,小牧太, 0.1, 63,   1,*  2, 3,  7.4, ⑧⑧, 2, 8, グレイトチャｰタｰ,---,福永祐, 0.0, 66,   1,*  0, 2,  4.8, ⑨⑨, 2,15,Ｆアブニｰル, 68,国分優, 0.2, 69,*  8,   0,14,110.8, ③③, 2, 3,Ｃメイショウコンカｰ, 85,福永祐, 0.3, 86,* 10,* 15, 2,  3.3,③②②
 3,13,Ｂバｰンアウル, 63,福永祐, 0.2, 60,   1,   1, 1,  2.0, ⑨⑨, 3,10, ビットレｰト,---,川田将, 0.5, 61,   4, -10, 1,  2.6, ⑥⑤, 3, 2,Ｂスタｰペスユウコ, 72,武幸四, 0.3, 70,   6,   1, 1,  2.6, ④④, 3, 8,Ｂワンダｰアシャｰド, 87,武豊  , 0.3, 88,* 10,* 14, 3,  6.7,②③③
 4,11,Ｆベリｰベリｰタイム, 55,高倉稜, 0.7, 53, -10,*  6, 6, 23.4, ⑫⑫, 4, 3, クラリティスカイ,---,川須栄, 0.6, 59,   1,  -7, 4, 12.4, ⑧⑧, 4, 5,Ｌラヴィｰネ, 65,北村友, 0.4, 67,   3,   3, 8, 26.4, ⑨⑦, 4,14,Ｄブラインドサイド, 85,浜中俊, 1.1, 82,   9,   9, 4,  7.8,④⑤⑤
 5, 6,Ｃアイズユｰニン, 59,鮫島良, 0.7, 60,*  5,  -8, 4, 12.3, ②②, 5,15, シゲルエベッサン,---,酒井学, 0.7, 59,   5, -14, 7, 15.5, ⑦⑥, 5,10,Ｅアルティメイト, 69,小坂忠, 0.5, 67,   1,   4,12, 62.1, ⑪⑩, 5, 2,Ｈキングヒｰロｰ, 83,小牧太, 1.1, 83,   8,  11, 8, 34.2,⑥⑥⑦
 6,12,Ｊミナスジェライス, 47,松山弘, 0.8, 53,  -5,   1, 9, 69.5, ⑪⑩, 6, 9, ブライトボイス,---,北村友, 1.3, 50,  -5,  -9,11, 40.6, ⑫⑫, 6, 7,Ｈアイムユアドリｰム, 66,松若風, 0.6, 65,*  7,  -4, 3,  7.4, ②②, 6,11,Ｅコルｰジャ, 85,川田将, 1.3, 81,   8,   9, 5, 15.1,⑦⑦⑥
 7, 1,Ｉヒロノスイｰト, 50,小坂忠, 1.3, 52,   3, -10,16,257.3, ④③, 7,12, カジノプレイヤｰ,---,武豊  , 1.4, 51,   6, -25, 3,  5.4, ③④, 7, 3,Ｋスピリットレイク, 65,鮫島良, 0.6, 67,  -2,   5, 9, 32.5, ⑬⑮, 7, 1,Ｇダイヤノゲンセキ, 84,国分優, 1.7, 76,   7,   7, 7, 22.8,⑧⑨⑪
 8, 9,Ｏメイショウミノリ, 28,松若風, 1.5, 49,   2, -12,11,100.6, ⑥⑥, 8, 6, ボストンマリ,---,幸英明, 1.4, 49, -10,* -2,12, 42.2, ⑮⑮, 8,16,Ｏオリエンタルエッグ, 57,高倉稜, 0.7, 66,   6,  -2,15,116.5, ⑥⑥, 8, 5,Ｌシンゼンレンジャｰ, 82,川島信, 1.9, 76,   7,   6,12, 79.9,⑨⑩⑨
 9,15,Ｇカリスマベガ, 53,義英真, 1.5, 50,*  5, -14, 8, 65.9, ③④, 9,13, サンライズステラ,---,浜中俊, 1.4, 49, -10,* -3, 9, 37.5, ⑭⑭, 9,14,Ｍテイエムリヴィエラ, 64,幸英明, 0.7, 66,   1,   2,10, 38.9, ⑫⑪, 9,15,Ｉセイラ, 83,北村友, 2.0, 76,   4,  11,10, 47.3,⑮⑮⑮
10,16,Ｄエヴェレストバイオ, 59,国分優, 1.7, 48,   3, -14, 7, 49.2, ⑦⑦,10,14, コパノジョｰジ,---,国分恭, 1.6, 47,  -4, -14, 8, 19.1, ⑩⑩,10, 8,Ｄレディカリビアン, 72,岩崎翼, 0.7, 64,  -1,   4, 4,  7.7, ⑭⑬,10, 6,Ｍトウショウギフト, 81,酒井学, 2.2, 72,   7,   3,13, 98.2,⑪⑪⑩
11, 5,Ｍヴァｰス, 38,大下智, 1.7, 44, -12,   0,14,237.2, ⑭⑭,11, 4, モルトベｰネ,---,松山弘, 1.9, 45,   1, -25, 6, 13.5, ④⑦,11, 1,Ｃタガノハピネス, 72,松山弘, 0.7, 65,   1,   2, 7, 13.0, ⑩⑫,11, 7,Ｊナリタポセイドン, 82,和田竜, 2.4, 73,   6,   4, 6, 15.2,⑭⑫⑫
12, 8,Ｋエスジｰカピタｰナ, 38,藤懸貴, 2.1, 44,  -4, -10,15,249.0, ⑩⑪,12, 2, スパイホップ,---,中井裕, 2.5, 39,  -5, -24,13, 73.4, ⑪⑪,12, 4,Ｉハンマｰクラビア, 65,川須栄, 0.8, 64, -15,* 16, 5, 11.2, ⑯⑯,12, 4,Ｎサクラブライアンス, 80,幸英明, 2.4, 74,   5,   6,14,126.8,⑬⑭⑬
13, 7,Ｈステイクワイエット, 52,和田竜, 2.2, 43,   3, -19, 5, 17.1, ⑤⑤,13,11, タカノロンシャン,---,国分優, 2.9, 35,*  9, -47,14,102.6, ②②,13,11,Ｊジョディｰズロマン, 65,酒井学, 0.8, 64,   4,  -1,11, 53.9, ⑦⑧,13, 9,Ｏハｰコット, 74,松山弘, 2.6, 71,   9,  -4, 9, 34.5,⑤④④
