14年 7月13日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月13日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有松特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃカシノハリウッド, 50,浜中俊,, 45,  -7,   0, 1,  2.5,②②③, 1,12, トウカイルｰチェ,,北沢伸,,,,, 9, 28.6,②①①, 1,16,Ｆマイネルフレスコ, 56,幸英明,, 57,  -7,* -7, 3,  6.1,⑭⑪⑩, 1, 1,Ａアスタｰピｰス, 82,国分恭,, 82,*  6,   7, 7, 14.7,①①①
 2, 9,Ａクラリティスカイ, 61,戸崎圭, 0.2, 49, -15,* 12, 3,  3.5,⑨⑧⑧, 2, 8, コウエイロックオン,,森一馬,204.4,,,, 7, 14.3,③③④, 2, 4,Ｌロコモｰション, 51,藤岡康, 0.2, 55,  -9,* -8, 6, 34.5,⑪⑫⑫, 2,13,Ｄウインプリメｰラ, 81,和田竜, 0.1, 85,   4,* 11, 3,  5.5,⑥⑥⑥
 3, 6,Ｂナムラマミｰ, 50,福永祐, 0.3, 44,  -6,  -2, 4,  9.8,④③②, 3,11, ホッコｰゼニト,,難波剛,204.9,,,, 5, 11.8,①②②, 3,17,Ｈヤマニンボワラクテ, 54,藤懸貴, 0.3, 55,  -9,* -7,15,183.6,⑫⑬⑬, 3,12,Ｏダンスアミｰガ, 72,松山弘, 0.4, 79,   4,   7, 8, 15.6,④⑤⑤
 4, 1,Ｄレッドソロモン, 47,川須栄, 0.3, 50, -18,* 15, 2,  3.2,⑩⑩⑩, 4, 3, ルペｰルノエル,,白浜雄,205.6,,,, 1,  3.5,⑥⑤③, 4,11,Ｅサンライズメシア, 57,岩崎翼, 0.3, 53,  -8, -12,11, 84.1,⑨⑧⑧, 4, 8,Ｎプリモンディアル, 73,藤岡康, 0.8, 75,   2,   2, 1,  4.6,⑦⑦⑦
 5,10,Ｆカリテスグレｰス, 39,北村友, 0.4, 47, -15,   8, 6, 32.7,⑧⑨⑨, 5,10, オｰルアズワン,,佐久間,206.1,,,, 6, 12.8,⑨⑦⑤, 5,10,Ｂエｰデルグランツ, 65,福永祐, 0.4, 50,  -6, -17, 1,  2.0,⑦⑥⑤, 5,15,Ｆサンライズピｰク, 80,武豊  , 0.8, 76,   1,   7, 2,  5.3,⑮⑫⑭
 6, 4,Ｉシゲルホウネンサイ, 29,幸英明, 0.5, 35,* -2, -18, 8, 70.3,①①①, 6, 2, レッドキングダム,,西谷誠,206.5,,,, 2,  3.7,⑦⑥⑦, 6,15,Ｃマルクナッテ, 61,義英真, 0.4, 56,  -9,* -6, 4, 13.6,⑬⑯⑯, 6,14,Ｋショウナンバｰキン, 76,蛯名正, 1.0, 74,   2,   1, 6, 13.2,⑧⑩⑨
 7, 3,Ｇフミノインパルス, 36,蛯名正, 0.6, 43, -12,   1, 5, 13.6,⑤⑥⑥, 7, 9, ジョｰマダガスカル,,林満明,208.0,,,, 8, 17.8,⑤④⑥, 7,14, エイシンロビン,---,小牧太, 0.6, 51, -10, -10,12, 88.2,⑰⑭⑭, 7,16,Ｈブルｰハｰツクライ, 78,国分優, 1.0, 73,   2,   1,15, 58.4,⑪⑧⑩
 8, 5,Ｈウインハインズ, 30,和田竜, 0.6, 42,  -9,  -3,10,115.5,⑥④④, 8, 1, シゲルカニザ,,五十嵐,209.3,,,,12,117.9,⑧⑨⑧, 8, 8,Ｋドゥベルテックス, 52,岡田祥, 0.7, 48,  -6, -20,13,124.6,⑥⑤⑦, 8, 7,Ｂコレクタｰアイテム, 82,パｰト, 1.1, 70,*  7,  -7, 4,  7.4,③③②
 9, 8,Ｅコパノジョｰジ, 46,国分恭, 0.7, 43, -18,   8, 7, 41.3,⑪⑪⑪, 9, 5, ヤマニンルポ,,中村将,209.7,,,,11, 29.5,⑪⑪⑪, 9, 1,Ａテｰオｰビックバン, 65,酒井学, 0.8, 47,  -6, -21, 2,  3.1,⑤⑦⑥, 9,11,Ｅノボリディアｰナ, 80,幸英明, 1.1, 73,  -1,   7, 9, 18.8,⑯⑮⑮
10,11,Ｋトｰセンヌｰヴォｰ, 15,松山弘, 0.8, 38, -10,  -6, 9, 97.4,③⑤⑤,10, 6, エｰシンザピｰク,,黒岩悠,212.7,,,,10, 29.1,⑩⑩⑩,10, 6,Ｉサットｰ, 53,川須栄, 1.2, 44,  -7, -23,10, 69.6,⑧⑩⑪,10, 5,Ｉカロッサル, 77,浜中俊, 1.3, 69,   2,  -3, 5, 12.1,⑭⑨⑧
11, 7,Ｊナムラサラ, 22,国分優, 1.8, 28, -13, -12,11,171.8,⑦⑦⑦,11, 4, ヤマニンガｰゴイル,,熊沢重,215.6,,,, 4, 11.4,④⑧⑨,11,13,Ｍアルｰシュ, 50,戸崎圭, 1.5, 40,* -5, -34, 5, 24.8,④④④,11, 2,Ｌベリｰフィｰルズ, 75,武幸四, 1.4, 71,  -3,   5,16,144.6,⑬⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｎロｰレルゼフィｰロ, 48,森一馬, 1.5, 42, -10, -21,17,251.0,⑮⑮⑮,12, 4,Ｍアルトゥバン, 74,中井裕, 1.5, 68,   1,  -3,14, 57.2,⑫⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｊイントゥレジェンド, 53,鮫島良, 1.8, 43, -11, -21, 9, 47.2,⑯⑰⑰,13,10,Ｃニシノモンクス, 81,熊沢重, 1.5, 69,   1,  -5,11, 25.2,⑩⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｇメイケイハリケｰン, 55,中井裕, 1.9, 39,* -3, -42, 8, 40.0,③②②,14, 9,Ｊクロｰチェ, 76,福永祐, 1.7, 62,*  5, -15,12, 27.7,⑤④③
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｐペルフェクトゥス, 34,松若風, 2.9, 32,* -3, -58,16,214.7,①①①,15, 6,Ｇショウナンラムジ, 78,戸崎圭, 2.3, 57,   1, -16,10, 24.7,⑨⑬⑪
