14年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,神奈川新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,11,Ｈフランクジョイ, 44,吉田豊, 1.6, 40,  -1, -20, 4, 11.9, ⑦⑦,13,18, ユッコ,---,田中勝, 0.5, 45,  -8, -18, 6, 15.8, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,
14, 3,Ｎキノル, 31,蛯名正, 2.1, 37,  -3, -23, 9, 27.8, ⑨⑩,14, 6, ジュｰンベル,---,石川裕, 0.6, 46, -17,* -1,17,130.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
15, 7,Ｐビバナポリ,  2,石川裕, 2.7, 32, -14, -14,16,363.4, ⑯⑯,15, 3, トリノレｰジョ,---,武豊  , 0.7, 43,* -3, -26, 2,  5.5, ②②,,,,,,,,,,,,,,,,,,,,,,,,
16, 1,Ｊポインテッドラン, 43,松岡正, 3.2, 29,   0, -37, 7, 19.1, ④④,16, 2, スリｰキｰノｰト,---,村田一, 1.0, 41, -10, -19,18,140.3, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,11, フェアリｰクォｰツ,---,藤岡康, 1.3, 38, -17, -11,15, 99.3, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 7, ピュアリｰズン,---,柴山雄, 3.1, 19, -28, -19,14, 73.0, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,
"単勝:6,130円 複勝:08=1,350円 13=270円 14=880円 枠連:12,210円",,,,,,,,,,,,"単勝:4,040円 複勝:05=940円 13=800円 10=1,160円 枠連:4,280円",,,,,,,,,,,,単勝:350円 複勝:10=140円 07=160円 03=160円 枠連:820円,,,,,,,,,,,,"単勝:280円 複勝:01=120円 08=200円 06=130円 枠連:1,010円",,,,,,,,,,,
"馬連:23,560円 ワイド:08-13=5,240円 08-14=10,120円 13-14=2,570円",,,,,,,,,,,,"馬連:41,370円 ワイド:05-13=10,830円 05-10=16,110円 10-13=9,100円",,,,,,,,,,,,"馬連:1,050円 ワイド:07-10=370円 03-10=360円 03-07=690円",,,,,,,,,,,,馬連:990円 ワイド:01-08=350円 01-06=190円 06-08=490円,,,,,,,,,,,
"馬単:56,350円 3連複:118,930円 3連単:883,550円",,,,,,,,,,,,"馬単:84,670円 3連複:518,990円 3連単:2,622,230円",,,,,,,,,,,,"馬単:1,930円 3連複:1,690円 3連単:8,080円",,,,,,,,,,,,"馬単:1,250円 3連複:1,010円 3連単:4,810円",,,,,,,,,,,
