14年 1月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月25日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なずな賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｅトｰホウパルサｰ, 60,吉田隼,, 64,* -4,*  7, 1,  2.4,①①①, 1, 6, アムｰルクエスト,,植野貴,,,,, 1,  2.4,②②②, 1, 4,Ｅワキノネクサス, 70,菱田裕,, 70,   5,*  8, 4,  6.8, ⑪⑪, 1, 4,Ａタガノグランパ, 78,菱田裕,, 71,  -3,* 15, 1,  2.1, ⑦⑤
 2,10,Ａテイエムボッケモン, 69,古川吉, 0.2, 62,* -4,   7, 3,  8.6,⑦④⑤, 2, 2, ナシュワンヒｰロｰ,,林満明,198.7,,,, 2,  3.2,③③③, 2, 8,Ａネロディアマンテ, 75,丸山元, 0.3, 67,   6,   2, 5,  7.4, ⑧⑧, 2, 2,Ｄコスモグラウベ, 67,中井裕, 0.2, 69,*  7,   1, 3, 10.9, ①①
 3, 4,Ｆビックナジョｰカｰ, 59,杉原誠, 0.3, 60,  -5,*  8, 9, 29.0,③⑥④, 3, 9, ビレッジトレンディ,,大江原,200.0,,,,11, 94.8,①①①, 3, 3,Ｄビリオネア, 73,太宰啓, 0.5, 70,* 12,  -6, 1,  2.7, ③③, 3, 5,Ｃキンシノキセキ, 70,吉田隼, 0.3, 68,  -5,* 14, 4, 11.9, ⑧⑧
 4, 9,Ｊブルｰミｰフラワｰ, 53,柴山雄, 0.7, 57,  -5,   4, 6, 15.6,⑤⑦⑥, 4, 3, ゴｰルデンオブジェ,,熊沢重,200.3,,,, 4,  8.2,⑤④④, 4, 9,Ｉロｰゼズガｰランド, 63,中井裕, 0.7, 67,   9,  -5, 6, 12.6, ⑤④, 4,10,Ｍデンコウウノ, 49,古川吉, 0.3, 66,*  4,   2,13,148.2, ②②
 5, 6,Ｇメイショウキトラ, 58,武幸四, 0.8, 64,  -8,* 10,10, 32.3,⑮⑯⑯, 5, 7, プロジェクトブルｰ,,石神深,201.0,,,, 3,  6.5,⑦⑦⑥, 5,15,Ｊクラヴィコｰド, 62,武幸四, 0.8, 66,   4,   1,10, 35.7, ⑫⑫, 5, 3,Ｋイスルギ, 56,松田大, 0.4, 67,   2,   5,11,117.7, ④③
 6,13,Ｃメレアグロス, 61,松山弘, 0.8, 57,* -4,   2, 2,  3.6,④③③, 6,14, ヴァリュｰビジョン,,横山義,202.0,,,, 9, 42.7,⑧⑥⑤, 6, 5,Ｆトｰセンプリモ, 68,勝浦正, 0.8, 63,   8,  -5,14, 89.2, ⑥⑥, 6,14,Ｂエイシンスパルタン, 72,藤岡佑, 0.5, 66,  -8,* 15, 2,  2.5, ⑪⑪
 7, 5,Ｂヒャクマンバリキ, 62,藤岡康, 1.0, 56,* -4,  -1, 5, 14.1,②②②, 7,12, アンシャンテルｰル,,高野和,202.9,,,, 7, 36.1,⑨⑨⑧, 7, 7,Ｇテラノココロ, 68,松田大, 0.9, 65,   8,  -4, 7, 26.7, ⑦⑦, 7, 1,Ｇタイセイララバイ, 66,松山弘, 0.6, 64,  -1,   6, 5, 18.2, ⑤⑥
 8,11,Ｄルミラｰクル, 61,勝浦正, 1.1, 54,  -5,   2, 4, 11.9,⑨⑧⑦, 8, 5, トｰセンシｰザｰ,,五十嵐,203.5,,,,10, 45.3,⑪⑪⑪, 8, 1,Ｂプリュム, 74,小牧太, 1.0, 66,* 13, -11, 2,  6.1, ②②, 8, 9,Ｉヴィスビｰ, 59,丸山元, 0.9, 62, -10,* 14,12,128.3, ⑫⑫
