14年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-21,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾃﾚﾋﾞ静岡賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃメイプルレインボｰ, 52,柴山雄,, 51,  -2,* -1, 3,  7.2, ⑧⑧, 1,15, レザンドゥオｰル,---,ベリｰ,, 57,  -4,*  0, 1,  2.6, ⑥⑦, 1, 2,Ｄビッグギグ, 72,横山典,, 69,   2,*  9, 1,  3.6, ⑪⑩, 1,10,Ｃダノンレジェンド, 81,高倉稜,, 82,*  7,  11, 1,  3.3, ①①
 2, 3,Ａノｰスランドボｰイ, 64,勝浦正, 0.2, 50,  -3,* -1, 1,  1.9, ⑩⑩, 2, 2, リリｰウイナｰ,---,秋山真, 0.3, 56,* -2,  -6, 3,  5.4, ③②, 2, 7,Ｇポンデザムｰル, 69,井上敏, 0.1, 71,   3,*  7, 7, 14.9, ⑫⑪, 2,13,Ｇアメｰジングタクト, 79,戸崎圭, 0.6, 77,   3,  12, 3,  4.5, ⑤⑥
 3,16,Ｋゴｰルドクェスト, 37,木幡初, 0.3, 52,  -1,  -5, 8, 29.5, ⑦⑦, 3,13, ヒルプリンセス,---,宮崎北, 0.8, 52,  -4,  -8,11, 29.3, ④⑥, 3, 5,Ｈエストゥペンド, 69,田辺裕, 0.8, 64,   5,  -2, 2,  4.2, ⑧⑧, 3, 8,Ｂタマブラックホｰル, 82,石橋脩, 0.7, 77,  -3,* 18, 4, 10.0, ⑭⑬
 4, 8,Ｇトｰセンアｰネスト, 41,宮崎北, 0.5, 48,*  0, -10, 4, 12.0, ②②, 4, 8, ケイジｰオプティｰ,---,岩部純, 0.9, 53,  -3,  -8,10, 27.0, ⑤⑤, 4,11,Ｆホクレアポパイ, 70,木幡初, 0.8, 68,   1,*  6,10, 78.8, ⑭⑬, 4, 4,Ｊダノンハラショｰ, 77,丸山元, 0.7, 78,  -1,  16,15,150.3, ⑨⑩
 5, 4,Ｄドラゴンパイロ, 48,吉田豊, 0.6, 46,  -1,  -9, 2,  5.0, ⑤④, 5,10, サンチュｰタ,---,松岡正, 0.9, 53, -18,*  8, 9, 26.7, ⑭⑭, 5,14,Ｅアンジェリック, 71,戸崎圭, 0.9, 64,   4,  -2, 3,  4.6, ⑨⑨, 5,16,Ｆマックスガイ, 80,北村宏, 0.8, 75,*  5,   7, 6, 12.1, ③②
 6,14,Ｊシルフ, 38,北村宏, 0.7, 48,*  0, -11, 6, 15.0, ③③, 6, 9, グロｰリアスアｰク,---,柴山雄, 1.2, 48,* -2, -14, 6, 21.8, ②③, 6, 9,Ｂトウショウプライド, 74,ベリｰ, 1.0, 60,   6,  -5, 4,  7.3, ⑦⑦, 6,15,Ｌロｰレンルｰナ, 76,田辺裕, 0.8, 76,  -5,* 19, 8, 21.9, ⑮⑮
 7,10,Ｈロｰドステルス, 40,吉田隼, 1.0, 46,  -3,  -7,15,231.6, ⑫⑪, 7, 6, コウエイトゥルｰス,---,武豊  , 1.4, 48,*  1, -18, 4,  6.7, ①①, 7,10,Ｋコスモチャイム, 62,木幡初, 1.0, 64,*  7,  -8,11, 91.5, ③③, 7,14,Ｈヘアｰオブザドッグ, 78,柴田善, 0.8, 75,  -3,* 17,12,103.0, ⑫⑫
 8,11,Ｌロマンホｰプ, 33,丸田恭, 1.0, 44,  -5,  -4, 9, 64.3, ⑯⑯, 8,11, レｰヴシャルマン,---,三浦皇, 1.7, 45,  -7, -13, 2,  4.8, ⑧⑧, 8, 6,Ｃラシアンカウボｰイ, 73,津村明, 1.1, 63,   5,  -7, 8, 16.8, ④④, 8, 3,Ｅシンキングマシｰン, 80,大野拓, 1.0, 74,   2,   8, 2,  3.5, ⑥⑤
 9, 7,Ｎフライガイザｰ, 18,井上敏, 1.1, 45,  -1, -12,14,112.6, ⑥⑥, 9, 3, フォｰワンタイキ,---,丸田恭, 1.8, 44, -10,  -9, 5, 17.9, ⑨⑨, 9,12,Ｍジュガンティｰヤ, 61,長岡禎, 1.5, 61,   5, -10,12,109.8, ⑥⑥, 9, 6,Ｋイチエイクリッパｰ, 77,武士沢, 1.3, 71,  -5,  14,16,201.1, ⑬⑭
10, 6,Ｂミュｰクロｰル, 62,横山和, 1.5, 42,  -3, -13, 5, 12.6, ⑨⑨,10, 5, トｰセンテレマｰク,---,菅原隆, 1.9, 44, -14,  -6,13, 87.7, ⑪⑪,10, 8,Ａアイアイエンデバｰ, 75,吉田豊, 2.0, 55,*  8, -17, 5, 10.7, ②②,10, 5,Ａインディｰズゲｰム, 83,丸田恭, 1.5, 69,  -1,   9, 5, 11.6, ⑪⑪
