14年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｻｲﾚﾝｽｽｽﾞｶｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄベルラップ, 34,横山典,, 45,  -6,* -8, 2,  3.5, ⑤⑤, 1,11,Ｃマウナロア, 67,北村友,, 73,   7,*  5, 4,  6.2,⑥⑧⑦, 1, 8,Ａサンライズマｰチ, 76,松若風,, 77,*  5,* 11, 1,  2.5, ③③, 1, 6,Ｇタガノグｰフォ, 78,戸崎圭,, 86,  10,* 10, 7, 18.2,⑧⑧⑦
 2,10,Ａヤマカツライデン, 45,松山弘, 0.3, 44,  -6, -13, 1,  2.8, ⑦⑥, 2,15,Ａダイシンロイ, 72,福永祐, 0.2, 71,   9,*  0, 2,  4.7,⑨④⑤, 2,14,Ｆトｰタルヒｰト, 70,戸崎圭, 0.2, 75,   1,* 14, 5, 13.1, ⑩⑨, 2, 2,Ｅスノｰドン, 80,北村友, 0.0, 87,  13,*  6, 3,  7.9,⑤⑤⑤
 3,11,Ｅスマｰトアロｰ, 30,武豊  , 0.3, 44,  -9,* -8, 3,  3.8, ⑩⑨, 3, 2,Ｂブレヴァン, 71,岩田康, 0.5, 70,* 10,  -3, 3,  4.7,③③③, 3,13,Ｂミリオンヴォルツ, 74,北村宏, 0.5, 73,   3,   9, 3,  7.5, ⑦⑧, 3, 1,Ａエｰシングングン, 82,酒井学, 0.1, 85,  14,   1, 2,  6.0,③③③
 4, 8,Ｂフミノインパルス, 41,福永祐, 0.9, 36, -12, -13, 5,  9.3, ⑪⑩, 4,10,Ｄシゲルエッチュウ, 64,幸英明, 1.2, 69,   5,*  2, 1,  4.1,⑬⑬⑩, 4, 6,Ｇエｰシングランダム, 69,川須栄, 0.5, 74,   2,  10,14, 58.4, ⑧⑦, 4, 4,Ｈメイショウジンム, 78,北村宏, 0.2, 83,* 15,  -4, 8, 55.6,②②②
 5, 9,Ｃハヤイガナ, 39,浜中俊, 1.1, 34,  -5, -27, 4,  8.6, ④④, 5, 4,Ｆメイショウキホｰテ, 62,森一馬, 1.2, 66,   9,  -8, 7, 18.5,④⑤④, 5, 7,Ｊサトノスパｰクル, 66,岩田康, 0.6, 72,   4,   6, 6, 13.9, ⑤④, 5, 5,Ｄアドマイヤケルソ, 80,福永祐, 0.3, 82,  14,  -1, 6,  8.7,④④④
 6, 3,Ｈカノヤカノニカル, 24,太宰啓, 1.5, 29,  -4, -32, 9, 47.0, ③③, 6, 9,Ｇマルカブラン, 62,戸崎圭, 1.7, 62,   6,  -7, 6, 12.4,⑩⑩⑨, 6, 9,Ｈメイショウユキチ, 69,酒井学, 0.9, 69,  -1,   9, 9, 22.8, ⑫⑫, 6, 8,Ｃジェントルマン, 81,ウィリ, 0.9, 78,  13,  -7, 1,  1.9,⑥⑥⑥
 7, 1,Ｆウインユニファイド, 30,中井裕, 1.7, 29,* -2, -42, 7, 30.8, ①①, 7, 1,Ｅバイスブルｰ, 63,熊沢重, 1.7, 64,* 11, -17, 5,  6.2,①①①, 7, 1,Ｌハピネスイズヒア, 66,中井裕, 0.9, 70,  -3,* 11,13, 55.6, ⑭⑭, 7, 7,Ｆロｰゼンケｰニッヒ, 79,小牧太, 0.9, 77,  10,  -3, 4,  7.9,⑨⑨⑨
 8, 4,Ｇソニック, 26,酒井学, 2.2, 23,  -8, -35, 8, 33.8, ⑧⑧, 8,14,Ｈシャイニンシｰザｰ, 61,藤懸貴, 1.8, 66,   5,  -1,11, 61.5,⑮⑮⑬, 8, 2,Ｅビコｰミハイル, 70,佐久間, 1.3, 66,   0,   5,10, 23.9, ⑪⑪, 8, 3,Ｉサイモンガｰランド, 74,熊沢重, 2.1, 67,* 15, -32, 9, 66.1,①①①
