14年 3月29日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月29日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大寒桜賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂヴァイセフラウ, 60,中舘英,, 67,*  1,   1, 2,  3.1, ①①, 1,11, ヤマカツハクリュウ,,高田潤,,,,, 4,  8.1,⑦④⑤, 1, 2,Ａヴァレンティｰア, 75,吉田隼,, 74,   0,* 13, 1,  2.4,⑦⑦⑦, 1,13,Ａワｰルドインパクト, 82,川須栄,, 77,   1,* 17, 1,  1.8,⑫⑫⑫
 2,16,Ｇメイショウルナ, 55,城戸義, 0.4, 61,*  0,  -2, 7, 21.3, ④③, 2,12, ゴｰルデンオブジェ,,北沢伸,199.8,,,, 6, 13.5,⑫⑨⑦, 2, 4,Ｈテイエムライオネス, 57,竹之下, 0.2, 69,*  3,   5, 4, 11.0,①①①, 2, 7,Ｄハギノハイブリッド, 74,菱田裕, 0.2, 75,   2,*  8, 2,  3.0,⑤⑥⑦
 3, 5,Ｃデルマアラレチャン, 59,長岡禎, 0.6, 60,  -4,   0, 1,  3.1, ⑧⑦, 3, 6, ドリｰムセｰリング,,石神深,200.4,,,, 1,  2.1,⑤②②, 3, 5,Ｂアプレレクｰル, 74,丸山元, 0.8, 66,   2,   3, 3,  3.7,⑥⑥⑥, 3,11,Ｂコウエイワンマン, 74,柴山雄, 0.5, 70,*  6,  -5, 9, 55.2,⑪②②
 4, 8,Ｊヴォランテ, 48,高田潤, 1.0, 58,  -9,   4,16,290.3, ⑪⑪, 4, 9, キｰプトライン,,横山義,201.0,,,, 3,  6.5,⑥⑥⑥, 4, 9,Ｉマｰヴェリックス, 53,岡田祥, 0.9, 65,*  3,  -1, 5, 13.9,③③③, 4, 9,Ｅトライアゲイン, 72,高倉稜, 0.8, 68,   2,   0, 8, 40.4,⑨⑪⑨
 5, 7,Ｄファｰビヨンド, 58,藤岡佑, 1.0, 57,  -2,  -5, 4,  9.6, ⑥④, 5, 8, エフティシリウス,,エノン,201.1,,,, 9, 47.1,②⑤④, 5, 3,Ｆヤマガｰル, 64,松田大, 1.0, 65,  -3,*  9, 8, 43.2,⑨⑨⑨, 5, 8,Ｃファシｰノ, 74,北村友, 0.9, 68,   4,  -4, 3, 12.3,⑦⑦⑥
 6,15, アイファｰマシェリ,---,北村友, 1.2, 55,*  1,  -9, 9, 60.2, ②②, 6,10, イオンドライブ,,金子光,201.8,,,, 5,  9.9,⑩⑧⑩, 6, 8,Ｇミキノティｰタイム, 61,菱田裕, 1.4, 60,   2,  -2, 7, 25.6,⑤⑤⑤, 6,12,Ｉキタサンキンボシ, 60,荻野琢, 1.0, 66,*  6, -12,11, 90.8,①①①
 7, 3,Ｅラブウィスパｰ, 55,菱田裕, 1.4, 52,  -4,  -7, 5, 11.9, ⑦⑧, 7,13, エクレウス,,上野翔,202.5,,,, 2,  5.7,⑪⑪⑧, 7, 6,Ｅスピカシチｰ, 68,柴山雄, 1.8, 60,  -1,   0, 9,112.8,⑧⑧⑧, 7, 4,Ｍマハロチケット, 40,藤岡佑, 1.1, 66,   0,   3, 4, 12.5,⑬⑬⑬
 8,13,Ｆタイセイデザイア, 55,川須栄, 1.4, 53,*  0, -10, 6, 13.3, ③⑤, 8, 4, テイエムシシｰポス,,田村太,202.5,,,, 7, 19.8,④③③, 8, 7,Ｄソロデビュｰ, 71,川須栄, 1.9, 59,*  2,  -9, 6, 16.3,②②②, 8,10,Ｇロングリバイバル, 63,中井裕, 1.8, 60,   2, -12,12,106.1,⑩⑩⑩
 9, 2,Ｋゴｰルドアスｰル, 45,柴山雄, 1.5, 51, -19,*  7,11,118.0, ⑮⑯, 9, 2, ビレッジトレンディ,,大江原,203.9,,,, 8, 30.4,③①①, 9, 1,Ｃニｰレンベルギア, 71,北村友, 1.9, 59,   2,  -6, 2,  3.7,④④④, 9, 6,Ｆケンタッキｰミント, 66,松田大, 2.8, 50,   2, -28,10, 67.5,⑧⑧⑧
10,11,Ｈマイカイ, 52,黛弘人, 1.5, 52, -20,*  8,13,164.9, ⑯⑮,10, 7, ティティベンケイ,,平沢健,206.2,,,,13,191.2,⑨⑦⑨,,,,,,,,,,,,,10, 5,Ｌエイシンフランキｰ, 49,酒井学, 2.8, 50,*  5, -34, 6, 34.2,④⑤③
11, 6,Ｉプリミティブラブ, 51,岡田祥, 1.8, 49,  -7,  -7, 8, 24.4, ⑩⑩,11, 3, エムエムベレッタ,,浜野谷,206.7,,,,11,110.2,①⑫⑪,,,,,,,,,,,,,11, 2,Ｋレイズアスピリット, 55,勝浦正, 2.9, 52,*  5, -35, 5, 21.7,③④④
12, 1,Ｍクィｰンオブシバ, 41,勝浦正, 2.1, 46, -13,  -4,10,105.5, ⑫⑫,12,14, シゲルウオザ,,植野貴,206.8,,,,12,150.9,⑧⑩⑫,,,,,,,,,,,,,12, 3,Ｈアムｰルスキｰ, 63,丸山元, 3.2, 48,   1, -31, 7, 40.0,⑥⑨⑪
13, 9,Ｌタマモエバグリｰン, 42,岩崎翼, 2.6, 41, -12,  -9,14,188.4, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,13, 1,Ｊタｰフデザイナｰ, 56,吉田隼, 4.6, 42,   3, -58,13,122.2,②③⑤
14,14,Ｎエストスマイル, 21,西田雄, 3.0, 38,  -4, -21,15,269.7, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12, アグリデジタル,---,藤懸貴, 3.1, 39, -12, -13,12,143.4, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 4,Ａアンゴスチュラ, 63,中井裕, 3.8, 32,  -2, -30, 3,  5.0, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,
"単勝:310円 複勝:10=130円 16=400円 05=120円 枠連:1,990円",,,,,,,,,,,,"単勝:810円 複勝:11=220円 12=220円 06=120円 枠連:2,750円",,,,,,,,,,,,"単勝:240円 複勝:02=110円 04=270円 05=140円 枠連:1,790円",,,,,,,,,,,,単勝:180円 複勝:13=110円 07=130円 11=530円 枠連:240円,,,,,,,,,,,
"馬連:3,660円 ワイド:10-16=1,070円 05-10=210円 05-16=730円",,,,,,,,,,,,"馬連:2,670円 ワイド:11-12=820円 06-11=410円 06-12=380円",,,,,,,,,,,,"馬連:1,590円 ワイド:02-04=430円 02-05=160円 04-05=670円",,,,,,,,,,,,馬連:240円 ワイド:07-13=140円 11-13=600円 07-11=890円,,,,,,,,,,,
"馬単:5,260円 3連複:2,840円 3連単:18,350円",,,,,,,,,,,,"馬単:5,530円 3連複:2,450円 3連単:19,990円",,,,,,,,,,,,"馬単:2,750円 3連複:1,360円 3連単:8,170円",,,,,,,,,,,,"馬単:340円 3連複:1,680円 3連単:4,340円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 5R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 8R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名鉄杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
