14年11月 9日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 9日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2800m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五色沼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｈアトランタ, 50,高倉稜,, 57,  -6,*  7, 4, 10.2, ⑫⑫, 1, 4, アウレオｰラ,,大江原,,,,, 4,  8.1,①①①, 1,10,Ｂスｰパｰアｰス, 69,黛弘人,, 68,*  7,   3, 3,  8.4, ③③, 1, 3,Ｆチェリｰペトルズ, 64,丸田恭,, 70,   3,*  6, 6, 19.4, ⑧⑤
 2,13,Ｂリリｰウイナｰ, 59,松若風, 0.0, 61,*  5,  -3, 1,  3.0, ④②, 2, 2, ウインボナンザ,,熊沢重,185.7,,,, 7, 11.6,⑥③③, 2,15,Ａセシリア, 75,丸田恭, 0.2, 66,*  9,   0, 1,  2.7, ②②, 2, 5,Ｂヤマニンマルキｰザ, 77,伊藤工, 0.0, 71,* 12,  -2, 1,  2.2, ②②
 3, 1,Ｄラッキｰダン, 55,丹内祐, 0.4, 57,*  7,  -7, 7, 24.5, ①①, 3,11, ディｰプフォンテン,,浜野谷,186.1,,,, 2,  4.0,④⑤⑤, 3, 3,Ｇクインスウィｰティ, 66,松若風, 0.2, 66,   4,   5,10, 26.6, ⑤⑤, 3, 1,Ａアイファｰマシェリ, 80,吉田隼, 0.2, 68,* 13,  -6, 3,  6.2, ①①
 4,16,Ａサカジロビュｰティ, 60,小崎綾, 0.4, 56,   4,  -4, 3,  5.0, ⑥⑥, 4, 5, ツクバヤマノオｰ,,横山義,186.5,,,, 3,  5.4,⑤④④, 4, 8,Ｅクラウンアイリス, 66,城戸義, 0.3, 65, -11,* 18, 2,  7.4, ⑭⑭, 4, 8,Ｊトウシンムサシ, 62,松若風, 0.3, 67,   1,*  5,12, 44.1, ⑨⑦
 5,15,Ｋカンタベリｰキッズ, 46,二本柳, 0.5, 55,  -3,   2,13, 81.7, ⑪⑪, 5, 6, レアｰレスパｰダ,,蓑島靖,187.3,,,, 1,  3.9,③②②, 5, 1,Ｋスピｰディユウマ, 62,井上敏, 0.3, 65,   0,   7,12, 38.1, ⑧⑧, 5, 6,Ｋショウナンバグｰス, 61,勝浦正, 0.3, 68,   8,  -2, 5, 15.4, ④③
 6, 2,Ｇワンラヴワンハｰト, 50,吉田隼, 0.8, 52,   5,  -9, 6, 23.0, ⑤③, 6, 7, スズカホｰプ,,高野和,187.6,,,,10, 44.0,⑧⑧⑦, 6,13,Ｊデスティニｰラブ, 62,丸山元, 0.3, 65,   4,   3,11, 31.5, ⑥⑥, 6,13,Ｃケントヒｰロｰ, 70,岩崎翼, 0.4, 66,   5,  -1, 2,  5.3, ⑦⑥
 7,11,Ｃカシノランド, 59,岩崎翼, 0.9, 49,  -2,  -4, 5, 11.5, ⑨⑧, 7, 8, エフティシリウス,,原田和,187.6,,,, 8, 18.2,⑨⑦⑥, 7, 6,Ｏオｰルオブナイト, 59,高倉稜, 0.3, 65, -13,* 20, 6, 11.5, ⑯⑮, 7,10,Ｍサウンドマンデュロ, 60,西田雄, 0.7, 62,* 10, -10,13, 45.5, ③④
 8, 9,Ｍマニワプリンセス, 44,丸田恭, 1.0, 47,  -7,   0,10, 35.3, ⑬⑬, 8, 1, カワキタバルク,,草野太,189.6,,,,12, 73.7,⑩⑥⑨, 8, 2,Ｌベイビｰイッツユｰ, 61,津村明, 0.5, 62,  -4,   9, 9, 16.2, ⑪⑪, 8,12,Ｉミッキｰマンデｰ, 63,熊沢重, 0.8, 60,  -1,  -1, 4,  9.3, ⑩⑪
 9, 6,Ｌエスティルンバ, 44,菅原隆, 1.0, 49,  -3,  -3,14,108.7, ⑩⑨, 9,12, クリノキングムｰン,,平沢健,189.7,,,,11, 53.4,⑦⑨⑧, 9, 7,Ｄフェイトカラｰ, 67,勝浦正, 0.5, 62,   1,   3, 5,  9.5, ⑩⑩, 9, 9,Ｅリネンヴィヴィッド, 67,江田照, 0.9, 59,  -2,  -1, 7, 26.3, ⑪⑨
10, 5,Ｐシゲルケンカマツリ, 14,古川吉, 1.1, 45, -13,*  4,11, 56.9, ⑮⑮,10,10, スティルレｰベン,,山本康,190.1,,,, 5,  9.7,⑪⑩⑩,10,11,Ｍタイセイゼニス, 61,小崎綾, 0.5, 62,*  7,  -3, 4,  9.0, ④④,10, 7,Ｌシセイカスガ, 61,高倉稜, 0.9, 61, -10,*  9,11, 40.3, ⑯⑯
