14年 8月 9日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 8月 9日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1500m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾛｰﾊﾞｰ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｆウインアキレア, 47,三浦皇,, 60,*  8, -17, 2,  4.1,⑤③③, 1,12,Ａゲンパチケンザン, 71,松岡正,, 63,   3,*  4, 1,  2.4,⑩⑦②, 1,10,Ｇナイスゴｰルド, 65,松岡正,, 69,*  1,   5, 7, 30.6, ①①, 1,10,Ｃトｰセンラｰク, 57,吉田隼,, 67,*  9,  -9, 1,  3.1,②②②
 2, 7,Ｅディｰプフォルツァ, 48,勝浦正, 0.0, 61,   6,*-13, 1,  1.8,⑧⑨⑨, 2, 5,Ｆファイネスト, 55,古川吉, 0.1, 63,   5,   0, 7, 24.8,⑥④③, 2,11,Ｃパワフルラリマｰ, 71,三浦皇, 0.1, 67,*  0,   5, 3,  4.9, ②②, 2,12,Ａノットフォｰマル, 65,黛弘人, 0.1, 65,   7,  -8, 3,  4.6,④④③
 3, 8,Ｈアドマイヤゴッド, 46,池添謙, 0.1, 57,   4,*-12, 3,  6.6,⑩⑪⑩, 3, 8,Ｄレオウィッシュ, 63,横山和, 0.2, 61,   4,   0, 3,  4.9,⑦⑤⑤, 3, 3,Ａタサジャラ, 76,小崎綾, 0.2, 65, -11,* 11, 2,  4.1, ⑧⑨, 3,13,Ｆウインバロｰラス, 41,松岡正, 0.1, 65,   5,* -5, 5, 14.4,⑦⑦⑥
 4, 3,Ｎクリノテツマン, 34,松田大, 0.7, 52,   7, -24,11,146.0,①④④, 4,13,Ｂホッコｰゴウケン, 69,勝浦正, 0.4, 59,   3,   0, 2,  4.3,⑨⑥⑦, 4, 9,Ｂサトノプレシャス, 72,勝浦正, 0.3, 64, -10,* 10, 1,  2.4, ⑩⑦, 4, 4, ウチデノコヅチ,---,丸山元, 0.4, 64,* 11, -17, 7, 24.9,①①①
 5, 1,Ｍエスティエッキｰ, 35,丸山元, 0.8, 51,   4, -22,13,175.9,⑨⑧⑦, 5, 9,Ｅマコトヴォカシオン, 63,小崎綾, 0.4, 60,   5,  -3, 4,  7.4,④③④, 5, 6,Ｄテイエムシシオｰ, 70,長岡禎, 0.3, 65,  -3,   5, 6, 21.3, ⑤⑤, 5, 1,Ｂスルタｰナ, 58,四位洋, 0.4, 62,   7, -12, 2,  3.8,③③④
 6,10,Ｄミュゼバトラｰ, 49,柴山雄, 0.8, 50,   2, -17, 8, 30.8,⑫⑬⑫, 6, 7,Ｃトウショウエディタ, 65,中谷雄, 0.6, 60,   2,*  2, 6, 17.8,⑬⑩⑨, 6,12,Ｋグランヴァン, 53,小林徹, 0.7, 61,  -2,   1, 4,  5.1, ③③, 6, 8,Ｄグランドポピｰ, 56,秋山真, 0.5, 61,   7, -12, 4,  5.8,⑤⑥⑤
 7,12,Ｂタイセイボニｰタ, 55,小崎綾, 1.0, 49,*  9, -31, 6, 19.3,③②②, 7, 1,Ｍポルナｰダ, 39,菅原隆, 0.7, 59,   3,  -1,12,180.1,③⑧⑧, 7, 2,Ｉマリナｰズコンパス, 60,菱田裕, 0.7, 61,  -2,   2,10, 79.1, ④④, 7, 5, ネガティヴ,---,服部茂, 0.6, 60,   2,* -5,12,126.8,⑩⑪⑩
 8,13,Ｃケイアイトレジャｰ, 50,菱田裕, 1.0, 49,   7, -29, 4, 11.5,⑪⑥⑥, 8, 4,Ｋケンブリッジハｰツ, 42,井上敏, 1.4, 54,   2,  -5,13,242.0,⑤⑨⑩, 8, 8,Ｈフレイヤ, 63,城戸義, 0.7, 60,  -8,   4,11,161.2, ⑦⑧, 8,11,Ｅラブミｰクン, 54,田中博, 0.6, 59,   2,* -5, 8, 26.8,⑫⑫⑪
 9, 2,Ａアンダリュｰサイト, 55,丸田恭, 1.1, 48,   7, -28, 5, 17.6,④⑦⑤, 9, 2,Ｇキョウワマロン, 53,竹之下, 1.6, 51,* 10, -22,11,176.6,①①①, 9, 7,Ｊアイナマｰリエ, 56,井上敏, 0.8, 59,  -6,   2, 8, 39.7, ⑥⑥, 9, 2, ブライトギャル,---,中谷雄, 0.7, 59,   6, -13,11, 96.8,⑥⑤⑦
10,14,Ｋラッシュボｰル, 40,城戸義, 1.7, 41,   2, -29,14,191.8,⑭⑫⑬,10, 6,Ｉフェンガリ, 51,菱田裕, 3.1, 41,   0, -18,10, 61.9,⑧⑪⑪,10, 4,Ｅカウンタｰハッセキ, 68,柴山雄, 1.5, 51, -10,  -1, 9, 70.6, ⑨⑩,10, 7, オヤコダカ,---,阪野学, 0.8, 57,   4, -12, 6, 16.2,⑪⑩⑨
11, 4,Ｉキングイマデショウ, 45,古川吉, 1.8, 41,*  9, -43,10, 91.0,②①①,11, 3,Ｊアイリッシュギフト, 51,柴山雄, 3.2, 38,*  8, -34, 5, 11.1,②②⑥,11, 5,Ｌポワドサントゥｰル, 42,田中博, 1.9, 47, -14,  -2,12,164.4, ⑪⑪,11, 3, タイセイスウォｰド,---,宮崎光, 1.0, 55,   4, -14, 9, 35.2,⑧⑧⑧
12,11,Ｇダンツラッシュ, 47,藤田伸, 1.9, 40,   2, -31, 9, 32.4,⑬⑭⑪,12,11,Ｌモクレン, 42,吉田隼, 4.1, 36,   0, -25, 9, 49.7,⑪⑫⑫,12, 1,Ｆダイヤハｰト, 67,黛弘人, 2.0, 47, -20,   1, 5, 16.6, ⑫⑫,12, 6, ノボリクリｰン,---,岩橋勇, 1.9, 46,   3, -24,10, 54.4,⑨⑨⑫
13, 6,Ｌエマｰジングウルフ, 36,津村明, 2.1, 39,   5, -37,12,146.9,⑦⑩⑭,13,10,Ｈフジヤマテスラ, 52,藤田伸, 4.9, 33,  -5, -23, 8, 25.2,⑫⑬⑬,,,,,,,,,,,,,13, 9, ウｰマン,---,桑村真, 1.9, 45,  -3, -15,13,184.1,⑬⑬⑬
14, 9,Ｊコスモデレガンス, 42,松岡正, 2.1, 39,   7, -42, 7, 24.7,⑥⑤⑧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-1),,,,,,,,,,,
単勝:410円 複勝:05=120円 07=110円 08=140円 枠連:270円,,,,,,,,,,,,"単勝:240円 複勝:12=140円 05=450円 08=150円 枠連:1,710円",,,,,,,,,,,,"単勝:3,060円 複勝:10=530円 11=160円 03=170円 枠連:250円",,,,,,,,,,,,単勝:310円 複勝:10=140円 12=160円 13=340円 枠連:550円,,,,,,,,,,,
馬連:380円 ワイド:05-07=150円 05-08=400円 07-08=270円,,,,,,,,,,,,"馬連:3,460円 ワイド:05-12=1,210円 08-12=270円 05-08=1,240円",,,,,,,,,,,,"馬連:3,550円 ワイド:10-11=1,010円 03-10=1,720円 03-11=460円",,,,,,,,,,,,馬連:810円 ワイド:10-12=320円 10-13=760円 12-13=620円,,,,,,,,,,,
"馬単:940円 3連複:630円 3連単:3,270円",,,,,,,,,,,,"馬単:4,640円 3連複:3,890円 3連単:22,000円",,,,,,,,,,,,"馬単:8,960円 3連複:6,010円 3連単:58,600円",,,,,,,,,,,,"馬単:1,350円 3連複:3,220円 3連単:10,250円",,,,,,,,,,,
■ 2R  ダ2400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,藻岩山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
