14年10月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,白秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｇアルタイル, 45,松岡正,, 62,   0,* -1, 3,  6.9, ⑥⑦, 1, 5, コアプライド,---,ベリｰ,, 66,  -4,*  4, 3,  6.2,④⑤⑥, 1, 4,Ｇシンボリハミルトン, 69,横山典,, 71,  -2,* 12, 4,  9.6, ⑥⑤, 1, 7,Ｃカオスモス, 81,戸崎圭,, 87,  -5,* 19, 3,  7.4, ⑤⑤
 2, 4,Ｈサンアルパイン, 45,岩部純, 0.1, 63,*  4,  -8, 7, 18.7, ①①, 2, 9, ペルセヴェランテ,---,戸崎圭, 0.0, 66,  -5,*  7, 1,  2.0,⑤⑦⑦, 2, 7,Ａメガオパｰルカフェ, 76,田中勝, 0.0, 73,  -1,  12, 3,  7.2, ④④, 2,11,Ｂエｰルブリｰズ, 82,三浦皇, 0.1, 86,  -5,  18, 1,  2.6, ⑧⑥
 3, 2,Ｃガルｰダ, 51,石橋脩, 0.6, 58,   0,  -6, 9, 24.9, ⑨⑥, 3, 4, ボルドネス,---,横山典, 0.5, 59,  -3,  -5, 2,  5.0,②⑥③, 3, 5,Ｅヤンキｰソヴリン, 72,木幡初, 0.1, 73,  -3,* 13, 2,  4.4, ⑦⑦, 3, 3,Ｅベステゲシェンク, 80,北村宏, 0.2, 86,  -7,* 19, 2,  5.5, ⑦⑧
 4,10,Ｆノｰフェイト, 46,田中勝, 0.7, 56,  -1,  -6, 8, 22.3, ⑭⑩, 4, 8, キジャナ,---,勝浦正, 0.8, 59,  -5,  -3, 7, 21.4,⑨⑩⑩, 4,11,Ｂプレジｰルシチｰ, 76,戸崎圭, 0.2, 70,*  1,   7, 1,  1.8, ②②, 4, 9,Ｄチェリｰヒロイン, 80,横山典, 0.2, 84,  -3,  15, 7, 17.4, ⑥③
 5, 1,Ｌリンカｰンハｰト, 41,吉田豊, 0.7, 55,  -2,* -4,12, 56.9, ⑫⑬, 5,10, インスタントリｰ,---,大野拓, 0.9, 57,  -3,  -8,11, 63.7,③⑧⑧, 5, 8,Ｋコスモジグ, 63,柴田大, 0.5, 70,   0,   6, 9, 28.5, ③③, 5,14,Ａシルクドリｰマｰ, 85,田辺裕, 0.3, 86, -10,* 22, 9, 26.0, ⑬⑬
 6,14,Ａクラウンリバティｰ, 54,田辺裕, 1.3, 51,   0, -14, 1,  2.8, ⑧⑨, 6, 6, ヴェラヴァルスタｰ,---,北村宏, 1.0, 55,  -3, -11, 4,  7.2,⑧④⑤, 6, 6,Ｊライトオブホｰプ, 64,嘉藤貴, 0.6, 64,*  0,   3, 7, 20.2, ①①, 6,12,Ｊミナレット, 77,嘉藤貴, 0.3, 81,* -1,  10,10, 30.6, ①①
 7, 8,Ｊワタシダイナマイト, 42,北村宏, 1.5, 52,*  4, -19, 5, 13.9, ②②, 7, 1, トｰセンシｰギリア,---,菱田裕, 1.1, 55,  -3, -12, 5, 11.3,⑥③④, 7, 1,Ｃナムラショウリ, 74,ベリｰ, 0.9, 65,  -4,   9, 6, 20.1, ⑩⑩, 7, 2,Ｆマカハ, 80,ベリｰ, 0.4, 84,  -7,  18, 5,  7.6, ⑨⑩
 8, 3,Ｄトウショウチャｰト, 50,浜中俊, 1.8, 50,   2, -19, 2,  3.9, ⑤④, 8, 3, アルトサックス,---,田辺裕, 1.2, 52,* -2, -17, 9, 46.4,⑩②②, 8, 2,Ｈディアイッセイ, 67,勝浦正, 0.9, 65,  -5,   9,11,254.0, ⑨⑨, 8, 6,Ｈフレイムヘイロｰ, 79,大野拓, 0.5, 83,  -7,  17,13,101.9, ⑩⑪
 9,15,Ｋワイルドテイスト, 42,戸崎圭, 1.8, 48,*  3, -22,11, 29.9, ③③, 9, 2, スズカハイヤｰ,---,田中勝, 1.4, 51,* -2, -20,10, 60.7,①①①, 9, 9,Ｄトミケンスラｰヴァ, 73,北村宏, 0.9, 67,  -2,   5, 8, 27.9, ⑤⑥, 9,13,Ｌアドマイヤドバイ, 76,福永祐, 0.5, 79,* -2,   9, 8, 22.4, ③②
10,16,Ｂレｰスノワエ, 53,伴啓太, 1.9, 46,   2, -21, 6, 16.3, ④⑤,10,11, ジャンゴ,---,江田照, 1.5, 51,  -6, -12, 8, 31.7,⑦⑪⑪,10,10,Ｆジュルヴォアソング, 70,蛯名正, 1.4, 62,  -3,   2, 5, 18.2, ⑧⑧,10, 8,Ｍレムミラス, 74,藤岡康, 0.5, 81,  -3,  11,11, 37.1, ②④
11,12,Ｅマイネルアペックス, 50,柴田大, 2.0, 46,  -2, -17, 4,  8.9, ⑩⑪,11, 7, ジョッセルフェルト,---,藤岡康, 1.6, 50,  -5, -15, 6, 21.3,⑪⑨⑨,11, 3,Ｉキネオレジェンド, 65,菱田裕, 1.7, 60,  -6,   4,10, 52.0, ⑪⑪,11, 5,Ｇハングリｰジャック, 79,菱田裕, 0.5, 83, -10,* 19, 6, 17.0, ⑫⑫
12, 5,Ｉサクラモチ, 44,大野拓, 2.2, 45,  -2, -17,10, 27.1, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｉエポワス, 79,柴田善, 0.8, 77,  -6,  10, 4,  7.5, ④⑦
13, 7,Ｍアップリズム, 39,武士沢, 2.2, 43,  -6, -12,14, 84.6, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｎマイネルアダマス, 70,柴田大, 1.2, 73,  -7,   6,14,177.1, ⑪⑨
14,13,Ｎトミケンモヴェｰル, 36,藤岡康, 2.3, 44,  -2, -19,15,173.5, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｋデンファレ, 76,的場勇, 2.0, 65, -15,   7,12, 49.6, ⑭⑭
15,11,Ｐアポロエｰス, 33,ベリｰ, 3.3, 34,   0, -30,13, 61.7, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 9,Ｏアドニスステラ, 33,江田照, 5.4, 23,  -8, -39,16,255.5, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,
単勝:690円 複勝:06=250円 04=780円 02=560円 枠連:900円,,,,,,,,,,,,単勝:620円 複勝:05=150円 09=110円 04=140円 枠連:460円,,,,,,,,,,,,"単勝:960円 複勝:04=290円 07=270円 05=200円 枠連:2,360円",,,,,,,,,,,,単勝:740円 複勝:07=210円 11=120円 03=170円 枠連:750円,,,,,,,,,,,
"馬連:7,650円 ワイド:04-06=2,300円 02-06=2,330円 02-04=6,710円",,,,,,,,,,,,馬連:580円 ワイド:05-09=260円 04-05=410円 04-09=260円,,,,,,,,,,,,"馬連:3,230円 ワイド:04-07=720円 04-05=670円 05-07=460円",,,,,,,,,,,,馬連:980円 ワイド:07-11=450円 03-07=800円 03-11=390円,,,,,,,,,,,
"馬単:11,510円 3連複:44,320円 3連単:224,400円",,,,,,,,,,,,"馬単:1,590円 3連複:790円 3連単:5,100円",,,,,,,,,,,,"馬単:6,040円 3連複:3,690円 3連単:32,340円",,,,,,,,,,,,"馬単:2,470円 3連複:1,940円 3連単:10,590円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,府中牝馬ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａソｰルインパクト, 59,福永祐,, 65,  -9,* 12, 1,  1.1, ⑦⑦, 1, 9,Ｂアイソレｰション, 76,三浦皇,, 72,  11,* -3, 3,  5.6,⑥⑥③, 1, 4,Ｂマンボネフュｰ, 74,蛯名正,, 77,   8,   9, 1,  3.3, ③③, 1, 5,Ｄディアデラマドレ, 87,藤岡康,, 92,  11,* 21, 4,  8.0,⑨⑫⑫
 2, 5,Ｈナイトフォックス, 44,北村宏, 0.1, 64,  -8,*  9, 2, 12.9, ⑤④, 2, 8,Ａメジャｰステップ, 77,北村宏, 0.7, 69,* 12, -10, 1,  2.5,④②②, 2, 2,Ｃアルマディヴァン, 72,勝浦正, 0.2, 74,   5,  10, 2,  3.5, ⑤⑥, 2, 3,Ｂスマｰトレイアｰ, 90,横山典, 0.1, 90,  11,* 21, 1,  3.4,⑬⑬⑬
 3,13,Ｊアサクサリｰダｰ, 44,吉田豊, 0.5, 59,  -7,   2, 6, 26.6, ④⑥, 3, 4,Ｃスワｰヴカイザｰ, 72,ベリｰ, 0.9, 65,  10,  -9, 2,  2.8,⑤③⑤, 3,15,Ｈサンマルホウセキ, 71,田中勝, 0.4, 72,   7,   6, 5,  8.2, ⑦⑤, 3,12,Ｃホエｰルキャプチャ, 87,蛯名正, 0.2, 88,* 16,   6, 2,  3.9,④②②
 4, 4,Ｉヤマニンシャンデル, 44,大野拓, 0.5, 58,  -6,   2, 9, 67.3, ⑥⑤, 4, 1,Ｅタイセイボルト, 70,戸崎圭, 1.2, 66,  10,  -9, 4,  6.7,⑦⑦⑥, 4, 1,Ｎリｰサルウェポン, 66,戸崎圭, 0.4, 73,   3,* 12, 3,  5.4, ⑧⑧, 4, 2,Ａキャトルフィｰユ, 94,福永祐, 0.3, 87,  14,  11, 3,  4.3,⑦⑦⑥
