14年12月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,こうやまき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄサｰジェントバッジ, 58,勝浦正,, 61,  -4,* 11, 7, 20.3,⑧⑤⑤, 1, 6, アドミッション,,石神深,,,,, 3,  7.4,④②②, 1, 2,Ｄリタｰントゥジェム, 73,長岡禎,, 81,  -3,* 22, 2,  5.9,⑤⑧⑥, 1, 8,Ｂブリクスト, 67,北村友,, 66, -18,* 17, 2,  5.3,⑦⑥⑥
 2, 5,Ｂカフジペガサス, 61,北村友, 0.0, 61,* -2,*  9, 8, 29.1,②②②, 2, 5, トイボックス,,白浜雄,200.4,,,, 5,  8.9,③③③, 2, 8,Ｆキｰンソｰド, 70,原田和, 0.2, 76,*  0,  15, 4,  8.9,②②②, 2, 2,Ａダッシングブレイズ, 68,菱田裕, 0.0, 68, -18,* 19, 1,  1.7,⑥⑦⑦
 3, 3,Ａヒデノインペリアル, 70,吉田隼, 0.1, 60,* -3,*  8, 1,  1.5,④③③, 3, 4, ヘリオスフィア,,五十嵐,200.5,,,, 2,  3.4,⑧⑥④, 3, 6,Ｃサトノセレリティ, 74,杉原誠, 0.7, 71,  -2,  14, 3,  6.5,⑩⑥⑦, 3, 4,Ｆペガサスボス, 58,松田大, 0.0, 62,*-11,   6, 5,  9.6,②①①
 4,15,Ｃハｰランズキング, 59,村田一, 0.9, 55,  -5,   5, 3, 10.1,⑦⑧⑨, 4,14, ダンツミュｰタント,,森一馬,201.1,,,, 1,  2.2,②①①, 4, 7,Ａイノセンテス, 77,小崎綾, 0.8, 71,* -1,  12, 1,  1.6,④④④, 4, 1,Ｄアドマイヤゴッド, 60,藤岡康, 0.2, 60,*-13,   6, 4,  7.9,①②②
 5,16,Ｎノｰブルクリスタル, 38,古川吉, 1.2, 55,  -6,   4,10,102.7,⑩⑩⑦, 5,11, エルインペレイタｰ,,浜野谷,201.1,,,, 6, 22.6,⑥④⑤, 5, 1,Ｂデンコウエポック, 76,小野寺, 1.1, 72,  -4,  15, 9, 59.6,⑦⑩⑩, 5, 5,Ｅテイエムダンシング, 59,松若風, 0.2, 60, -14,   7, 9,117.1,③③④
 6,10,Ｐロｰレルベルカント, 25,長岡禎, 1.3, 54,  -4,   1,14,228.0,⑤⑥⑥, 6, 7, ハギノセゾン,,北沢伸,201.6,,,, 8, 40.9,⑪⑧⑧, 6, 9,Ｊマｰヴェリックス, 66,中井裕, 1.3, 71,  -2,   9,11, 99.6,⑨⑦⑧, 6, 9,Ｈコルボノワｰル, 58,小崎綾, 0.3, 60, -14,   7, 3,  7.5,⑤⑤③
 7,11,Ｅセルリアンコスモ, 56,小崎綾, 1.6, 51,  -6,   1, 4, 10.4,⑨⑨⑪, 7, 2, ダイメイサンジ,,平沢健,201.7,,,,10, 68.5,⑦⑦⑦, 7,10,Ｇナムライットウセイ, 70,藤懸貴, 1.3, 69,  -2,  11, 5, 11.6,⑪⑨⑨, 7, 3,Ｉゴｰルドメダリオン, 57,勝浦正, 0.4, 64, -19,  15, 6, 19.6,⑧⑧⑧
 8, 9,Ｋリネンパタｰ, 45,伴啓太, 1.6, 52,  -7,   3,11,107.7,⑬⑫⑩, 8, 9, プロジェクトブルｰ,,山本康,202.0,,,, 4,  8.0,⑤⑤⑥, 8, 3,Ｈレディカリビアン, 68,松若風, 1.8, 66,* -1,   3, 8, 56.5,⑥⑤⑤, 8, 6,Ｃマイネルレハイム, 60,黛弘人, 0.5, 59, -17,   7, 7, 28.6,④④⑤
