14年 3月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ2000m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,仁川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａノボキャビア, 67,岩田康,, 64,*  2,  -2, 1,  1.7, ②②, 1, 1, ニライジンク,,熊沢重,,,,, 2,  5.3,①①①, 1, 4,Ｇキングデザイヤｰ, 68,和田竜,, 75,*  5,   1, 2,  4.0,①①①, 1, 6,Ａナムラビクタｰ, 93,小牧太,, 94,* 17,* 15, 1,  1.8,④③③
 2, 1,Ｉディオレサンス, 51,藤岡佑, 0.0, 63,  -3,   3, 7, 21.3, ⑥⑥, 2, 5, ミルクディッパｰ,,中村将,201.8,,,,10, 89.2,⑤③②, 2, 5,Ｅクリビツテンギョ, 70,小牧太, 0.0, 76,   3,*  9, 4, 11.9,⑧⑧⑤, 2, 3,Ｇドコフクカゼ, 88,岩田康, 0.7, 89,  16,  11, 3,  8.6,③④④
 3, 8,Ｇサンレイフレンチ, 51,幸英明, 0.3, 63,  -8,*  7, 9, 33.7, ⑪⑨, 3, 8, トラバント,,小坂忠,203.0,,,, 1,  2.0,③②④, 3, 2,Ａジェラルド, 81,ペドロ, 0.1, 77,   3,*  9, 1,  2.1,⑥⑥⑦, 3, 1,Ｃマルカプレジオ, 92,バルジ, 0.8, 88,  16,  11, 6, 12.3,⑦⑥⑤
 4,16,Ｈクレアドｰル, 51,武豊  , 0.4, 61,*  1,  -4, 2,  5.4, ④④, 4,12, アマノレインジャｰ,,高田潤,203.1,,,, 4,  7.0,④⑤⑤, 4, 9,Ｄシンボリジャズ, 71,岩田康, 0.2, 74,*  4,   0, 3,  4.0,②②②, 4,14,Ｉイッシンドウタイ, 87,池添謙, 1.1, 85,  15,  11, 7, 14.9,⑩⑨⑨
 5, 4,Ｃテイエムリヴィエラ, 60,小牧太, 0.4, 61, -10,*  7, 6, 20.9, ⑭⑪, 5, 4, メイショウタｰビン,,難波剛,203.1,,,, 6, 13.7,⑥⑥③, 5, 3,Ｈカｰバ, 68,城戸義, 0.2, 75,   1,*  8, 8, 41.6,⑦⑦⑧, 5, 7,Ｌクラシカルノヴァ, 84,小坂忠, 1.2, 86,  15,   9,11,118.2,⑤⑧⑦
 6,14,Ｂイロリ, 63,岩崎翼, 0.5, 58,*  4,  -8, 5, 19.6, ①①, 6,10, シャイニｰクラウン,,平沢健,205.3,,,, 9, 65.7,⑦⑦⑥, 6, 8,Ｃダンツフォワｰド, 72,太宰啓, 0.4, 73,*  5,   1, 6, 17.3,③③③, 6,15,Ｊナリタシルクロｰド, 86,高倉稜, 1.4, 83,* 17,   2, 9, 53.7,②②②
 7, 5,Ｄダテノレスペデｰザ, 56,浜中俊, 0.7, 57,  -1,  -5, 3,  9.5, ⑤⑤, 7, 9, プロジェクトブルｰ,,石神深,205.4,,,, 7, 26.7,⑧⑧⑦, 7, 1,Ｆシゲルジョウム, 68,北村友, 0.6, 72,   3,   0, 5, 14.7,④⑤⑥, 7,11,Ｄヴァンヌｰヴォｰ, 90,四位洋, 1.4, 87,  14,  10, 5, 11.8,⑭⑬⑩
 8, 2,Ｅエイシンロｰリン, 55,熊沢重, 0.7, 60,*  1,  -6, 4, 11.1, ③③, 8, 2, シンコｰプリンス,,北沢伸,206.4,,,, 5, 10.0,⑩⑩⑧, 8, 6,Ｉウインアルカディア, 59,バルジ, 1.1, 65,*  4, -10, 7, 25.6,⑤④④, 8, 2,Ｂケイアイレオｰネ, 92,幸英明, 1.5, 85,  14,   9, 4,  9.7,⑫⑪⑪
