14年11月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2800m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土湯温泉特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａモントルルシュマン, 62,荻野琢,, 60,*  5,*  2, 5,  8.6, ①①, 1, 4, シゲルヒタチ,,白浜雄,,,,, 5, 13.7,②②②, 1, 3,Ｍロｰズミラクル, 62,菱田裕,, 80, -22,* 29,11, 21.4, ⑮⑭, 1, 9,Ｄメイショウソレイユ, 72,黛弘人,, 75,   0,  15, 3,  8.5,⑪⑥⑥
 2,14,Ｅポッドフィズ, 55,木幡初, 0.4, 55,   2,*  1, 4,  8.4, ④③, 2, 7, テｰオｰレジェンド,,西谷誠,186.5,,,, 2,  4.0,①①①, 2, 5,Ｆツクバアラモｰド, 68,丸山元, 0.1, 74,  -3,  10, 9, 12.9, ③②, 1, 4,Ｅサンデｰミノル, 72,小崎綾,, 72,   0,  14, 9, 31.9,③⑤⑤
 3,13,Ｆオルフィｰク, 52,原田和, 0.6, 54,*  4,  -3, 1,  3.7, ②②, 3, 6, アドミッション,,石神深,186.5,,,, 7, 25.2,⑩③③, 3, 1,Ｊクインスウィｰティ, 65,小崎綾, 0.3, 73,  -7,  11, 6,  9.9, ⑧⑥, 3, 2,Ａヨヨギマック, 78,菱田裕, 0.0, 73,  -4,* 19, 1,  2.2,⑫⑩⑨
 4, 6,Ｂダイヤモンドハｰト, 58,伴啓太, 0.8, 51,   2,  -3, 6,  9.8, ③④, 4,13, プロジェクトブルｰ,,山本康,186.7,,,, 1,  2.3,⑥⑤⑤, 4, 2,Ｇトウカイインパルス, 67,熊沢重, 0.3, 72, -10,  14, 2,  6.8, ⑪⑨, 4,15,Ｈゼンノスサノヲ, 69,熊沢重, 0.2, 74,  -2,  14, 7, 17.5,⑨⑦⑧
 5, 8,Ｊトミケンモヴェｰル, 46,横山和, 0.9, 48,  -4,*  2,10, 25.0, ⑫⑩, 5, 2, キｰプトライン,,横山義,187.3,,,, 3,  5.3,③④④, 5, 7,Ｄショウナンバグｰス, 68,津村明, 0.4, 70,*  3,   1,10, 18.5, ①①, 5, 3,Ｂコスモナチュラル, 74,丹内祐, 0.4, 68,*  2,   8, 4,  8.5,①①①
 6, 2,Ｃトリアンドルス, 57,丸田恭, 1.0, 47,  -2,  -1, 8, 15.3, ⑦⑦, 6, 5, キョウワアｰサｰ,,佐久間,187.7,,,,10, 45.5,④⑨⑨, 6,10,Ａレッドルシアン, 71,横山和, 0.7, 66,  -5,   5, 1,  4.3, ⑥⑧, 6,12,Ｃコピｰライタｰ, 74,高倉稜, 0.6, 70,  -4,* 15, 5, 12.4,④⑨⑪
 7,11,Ｄディナミック, 55,津村明, 1.4, 44,  -2,  -5, 2,  4.7, ⑨⑫, 7,12, ワンダｰバライル,,黒岩悠,187.7,,,,13, 73.9,⑦⑦⑦, 7,11,Ｎキボウダクリチャン, 62,井上敏, 0.7, 67, -11,  10,16,220.5, ⑬⑫, 7,14,Ｆディｰエスコマンド, 71,横山和, 0.9, 66,*  1,   5, 2,  4.4,⑤④④
 8,15,Ｋテイア, 41,二本柳, 1.5, 46,   0,  -5,13, 76.3, ⑥⑨, 8, 9, プレスリｰ,,田村太,187.9,,,, 4, 12.8,⑬⑩⑩, 8,13,Ｌアラカメジョウ, 64,的場勇, 0.7, 67,*  0,   0,12, 32.4, ②③, 8,11,Ｉサンアナハイム, 69,村田一, 1.0, 64,*  1,   4, 8, 20.3,②③③
 9, 3,Ｉレｰヴシャルマン, 48,小崎綾, 1.6, 41,  -3,  -6, 7, 15.1, ⑪⑪, 9, 8, オベレック,,高野和,188.6,,,, 8, 26.8,⑨⑪⑪, 9, 4,Ｅキネオリュウセイ, 68,岩崎翼, 0.7, 68, -12,  11, 5,  8.9, ⑫⑬, 9, 8,Ｇボストンリョウマ, 71,岩崎翼, 1.0, 67,  -4,  14,10, 49.7,⑩⑫⑬
10, 9,Ｈメイショウヒルガオ, 49,中井裕, 1.7, 41,  -7,  -3, 3,  7.2, ⑭⑮,10,11, カゼニタツライオン,,小坂忠,188.7,,,, 6, 24.4,⑧⑥⑥,10, 8,Ｏスペシャルリッチ, 58,木幡初, 0.7, 66,  -8,   7,15,183.1, ⑨⑪,10, 1,Ｌカシノカｰム, 64,西田雄, 1.1, 65,*  2,   2,15,126.5,⑬②②
