14年 6月28日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 6月28日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,八ヶ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂトｰセンラｰク, 46,横山典,, 51, -15,* 20, 6,  9.9, ⑭⑫, 1, 7,Ｅアルファアリエス, 61,田辺裕,, 65,  -5,*  7, 3,  6.7, ⑦⑦, 1, 3,Ｃムｰドティアラ, 75,伊藤工,, 74,   3,* 13, 3,  8.0, ⑦⑤, 1, 9,Ａスイｰトサルサ, 85,田中勝,, 82,  18, -10, 4,  5.6,⑤⑤⑥
 2, 1,Ｊアイリｰグレイ, 24,田辺裕, 0.2, 48, -12,* 13,10, 39.0, ⑪⑩, 2,14,Ｃモリトハリウッド, 64,吉田豊, 0.2, 63,  -7,*  6, 5,  9.7, ⑨⑨, 2,12,Ａホワイトプラネット, 80,内田博, 0.0, 74,*  6,*  9, 1,  1.9, ④③, 2, 1,Ｆキミノナハセンタｰ, 75,北村宏, 0.3, 79,  12,* -5, 3,  5.1,⑩⑩⑩
 3, 3,Ｄマイネルヘルック, 42,石橋脩, 0.3, 49, -14,* 16, 3,  7.2, ⑫⑭, 3, 9,Ｄシゲルシモウサ, 63,蛯名正, 0.3, 62,  -3,   2, 4,  6.8, ⑥⑥, 3,15,Ｄシャンパンルｰジュ, 74,柴田善, 1.0, 66,   3,   6, 5, 13.1, ⑨⑧, 3,10,Ｋコスモグレｰスフル, 64,柴田大, 0.4, 78,  19, -20, 8, 28.1,③④④
 4,13,Ｅツウロｰゼズ, 39,柴田大, 0.4, 45,* -9,   4, 4,  7.9, ④③, 4,13,Ｂトｰセンスティング, 68,北村宏, 0.3, 63,  -6,*  4, 1,  2.7, ⑧⑧, 4,16,Ｈサプライズライン, 68,江田照, 1.1, 67,  -6,* 15, 7, 16.8, ⑭⑭, 4, 4,Ｂロジメジャｰ, 84,内田博, 0.4, 77,  19, -20, 1,  3.3,④③③
 5,10,Ａグリシｰヌシチｰ, 54,戸崎圭, 0.6, 40,* -9,   3, 1,  2.3, ③⑤, 5, 8,Ａナムラヒラリｰ, 69,内田博, 0.6, 61,  -3,  -1, 2,  3.5, ⑤⑤, 5, 9,Ｍフレックスハｰト, 63,北村宏, 1.1, 67,   2,   6, 6, 15.0, ⑧⑨, 5, 3,Ｃサトノネプチュｰン, 83,戸崎圭, 0.4, 77,  15, -10, 2,  4.1,⑧⑦⑦
 6, 9,Ｈデンバｰ, 28,柴田善, 1.0, 37, -12,   1, 7, 16.3, ⑦⑨, 6, 6,Ｊヤマタケカントウ, 49,岩部純, 0.8, 59,* -2,  -4,16,253.4, ③④, 6,13,Ｅタニセンヴォイス, 73,原田和, 1.2, 64,*  7,  -2, 9, 32.1, ②②, 6, 6,Ｊヤヤラｰラ, 70,嶋田純, 0.8, 72,* 20, -27,11, 77.1,②②②
 7,12,Ｃランバイワイルド, 46,大庭和, 1.2, 31,* -7, -10,11, 67.8, ①①, 7, 5,Ｋリワｰドタｰン, 46,田中勝, 0.8, 58,* -3,  -4,10, 56.9, ②③, 7,10,Ｌトウカイマインド, 63,的場勇, 1.3, 64,   5,   0,13,111.3, ③④, 7, 2,Ｈウィケットキｰパｰ, 74,蛯名正, 0.9, 73,  12, -13,10, 38.8,⑥⑨⑨
 8, 4,Ｆアラホウジョウ, 32,吉田豊, 1.2, 36, -12,  -2, 5,  9.9, ⑬⑪, 8, 1,Ｈスノｰレパｰド, 56,木幡初, 1.1, 55,* -2,  -8, 6, 20.2, ①①, 8, 1,Ｂプランタンビジュｰ, 76,戸崎圭, 1.5, 62,*  8,  -5, 4,  8.8, ①①, 8, 7,Ｅヘルデンテノｰル, 75,吉田豊, 1.4, 69,  18, -30, 5,  9.2,⑦⑥⑤
 9,14,Ｏキングデュナミス,  0,田中勝, 1.4, 29,* -8, -13, 9, 30.7, ②②, 9, 3, ゼンノヒストリエ,---,石川裕, 1.4, 53,  -4,  -9, 9, 33.7, ④②, 9, 5,Ｇメリｰウィドウ, 69,吉田豊, 1.6, 60,   3,  -1, 8, 17.6, ⑤⑥, 9,11,Ｄノｰブルジュピタ, 77,江田照, 1.7, 64,  15, -29, 9, 32.3,⑨⑧⑧
10,11,Ｇライメイ, 31,大野拓, 1.6, 28, -10, -10,13,142.7, ⑥⑦,10,12,Ｇマトリックス, 57,石橋脩, 2.0, 49,  -9,  -7, 8, 32.1, ⑩⑩,10, 7,Ｏスズカプリティｰ, 57,宮崎北, 1.7, 61,   0,   3,12, 79.3, ⑫⑫,10, 5,Ｇフェアブレシア, 75,原田和, 2.9, 55,* 21, -62, 7, 26.6,①①①
11, 8,Ｍイディル, 18,嘉藤貴, 1.6, 28, -10, -10,12, 86.3, ⑧⑥,11,15, デルマダイマオウ,---,原田和, 3.2, 39, -23,  -3,11, 99.9, ⑯⑮,11, 2,Ｎヒアルロンサン, 61,二本柳, 1.8, 61,   0,   2,15,237.9, ⑩⑩,11, 8,Ｉナスノアオバ, 72,大野拓, 3.6, 50,  12, -51, 6, 10.7,⑪⑪⑪
12,15,Ｎディアイｰジス, 16,江田照, 2.0, 20,* -9, -19, 8, 24.5, ⑤④,12, 4,Ｉスピリットチャイム, 54,武士沢, 3.3, 37, -20,  -6,14,197.9, ⑭⑬,12,11,Ｊデルマアラレチャン, 64,木幡初, 2.3, 55,   3,  -8, 2,  6.8, ⑥⑦,,,,,,,,,,,,
13, 7,Ｉプレｰケストｰレン, 28,内田博, 2.3, 18, -11, -20, 2,  6.3, ⑨⑧,13,11,Ｌクリスタルキｰ, 38,江田照, 3.4, 38, -21,  -6,15,226.4, ⑬⑭,13, 4,Ｆフランスギャル, 71,伴啓太, 2.5, 55,  -7,   4,11, 47.5, ⑮⑮,,,,,,,,,,,,
14, 6,Ｋエルヴィルダ, 23,伊藤工, 2.4, 20, -17, -10,15,170.9, ⑮⑮,14,16, ラヴィアｰジュ,---,西田雄, 3.5, 37, -23,  -5,12,126.4, ⑮⑯,14, 8,Ｉトゥルヴァｰユ, 66,蛯名正, 3.3, 47,  -1, -10,10, 44.0, ⑪⑪,,,,,,,,,,,,
15, 2,Ｌカシノキングダム, 21,二本柳, 2.8, 14, -14, -20,14,160.4, ⑩⑬,15,10,Ｆファイアボｰル, 60,戸崎圭, 3.6, 35, -19, -11, 7, 21.3, ⑪⑫,15, 6,Ｐウォッカマティｰニ, 48,大野拓, 4.3, 41,  -5, -15,14,176.6, ⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,16, 2, スイｰトラブリｰ,---,伴啓太, 4.0, 31, -17, -16,13,182.5, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:11),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:重(指数:11),,,,,,,,,,,
