14年 7月 6日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月 6日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,濃尾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａタガノアザガル, 57,福永祐,, 54,  -4,*  3, 1,  1.6, ⑤③, 1,11,Ａコスモフラッグ, 64,和田竜,, 66,* -5,* 11, 3, 11.0, ①①, 1,16,Ｂメドウラｰク, 64,小牧太,, 69, -14,* 14, 1,  2.1,⑩⑩⑨, 1,10,Ａアスカノロマン, 85,太宰啓,, 84,* 12,  10, 2,  3.3,②②②
 2, 5,Ｂフェアラフィネ, 56,川須栄, 0.1, 53,* -3,  -1, 2,  4.4, ②②, 2,15,Ｄマルカシグナス, 60,福永祐, 0.4, 62,* -6,* 10, 7, 16.2, ③③, 2, 8,Ａハイプレッシャｰ, 65,北村友, 0.4, 66, -16,* 12, 2,  5.1,⑪⑭⑭, 2,13,Ｅキクノソル, 82,和田竜, 0.4, 81,* 11,   9, 1,  2.9,⑤⑤④
 3, 6,Ｆマイネルレハイム, 40,和田竜, 0.4, 50,  -5,  -1, 5, 17.7, ③⑤, 3, 2,Ｃゼアミ, 60,川田将, 0.6, 61,  -8,*  9, 1,  1.5, ④④, 3,13,Ｉタガノグリズリｰ, 52,福永祐, 0.4, 62,*-13,   5, 6, 16.6,⑦⑥⑤, 3, 1,Ｈタガノプリンス, 81,岩崎翼, 0.7, 79,  11,   8, 8, 26.9,⑦⑦⑥
 4,10,Ｃゲネラルプロｰベ, 52,小牧太, 0.4, 49,* -2,  -6, 3,  5.5, ①①, 4, 8,Ｅエイユｰビリオネア, 60,川須栄, 0.8, 61,  -7,   9, 5, 12.5, ⑥⑥, 4, 7,Ｊハルハル, 51,松山弘, 0.6, 58,*-11,  -2,13, 77.1,①①①, 4, 6,Ｂセイスコｰピオン, 84,国分優, 0.7, 78,  10,  10, 5, 11.1,⑪⑩⑧
 5, 9,Ｄウインオベロン, 51,松山弘, 1.5, 37,  -4, -17, 4, 10.8, ④④, 5,16,Ｂセンティグレｰド, 62,松山弘, 1.0, 57,* -6,   4, 4, 11.7, ②②, 5,18,Ｌサンライズジャパン, 50,浜中俊, 0.6, 62, -14,*  7,10, 59.9,⑮⑬⑫, 5, 3,Ｃタガノビリｰヴィン, 84,川田将, 0.8, 79,  10,   7, 3,  6.6,⑧⑧⑨
 6, 7,Ｅドンデナｰダ, 41,酒井学, 1.6, 35,  -8, -13, 7, 53.4, ⑥⑥, 6, 9,Ｋシュテルングランツ, 39,岩田康, 1.3, 55, -11,   6, 2,  7.4, ⑪⑪, 6, 5,Ｆトウケイアロｰ, 54,川田将, 0.7, 58,*-12,  -1, 5, 11.8,②②②, 6, 2,Ｊマノワｰル, 78,小牧太, 1.2, 78,* 12,   1, 6, 13.9,③③③
 7, 3,Ｉセイウンクロエ, 26,幸英明, 1.8, 34, -10, -11, 6, 39.1, ⑩⑧, 7, 3,Ｇパｰプルパルピナ, 55,小牧太, 1.4, 55,  -9,   5, 6, 16.2, ⑨⑧, 7, 3,Ｅクロニクルスカイ, 57,和田竜, 0.7, 59,*-13,   0, 8, 35.5,③③④, 7, 4,Ｆペガサスフォｰス, 82,松山弘, 1.3, 79,   2,* 20,12, 51.2,⑮⑮⑮
 8, 4,Ｈジャイアントケンタ, 27,北村友, 1.9, 32,  -9, -15, 9, 98.9, ⑦⑦, 8, 6,Ｆエングロウス, 60,義英真, 1.5, 54,  -9,   4, 9, 40.5, ⑩⑨, 8, 4,Ｇロｰドプライド, 53,岩田康, 0.8, 58,*-13,   0, 3,  5.7,⑤⑤⑥, 8,11,Ｉスズカウラノス, 80,幸英明, 1.4, 76,   7,   8,11, 46.7,⑬⑬⑬
