14年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萌黄賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｈリバｰコンサｰト, 49,北村友,, 64,*  3,*  0, 4,  7.0, ①①, 1, 9,Ｍシベリアンタイガｰ, 42,黛弘人,, 65,*  2,  -5,11, 53.0,①①①, 1,10,Ｅスタｰライラック, 70,吉田隼,, 74,*  5,*  9, 3,  8.3,②②②, 1, 1,Ｄテｰオｰソルジャｰ, 67,藤岡康,, 68,  -8,*  7, 8, 17.0, ⑪⑩
 2, 4,Ｅルスナイプリンセス, 58,秋山真, 0.1, 60,* -1,*  0, 5,  9.7, ③③, 2, 2,Ｃワクワクカンヲ, 59,北村友, 0.3, 66,  -5,*  6, 2,  4.4,⑦⑫⑨, 2,11,Ａオツウ, 76,森一馬, 0.6, 67,*  4,   4, 2,  2.4,③③③, 2,14,Ｂラインスピリット, 73,古川吉, 0.0, 69,*  6,  -6, 3,  7.2, ①①
 3,14,Ｆワンダｰライツ, 58,藤岡康, 0.2, 60,*  0,  -2, 3,  5.9, ②②, 3,11,Ｊサンドラバロｰズ, 50,川須栄, 0.3, 65,*  1,  -4,12, 58.4,⑪②②, 3, 3,Ｃブルｰメリディアン, 72,藤岡佑, 0.7, 68,   3,*  7, 4,  9.2,⑫⑩⑩, 3, 2,Ｆフェブノヘア, 65,丸山元, 0.1, 67,  -6,*  3, 7, 16.7, ⑧⑦
 4, 7,Ｄシゲルリクチュウ, 58,川須栄, 0.4, 58,  -5,*  0, 1,  2.9, ⑥⑥, 4,13,Ａマイネルプレッジ, 61,丹内祐, 0.6, 63,  -6,*  4, 4,  7.3,⑯⑭⑫, 4, 9,Ｂマルシアｰノ, 75,丸山元, 0.8, 66,   3,   4, 1,  2.3,⑧⑦⑦, 4,15,Ｃカシノヒカル, 69,柴山雄, 0.4, 63,  -7,   0, 9, 21.5, ⑩⑨
 5, 2,Ｃアワｰズヒロイン, 60,長岡禎, 0.4, 57,  -3,  -2, 6, 12.4, ④④, 5, 4,Ｆハイプレッシャｰ, 57,鮫島克, 0.9, 57,  -4,  -5, 7, 19.3,⑫⑪⑧, 5, 6,Ｇゴｰルデンファレノ, 65,柴山雄, 1.1, 66,   1,*  8, 9, 45.9,⑨⑪⑪, 5,12,Ｉマイネパシオｰネ, 60,丹内祐, 0.7, 59,*  3, -13, 4,  9.0, ③②
 6, 8,Ｂレモンティｰ, 62,森一馬, 0.6, 55,  -2,  -4, 2,  3.7, ⑤⑤, 6, 3,Ｎロｰドヴォルケｰノ, 41,吉田隼, 1.0, 57,  -6,  -2, 8, 25.7,⑩⑬⑬, 6, 1,Ｈロクイチスマイル, 65,杉原誠, 1.1, 65,   1,*  7, 7, 42.2,⑩⑫⑫, 6, 4,Ｊクｰルジョジョ, 59,高倉稜, 0.7, 58,  -8,  -2,13, 71.2, ⑫⑫
 7,12,Ａボンセジュｰル, 68,城戸義, 0.9, 53,  -9,  -1, 7, 13.5, ⑪⑩, 7, 1,Ｋディアブラックブル, 49,勝浦正, 1.1, 56,  -3,  -9,14,207.6,⑤⑦⑩, 7, 7,Ｄメテオレイン, 71,勝浦正, 1.3, 62,   3,   0, 5, 20.3,⑦⑤⑤, 7, 8,Ｐサフランスカイ, 43,川須栄, 0.7, 59,  -6,  -5,10, 24.8, ⑨⑪
 8, 5,Ｋチタノティアラ, 37,丹内祐, 1.1, 50,  -8,  -4,11,153.3, ⑨⑧, 8, 6,Ｂカレンヴィットリア, 60,松山弘, 1.3, 53,  -4, -11, 1,  2.5,⑨⑩⑦, 8, 8,Ｆデルマハンニャ, 66,松山弘, 1.6, 62,   4,  -2, 8, 42.4,④④④, 8, 5,Ａクラウンルシフェル, 75,丸田恭, 0.8, 56,   0, -12, 2,  4.2, ④⑥
 9,11,Ｌオｰミハンコック, 36,岩崎翼, 1.1, 49,  -9,  -3,14,255.6, ⑩⑪, 9, 8,Ｅマルｰンドロップ, 58,丸田恭, 1.5, 49,  -5, -12, 3,  5.9,⑥⑨⑭, 9, 5,Ｉテイエムナデシコ, 62,太宰啓, 1.7, 63,   2,  -1,11, 78.4,⑥⑧⑧, 9,16,Ｍカシノスティｰヴ, 55,西田雄, 0.8, 57,  -4,  -8,15,178.3, ⑦⑧
10, 9,Ｉデルマフジコ, 46,西田雄, 1.3, 48,  -7,  -7, 8, 49.3, ⑦⑨,10,15,Ｄナムラキッス, 59,古川吉, 1.5, 50,  -2, -17, 9, 35.4,⑧⑥⑥,10, 4,Ｋメイショウオウヒ, 58,武幸四, 1.8, 64,   3,  -2, 6, 38.2,⑪⑨⑨,10, 7,Ｇアラタマシャトル, 62,田中博, 0.9, 56,  -2, -12, 6, 15.5, ⑤④
11,10,Ｇヒミノマンサク, 54,丸山元, 1.4, 47,  -5,  -9,10, 67.9, ⑧⑦,11, 7,Ｉロｰドスパｰク, 53,中井裕, 1.6, 51,  -6, -10,13, 96.2,⑭⑮⑮,11,12,Ｌユキノマルガリｰタ, 55,西田雄, 1.8, 59,*  5,  -8,12,214.0,①①①,11, 6,Ｌダンツブロｰド, 56,秋山真, 1.0, 55, -16,*  2, 1,  3.3, ⑱⑱
12, 6,Ｍタマモムｰンライト, 26,古川吉, 1.6, 43, -20,  -2, 9, 52.8, ⑬⑬,12,12,Ｈベストギフト, 55,西田雄, 1.7, 48,  -1, -22,10, 51.7,③④④,12,13,Ｊカミｰリア, 59,古川吉, 2.0, 58,*  4,  -7,10, 68.4,⑤⑥⑥,12,10,Ｑカシノレント, 43,二本柳, 1.0, 54, -11,  -4,14,121.0, ⑭⑭
13,13,Ｎバイオレットパワｰ,  1,柴山雄, 2.2, 36, -25,  -3,13,204.4, ⑭⑭,13,10,Ｇタガノトッピｰ, 57,秋山真, 2.5, 39,  -4, -30, 5, 13.7,④⑧⑪,13, 2,Ｍコトノクリチャン, 48,藤懸貴, 4.2, 44,  -3, -14,13,454.7,⑬⑬⑬,13,17,Ｅカメット, 67,菱田裕, 1.1, 54, -11,  -5, 5, 10.1, ⑮⑬
14, 3,Ｊナムラグルｰヴ, 38,鮫島良, 2.9, 34, -18, -12,11,153.3, ⑫⑫,14, 5,Ｐラッシュボンバｰ, 17,菱田裕, 3.0, 36,*  1, -45,15,238.9,⑮③③,,,,,,,,,,,,,14, 3, フリオグレイスｰ,---,鮫島克, 1.2, 52, -16,  -1,16,191.4, ⑰⑰
,,,,,,,,,,,,15,14,Ｌメイショウロッソ, 46,武幸四, 3.8, 31,  -2, -51, 6, 18.8,②⑤⑤,,,,,,,,,,,,,15, 9,Ｈディｰプミタカ, 61,藤岡佑, 1.2, 52,   0, -17,11, 25.7, ⑥⑤
,,,,,,,,,,,,16,16,Ｏホワイトレｰヌ, 20,太宰啓, 3.9, 28,  -6, -42,16,432.6,⑬⑯⑯,,,,,,,,,,,,,16,13,Ｋシシャモオｰジ, 56,森一馬, 1.2, 52, -10,  -7,12, 50.8, ⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｎミスタｰジャック, 51,山口勲, 1.5, 48, -14,  -8,17,193.0, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｏヴォラｰタ, 47,中井裕, 2.1, 42,*  3, -31,18,231.7, ②③
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,
"単勝:700円 複勝:01=240円 04=270円 14=210円 枠連:3,340円",,,,,,,,,,,,"単勝:5,300円 複勝:09=890円 02=210円 11=1,760円 枠連:3,470円",,,,,,,,,,,,単勝:830円 複勝:10=200円 11=120円 03=200円 枠連:950円,,,,,,,,,,,,"単勝:1,700円 複勝:01=600円 14=250円 02=420円 枠連:2,200円",,,,,,,,,,,
"馬連:3,490円 ワイド:01-04=1,130円 01-14=820円 04-14=690円",,,,,,,,,,,,"馬連:10,870円 ワイド:02-09=2,830円 09-11=22,050円 02-11=4,040円",,,,,,,,,,,,"馬連:1,210円 ワイド:10-11=440円 03-10=840円 03-11=430円",,,,,,,,,,,,"馬連:8,570円 ワイド:01-14=2,640円 01-02=2,670円 02-14=1,830円",,,,,,,,,,,
"馬単:6,830円 3連複:6,110円 3連単:40,290円",,,,,,,,,,,,"馬単:28,560円 3連複:194,360円 3連単:938,210円",,,,,,,,,,,,"馬単:3,040円 3連複:2,870円 3連単:18,720円",,,,,,,,,,,,"馬単:17,820円 3連複:27,810円 3連単:201,100円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝2600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,皿倉山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅタガノヴィグラス, 62,鮫島良,, 64,*  3,   2, 4,  7.6,①①①, 1, 4,Ｄメイショウノｰベル, 70,武幸四,, 69,   0,   7, 1,  2.3, ⑤⑤, 1, 2,Ｃトｰセンツリｰ, 74,黛弘人,, 71,   5,  -2, 1,  3.4,③③③, 1, 5,Ａモビｰル, 82,勝浦正,, 81,* 17,* -3, 4,  8.7,⑧③②
 2, 1,Ｇメレアグロス, 61,鮫島克, 0.1, 61,*  2,   4, 3,  7.4,③③③, 2, 8,Ａサイズミックレディ, 75,岩崎翼, 0.1, 66,*  5,   3, 4,  7.0, ④④, 2, 5,Ｂマイネルスパｰブ, 74,丹内祐, 0.1, 71,   4,  -1, 4,  7.0,⑥⑤④, 2,13,Ｆトルｰクマクト, 77,柴山雄, 0.5, 76,  16,* -4,11, 25.7,⑩⑩⑦
 3, 5,Ａウイングリッタｰ, 63,川須栄, 0.2, 62,   0,   7, 5, 11.3,⑥⑦⑤, 3, 7,Ｊヒカリユニキャスト, 66,太宰啓, 0.2, 68,*  6,   2, 6, 14.4, ②②, 3, 1,Ｌクリノサンタクルス, 65,丸山元, 0.3, 73,  -5,* 16, 8, 22.7,⑩⑫⑩, 3, 6,Ｂプランスペスカ, 79,藤岡康, 0.5, 75,  15,  -7, 9, 14.6,⑦⑦⑥
 4, 3,Ｊランドスタｰ, 57,北村友, 0.3, 61,  -2,* 10, 9, 27.5,⑨⑧⑦, 4, 3,Ｂサマｰハピネス, 71,丸田恭, 0.3, 63,   3,   3, 7, 17.8, ③③, 4, 8,Ｋディｰエスライダｰ, 66,柴山雄, 0.4, 68,   1,   2, 6, 15.0,⑨⑧⑧, 4,15,Ｃゴｰルドブライアン, 77,藤岡佑, 0.6, 76,  14,* -1, 3,  7.1,⑮⑭⑫
 5, 8,Ｄショウナンガッチャ, 62,バルジ, 0.4, 59,*  3,   2, 2,  3.8,④④④, 5, 9,Ｃリッシンロケット, 70,藤岡佑, 0.4, 62, -11,* 11, 5, 11.2, ⑫⑩, 5,11,Ｉマイネルカｰミン, 68,バルジ, 0.6, 64,*  6, -15, 7, 18.8,②②②, 5, 8,Ｍリングネブラ, 74,秋山真, 0.6, 74,* 17, -11,13, 35.4,⑤④⑤
 6,15,Ｃダンシングバトｰ, 62,松山弘, 0.8, 56,*  3,  -3, 8, 18.5,②②②, 6, 1,Ｎアジャストメント, 51,長岡禎, 0.7, 59,  -7,   5,13,193.6, ⑨⑦, 6, 7,Ｆブライテストソｰド, 71,西田雄, 0.6, 65,   4,  -8,11, 66.2,⑤⑥⑥, 6, 3,Ｎアイファｰファルコ, 71,藤懸貴, 0.7, 74,* 19, -16,15, 67.7,①①①
