14年11月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 2日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｳｵｯｶｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,17,Ｌスカイルピナス, 41,武士沢, 1.5, 49, -13, -11,12,181.0, ⑦⑥,12, 1, メルヴェイユ,---,柴田大, 1.7, 41, -17, -15,11, 70.5, ⑩⑩,12,15,Ｋアップルハウス, 66,高倉稜, 2.0, 62,  -4,   1,14,171.3, ⑬⑬,12, 3,Ｐマキャヴィティ, 54,蛯名正, 1.8, 69,  17, -15,14,134.5, ③③
13,15,Ｐクレアｰフォンテン, 34,柴山雄, 1.7, 51, -26,   3,10, 98.6, ⑰⑰,13,14, パシナ,---,武士沢, 2.1, 37, -21, -15,14,149.7, ⑬⑬,13, 2,Ｆハットシテグｰ, 70,福永祐, 2.1, 58,   3, -11, 4, 10.1, ④④,13, 5,Ｏイチエイクリッパｰ, 77,武士沢, 2.0, 68,   7,  -1,16,327.5, ⑯⑯
14, 5,Ｏデルマゴシンゾサン, 36,大野拓, 1.8, 50, -22,  -2,16,336.5, ⑬⑭,14, 9, エイトワンダｰ,---,田中勝, 2.3, 31, -12, -29,13, 86.9, ④④,14,11,Ｏオｰドヴィ, 60,三浦皇, 2.1, 59,  -2,  -3,13,124.7, ⑪⑪,14, 6,Ｍロｰレンルｰナ, 80,大野拓, 2.2, 67,  14, -13,12, 67.5, ⑥⑥
15,16,Ｑシテｰル, 32,岩部純, 2.0, 40,*-12, -19,17,469.7, ④③,,,,,,,,,,,,,15,10,Ｌスズカロｰドスタｰ, 64,岩部純, 2.2, 58,   2,  -9,15,305.2, ⑤⑤,15, 8,Ｄメイショウワコン, 83,松岡正, 2.8, 61,* 20, -29, 6,  9.9, ①①
16, 2,Ｎテイエムスサノオｰ, 36,古川吉, 2.0, 46, -24,  -3,15,268.1, ⑮⑮,,,,,,,,,,,,,16, 5,Ｅカリスマアキラ, 71,ベリｰ, 2.3, 55,   0,  -8,12,119.0, ⑨⑨,16, 7,Ｎテルミｰホワイ, 77,江田照, 3.6, 56,  12, -23,15,221.3, ⑧⑨
17, 9,Ｍシゲルオフネマツリ, 37,田中勝, 2.5, 41, -23,  -9,13,199.2, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-4),,,,,,,,,,,
"単勝:660円 複勝:08=190円 12=180円 06=220円 枠連:1,470円",,,,,,,,,,,,"単勝:590円 複勝:13=180円 04=170円 07=150円 枠連:1,040円",,,,,,,,,,,,"単勝:390円 複勝:16=180円 08=250円 14=650円 枠連:1,770円",,,,,,,,,,,,"単勝:460円 複勝:04=190円 02=600円 15=310円 枠連:1,320円",,,,,,,,,,,
"馬連:1,330円 ワイド:08-12=450円 06-08=510円 06-12=670円",,,,,,,,,,,,"馬連:1,640円 ワイド:04-13=670円 07-13=480円 04-07=580円",,,,,,,,,,,,"馬連:1,450円 ワイド:08-16=450円 14-16=1,370円 08-14=2,180円",,,,,,,,,,,,"馬連:5,610円 ワイド:02-04=1,930円 04-15=1,160円 02-15=4,360円",,,,,,,,,,,
