14年 6月29日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 6月29日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長万部特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅコスモピンチョス, 58,丹内祐,, 70,*  1,*  8, 6,  8.8, ②②, 1, 1,Ａソｰドラック, 65,柴山雄,, 72,   5,*  0, 2,  3.9,⑨⑧⑧, 1, 4,Ｄディｰプストｰリｰ, 74,吉田隼,, 72,  15, -11, 4,  8.0,⑥⑤③, 1,10,Ａコナブリュワｰズ, 73,秋山真,, 67, -11,*  9, 3,  4.9, ⑧⑦
 2, 5,Ｃカガフレグランス, 61,秋山真, 0.6, 64,  -2,*  4, 3,  5.2, ④④, 2, 3,Ｄマルｰンドロップ, 61,黛弘人, 0.0, 71,   9,  -8, 5,  6.2,③③③, 2, 8,Ｆテｰオｰヴィｰナス, 67,四位洋, 0.0, 74,  11,*  0, 9, 43.0,⑨⑨⑧, 2, 3,Ｇクリノチョモランマ, 64,村田一, 0.1, 65,  -7,   4, 4,  5.9, ④④
 3, 1,Ｄラダムドｰ, 58,菱田裕, 0.9, 62,*  3,  -1, 4,  6.8, ①①, 3, 9, ウエスタンメグ,---,藤岡康, 0.5, 68,   3,* -2, 8, 41.1,⑩⑨⑨, 3, 1,Ａナイトブルｰミング, 76,丸山元, 0.0, 73,  16, -13, 3,  6.2,④④②, 3, 6,Ｈリタｰンラルク, 62,藤田伸, 0.2, 66, -12,*  8, 5,  5.9, ⑩⑩
 4, 4,Ｉタイセイデザイア, 48,城戸義, 1.2, 57,  -6,   1,11, 96.7, ⑦⑥, 4, 5,Ｇラステラ, 52,菱田裕, 0.7, 65,   7, -16, 7, 12.9,⑤⑥④, 4, 2,Ｉスワンソング, 58,小崎綾, 0.2, 69,* 18, -24, 5, 18.1,①①①, 4, 9,Ｃアドマイヤサブリナ, 70,丸山元, 0.2, 65,* -4,   0, 2,  4.2, ②②
 5,12,Ｇウｰルｰシュヴァル, 58,丸山元, 1.2, 60,*  0,  -2, 8, 19.4, ③③, 5, 8,Ｂメイショウダンロ, 63,小崎綾, 1.2, 58,* 10, -30, 3,  5.8,②②②, 5, 7,Ｇシャドウカラｰズ, 65,村田一, 0.2, 71,  14, -14, 6, 22.1,⑦⑥⑥, 5, 5,Ｅサウンドマンデュロ, 66,菱田裕, 0.4, 63,* -3,  -4, 8, 24.2, ①①
 6, 6,Ａフクノグングニル, 65,松岡正, 1.5, 55,  -2,  -4, 1,  3.4, ⑤⑤, 6, 2,Ｈシップウハヤト, 43,秋山真, 1.4, 56,   8, -25,10,109.1,⑥⑤⑥, 6, 5,Ｂディオジェｰヌ, 76,菱田裕, 0.5, 69,  16, -21, 1,  1.9,⑤③⑤, 6, 1,Ｆラインミｰティア, 65,勝浦正, 0.4, 62, -10,   3, 6, 15.4, ⑤⑥
 7, 2,Ｂヤマニンキュルミネ, 61,小崎綾, 1.5, 54,  -8,   0, 2,  5.0, ⑨⑦, 7, 6,Ｃジャストヴィｰクル, 62,吉田隼, 1.6, 52,* 10, -35, 1,  3.4,①①①, 7, 3,Ｅシナｰラ, 71,三浦皇, 0.7, 67,  15, -18, 7, 29.6,⑧⑦⑦, 7, 2,Ｄシュウギン, 66,黛弘人, 0.5, 61,  -7,  -1, 7, 21.8, ③③
 8, 8,Ｋアドマイヤラブ, 45,松田大, 1.9, 49, -14,   1,10, 37.7, ⑫⑩, 8, 7,Ｆコスモソラフネ, 53,松岡正, 1.8, 53,   9, -34, 6, 12.2,④④⑤, 8, 6,Ｃイルミナティ, 74,黛弘人, 2.0, 55,* 17, -44, 2,  3.7,②②④, 8, 7,Ｂビアンコカンドｰレ, 71,三浦皇, 0.6, 59,  -8,  -2, 1,  3.4, ⑥⑤
 9, 9,Ｆトラストエルフ, 58,黛弘人, 2.0, 51,  -6,  -6, 9, 33.7, ⑧⑧, 9, 4,Ｅビュｰロクラｰト, 60,四位洋, 1.9, 50,   8, -32, 4,  5.9,⑧⑦⑦, 9, 9,Ｈアウレオｰラ, 65,長岡禎, 4.3, 40,  13, -66, 8, 38.9,③⑧⑨, 9, 4,Ｉケｰプオブホｰプ, 61,中谷雄, 1.0, 54, -11,  -4,10, 81.9, ⑨⑨
10, 3,Ｌホウショウマｰジ, 44,長岡禎, 3.1, 38, -14, -10,12,115.2, ⑪⑪,10,10,Ｉアドマイヤソウ, 41,丸山元, 4.6, 32,   2, -61, 9, 49.6,⑦⑩⑩,,,,,,,,,,,,,10, 8,Ｊウエスタンソｰレ, 53,田中勝, 1.2, 51,  -8,  -9, 9, 56.4, ⑦⑧
11,10,Ｈサンバレッスン, 56,水口優, 3.4, 36,  -9, -17, 7, 17.7, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, 7,Ｊシゲルカワチ, 48,藤田伸, 4.1, 29,  -5, -26, 5,  7.7, ⑥⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,
単勝:880円 複勝:11=200円 05=180円 01=200円 枠連:610円,,,,,,,,,,,,単勝:390円 複勝:01=150円 03=180円 09=830円 枠連:990円,,,,,,,,,,,,"単勝:800円 複勝:04=230円 08=930円 01=220円 枠連:5,060円",,,,,,,,,,,,単勝:490円 複勝:10=180円 03=200円 06=180円 枠連:690円,,,,,,,,,,,
"馬連:2,840円 ワイド:05-11=840円 01-11=1,250円 01-05=470円",,,,,,,,,,,,"馬連:910円 ワイド:01-03=360円 01-09=2,250円 03-09=3,480円",,,,,,,,,,,,"馬連:8,490円 ワイド:04-08=2,240円 01-04=680円 01-08=2,120円",,,,,,,,,,,,"馬連:1,200円 ワイド:03-10=520円 06-10=610円 03-06=610円",,,,,,,,,,,
"馬単:7,090円 3連複:4,860円 3連単:47,810円",,,,,,,,,,,,"馬単:1,590円 3連複:10,630円 3連単:34,680円",,,,,,,,,,,,"馬単:14,590円 3連複:16,490円 3連単:94,990円",,,,,,,,,,,,"馬単:2,610円 3連複:2,630円 3連単:14,360円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■11R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,大沼ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂシｰサイドバウンド, 62,菱田裕,, 62,   4,* -6, 1,  3.1,⑪⑦⑥, 1,10, キッズライトオン,---,菱田裕,, 60,*-12,*  3, 2,  4.3, ②②, 1, 9,Ｃアポロアリｰナ, 65,丸山元,, 72,   5,   1,10, 32.7, ⑥⑥, 1,12,Ｆロイヤルクレスト, 87,古川吉,, 90,* 13,  15, 7, 14.1,③①①
 2, 1,Ｄレオウィッシュ, 61,横山和, 0.5, 59,   4,  -9,10, 40.7,⑩⑩⑤, 2, 9, オｰプンザウェイ,---,勝浦正, 0.2, 56, -14,*  1, 5,  9.3, ⑤④, 2,12,Ｂツクバジャパン, 67,古川吉, 0.0, 75,* 11,  -6, 3,  5.1, ②①, 2,11,Ｍタイセイスティング, 84,田中勝, 0.4, 87,* 11,  14, 9, 16.7,②③③
 3,12,Ｉシップウ, 54,井上敏, 0.7, 57,*  7, -16, 7, 15.9,④②①, 3, 8, ネミッサ,---,木幡初, 0.5, 53,*-10,  -5, 4,  6.4, ①①, 3, 8,Ｈエｰデルシュタイン, 62,井上敏, 0.2, 67,  -2,*  5,11, 36.3, ⑪⑩, 3, 2,Ｋイッシンドウタイ, 85,丸山元, 0.7, 85,  10,  13,11, 35.3,④④④
 4, 3,Ｆカフジスタｰ, 58,古川吉, 0.8, 59,   2,* -8, 8, 19.5,⑧⑪⑨, 4, 2, コスモデレガンス,---,松岡正, 1.0, 46, -13,  -9, 9, 34.2, ③③, 4,15,Ａアグネスハビット, 69,三浦皇, 0.4, 66,   2,  -1, 1,  2.7, ⑧⑧, 4,10,Ｌヒラボクマジック, 85,藤田伸, 0.7, 88,   6,* 21, 5,  9.8,⑫⑩⑨
 5, 4,Ｃホッコｰゴウケン, 61,勝浦正, 0.8, 56,   3, -11, 2,  3.2,⑨⑨⑧, 5, 1, ジョｰハリス,---,三浦皇, 1.0, 45, -18,  -5, 6,  9.5, ⑧⑥, 5, 6,Ｌシャインシュラｰク, 56,黛弘人, 0.4, 64,  -4,*  5,12, 63.6, ⑬⑫, 5, 8,Ａケイアイレオｰネ, 92,津村明, 0.8, 83,  10,  12, 6, 11.6,⑬⑤⑤
 6,13,Ｅリキマル, 61,柴山雄, 0.9, 54,   5, -15, 3,  5.9,⑦⑥④, 6, 4, ミトノゴｰルド,---,秋山真, 1.0, 44, -15,  -8,10, 46.2, ④⑦, 6, 3,Ｋグランツ, 59,松岡正, 0.5, 65,   1,  -2, 4, 12.2, ⑨⑨, 6, 7,Ｈレｰザｰバレット, 86,藤岡康, 0.8, 86,   8,* 17,12, 38.2,⑩⑦⑦
 7, 9,Ｇエンジェルラダｰ, 58,藤岡康, 1.1, 55,*  6, -18, 6, 12.5,③③③, 7, 3, トｰセンアプロｰズ,---,柴山雄, 1.2, 42, -19,  -7, 8, 16.4, ⑨⑨, 7,10,Ｉサクセスフィリア, 62,津村明, 0.5, 65,   4,  -4, 8, 26.5, ⑦⑦, 7, 6,Ｂフリｰトストリｰト, 91,吉田隼, 1.0, 83,* 11,   8, 4,  8.7,①②②
 8,11,Ｈパラディドル, 55,城戸義, 1.7, 51,   1, -14, 9, 37.4,⑫⑬⑪, 8, 7, ホｰリｰランド,---,松田大, 1.7, 35, -17, -16, 1,  3.5, ⑦⑧, 8, 7,Ｏトｰホウジュリア, 49,吉田隼, 0.5, 63,  -5,*  5,14,111.7, ⑭⑬, 8, 3,Ｅグランプリブラッド, 88,松田大, 1.1, 83,   9,  13, 2,  5.4,⑥⑥⑥
 9,10,Ｌナムラリズ, 38,西村太, 2.7, 44,   3, -27,13,232.3,⑥⑧⑩, 9, 6, ブレイクダンサｰ,---,村田一, 1.7, 39, -31,  -1, 7, 15.9, ⑩⑩, 9,11,Ｊダイワダルタニアン, 59,菱田裕, 1.0, 58,  -3,  -4, 9, 26.9, ⑫⑭, 9, 1,Ｊリアライズキボンヌ, 86,松岡正, 1.2, 83,   7,  15,10, 27.7,⑨⑧⑧
10, 8,Ｊバイザスタｰン, 54,三浦皇, 2.8, 42,   5, -32, 4,  9.7,⑤⑤⑦,10, 5, ライドオンウインド,---,古川吉, 1.7, 36, -14, -18, 3,  5.0, ⑥⑤,10, 4,Ｄクｰルジョジョ, 64,小林徹, 1.4, 55,   8, -20, 6, 16.7, ③③,10,13,Ｄナリタシルクロｰド, 89,菱田裕, 1.5, 79,   6,  13, 8, 15.8,⑦⑪⑫
11, 2,Ｋデルマジャイアン, 43,村田一, 2.8, 45,   1, -25,12,196.6,⑬⑫⑫,,,,,,,,,,,,,11,14,Ｎナゲットハント, 49,長岡禎, 1.5, 51, -12,  -1,15,252.9, ⑮⑮,11, 9,Ｃクリソライト, 91,三浦皇, 1.6, 79,   6,  13, 1,  3.0,⑪⑫⑪
12, 6,Ａナムラアンバｰ, 64,小崎綾, 3.4, 39,*  6, -40, 5, 11.0,②①②,,,,,,,,,,,,,12, 5,Ｅタガノレベッカ, 64,秋山真, 1.5, 54,   8, -21, 2,  3.7, ④④,12, 5,Ｇフィｰルドシャイン, 87,秋山真, 1.6, 80,   5,  15,13, 89.6,⑧⑬⑬
13, 5,Ｍディアキンカク, 36,黛弘人, 7.2, 10,   5, -69,11,126.9,①④⑬,,,,,,,,,,,,,13,13,Ｆマイネパシオｰネ, 63,丹内祐, 1.6, 53,*  9, -23, 5, 13.5, ⑤⑤,13, 4,Ｉヒルノマドリｰド, 86,四位洋, 2.1, 77,   7,   7, 3,  6.9,⑤⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｇレフア, 63,横山和, 1.6, 49,  -2, -13,13, 69.1, ⑩⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｍカゼニタツライオン, 51,城戸義, 2.6, 41,* 11, -39, 7, 23.0, ①②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
"単勝:310円 複勝:07=130円 01=700円 12=390円 枠連:3,870円",,,,,,,,,,,,"単勝:430円 複勝:10=160円 09=210円 08=200円 枠連:1,620円",,,,,,,,,,,,"単勝:3,270円 複勝:09=680円 12=210円 08=730円 枠連:2,790円",,,,,,,,,,,,"単勝:1,410円 複勝:12=470円 11=660円 02=910円 枠連:1,630円",,,,,,,,,,,
"馬連:3,960円 ワイド:01-07=1,050円 07-12=890円 01-12=5,520円",,,,,,,,,,,,"馬連:1,990円 ワイド:09-10=730円 08-10=590円 08-09=1,150円",,,,,,,,,,,,"馬連:7,860円 ワイド:09-12=2,590円 08-09=7,120円 08-12=2,260円",,,,,,,,,,,,"馬連:11,670円 ワイド:11-12=3,850円 02-12=5,910円 02-11=7,380円",,,,,,,,,,,
"馬単:5,490円 3連複:15,750円 3連単:77,870円",,,,,,,,,,,,"馬単:3,260円 3連複:4,250円 3連単:19,880円",,,,,,,,,,,,"馬単:18,770円 3連複:64,530円 3連単:371,420円",,,,,,,,,,,,"馬単:20,520円 3連複:122,050円 3連単:604,130円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,洞爺湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｊエアルｰヴル, 48,四位洋,, 58,  -1,  -8,12, 68.3, ⑥⑥, 1,10,Ｅリアライズクレア, 68,菱田裕,, 68,  -3,*  9, 9, 29.1, ⑧⑦, 1,10,Ｂマイネルハルカゼ, 80,松岡正,, 68,   1,  10, 1,  1.8,⑤⑤④, 1, 7,Ｈヒュウマ, 73,三浦皇,, 72,*  1,  11, 4,  8.6,①①①
 2, 3,Ｎガラッシアファｰタ, 31,三浦皇, 0.0, 59,   1, -11, 3,  5.3, ③③, 2, 1,Ｄパワフルラリマｰ, 68,三浦皇, 0.0, 69,   1,   7, 6, 13.0, ⑥④, 2, 7,Ｃハヤブサペコチャン, 75,吉田隼, 0.0, 69,*  2,   9, 4,  9.3,②②②, 2, 4,Ａリメインサイレント, 82,柴山雄, 0.0, 73,*  1,  12, 1,  1.9,②②②
 3, 5,Ａマコトシニョｰラ, 62,津村明, 0.2, 56,  -4,  -7, 1,  3.7, ⑧⑧, 3, 3,Ｃキャプテンサクラ, 69,荻野琢, 0.1, 70,*  8,   1, 4,  7.0, ①①, 3,12,Ａディｰエスコマンド, 81,勝浦正, 0.2, 67,   0,  11, 2,  4.5,⑧⑧⑦, 3, 1,Ｂライズトゥフェイム, 79,菱田裕, 0.2, 73,  -1,  12, 2,  4.4,③④③
 4, 2,Ｆカメレオンアミ, 51,長岡禎, 0.2, 55,  -2, -11, 6, 14.8, ⑤⑤, 4,12,Ｆニシノラピｰト, 68,勝浦正, 0.2, 65, -11,* 12, 2,  3.9, ⑩⑩, 4, 4,Ｅデオヴォレンテ, 74,秋山真, 0.3, 65,   1,   8, 5, 18.8,③③⑤, 4, 6,Ｆバロンドゥフォｰル, 77,吉田隼, 0.2, 72,  -2,  15, 3,  6.2,⑥⑥⑥
 5, 7,Ｂシャンテクレｰル, 56,吉田隼, 0.3, 53,  -5,  -8,10, 23.0, ⑪⑩, 5, 2,Ｇベストヒット, 65,横山和, 0.6, 64,*  5,  -1, 5,  8.4, ②②, 5, 6,Ｆタプロｰム, 72,柴山雄, 0.4, 66,  -5,* 17, 9, 41.4,⑬⑬⑬, 5, 3,Ｄラスカルトップ, 77,松田大, 0.2, 75,  -2,* 17, 5, 11.1,⑦⑦⑦
 6,13,Ｉクライフォｰジョイ, 50,村田一, 0.4, 56,*  5, -20, 4,  8.4, ①①, 6, 8,Ｉヒミノオオタカ, 64,中谷雄, 0.8, 62,   3,  -2, 8, 15.4, ⑤⑥, 6, 3,Ｉキネオグランデ, 68,三浦皇, 0.4, 64,   0,   8, 7, 24.1,⑦⑥⑥, 6,10,Ｊダブルオｰセブン, 69,勝浦正, 0.5, 72,  -3,  15, 9, 73.3,⑨⑧⑧
 7, 4, ハゴロモジャスミン,---,横山和, 0.4, 50,  -8,* -6, 8, 16.9, ⑬⑬, 7, 4,Ｋキシュウレパｰド, 60,井上敏, 0.9, 60,  -6,   3,11,131.5, ⑨⑨, 7, 1,Ｇフェリｰチェレガロ, 70,藤岡康, 0.4, 65,*  2,   5, 3,  8.2,①①①, 7, 8,Ｅエアポｰトメサ, 77,秋山真, 0.5, 72,  -4,* 17, 8, 73.2,⑩⑩⑩
 8,15,Ｄセクシイガｰル, 54,勝浦正, 0.4, 52,  -4, -11, 2,  4.5, ⑩⑨, 8, 6,Ａスマｰトエビデンス, 72,小崎綾, 0.9, 61,*  5,  -4, 1,  3.1, ③③, 8, 9,Ｄタンスチョキン, 74,古川吉, 0.6, 65,   0,   8, 8, 35.2,⑥⑦⑧, 8, 2,Ｃヴァリアシオン, 78,古川吉, 0.7, 65,  -1,   5, 6, 14.2,⑤⑤⑤
 9,16,Ｃミスティックヨハネ, 54,丸山元, 0.7, 53,*  4, -22, 7, 16.8, ②②, 9, 5,Ｂエタｰナルスタｰ, 71,津村明, 1.0, 59,   3,  -4, 3,  6.9, ④⑤, 9, 2,Ｈヒシラストガイ, 68,小崎綾, 0.7, 64,  -2,   9,11, 56.9,⑩⑨⑨, 9, 9,Ｇヤマニンファラオ, 74,藤田伸, 1.4, 57,  -1,  -6, 7, 22.6,④③④
