14年 6月28日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 6月28日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,恵山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, タケデンタイガｰ,---,津村明,, 51,* 12, -22, 1,  2.4, ①①, 1, 4,Ｌアピシウス, 46,柴山雄,, 68,*  6,*  6, 6, 23.1,②①①, 1, 7,Ｂベルライン, 73,藤岡康,, 78,*  5,* 10, 2,  3.6, ②②, 1, 8,Ｆレッドシャンクス, 66,四位洋,, 71,*  3,   6, 3,  4.6,①①①
 2,14, ユメノマイホｰム,---,長岡禎, 0.4, 38,  -4,*-11,11, 46.7, ⑫⑪, 2, 6,Ａワイルドコットン, 68,三浦皇, 0.7, 65,   4,*  4, 1,  2.1,⑤⑤⑤, 2, 6,Ａセイウンチカラ, 74,岩田康, 0.3, 75,*  6,   6, 1,  2.9, ①①, 2, 2,Ｃメイショウテッサイ, 69,松岡正, 0.2, 73,   0,* 10, 2,  4.5,⑤⑤⑥
 3,10, ヘッドドレス,---,勝浦正, 0.5, 38,  -1, -15, 6, 15.1, ⑦⑧, 3, 7,Ｂメイショウトキムネ, 65,古川吉, 0.7, 67,   5,   3, 3,  5.5,⑩④③, 3, 1,Ｃモリトブイコｰル, 70,横山和, 0.9, 68,   2,   4, 3,  4.8, ③③, 3, 5,Ｄカッパドキア, 67,松田大, 0.2, 72,   0,* 11, 4,  4.8,⑧⑧⑤
 4, 9,Ｇエクシｰドリミッツ, 10,秋山真, 0.6, 42,* 11, -28, 3,  6.3, ②②, 4,12,Ｄスズカルｰブル, 62,長岡禎, 1.2, 62,   2,   3, 7, 26.7,⑥⑥⑥, 4, 3,Ｅトウショウハマｰ, 68,丸田恭, 1.2, 62,  -8,   7, 7, 24.9, ⑧⑦, 4, 3,Ｂヴィジャイ, 69,岩田康, 0.3, 70,   1,   6, 7, 10.9,②③③
 5, 3, コスモシュアｰ,---,木幡初, 0.8, 34, -13,* -7,12, 76.0, ⑮⑮, 5, 5,Ｃダブルミッション, 65,岩田康, 1.3, 61,*  5,  -4, 2,  2.7,④③②, 5, 4,Ｄオリエンタルダガｰ, 70,長岡禎, 1.2, 64,  -7,   6, 5,  6.7, ⑦⑥, 5, 1,Ａツクバアズマオｰ, 78,勝浦正, 0.3, 70,*  3,   3, 1,  4.1,③②②
 6, 2,Ｄコスモピンパｰネル, 36,松岡正, 0.9, 32,  -2, -19, 8, 22.2, ⑧⑦, 6,11,Ｅオンワｰドハンタｰ, 62,小崎綾, 1.6, 60,   2,   0, 4, 17.1,⑧⑧⑦, 6,10,Ｆサクラエルカミｰノ, 67,三浦皇, 1.2, 64,   2,   1, 4,  6.0, ④④, 6, 6,Ｅトウケイゴｰルド, 67,長岡禎, 0.5, 68,   1,   3, 5,  8.7,④④④
 7,15,Ｂガｰルズライン, 46,小林徹, 1.0, 32,   3, -25, 5, 10.3, ⑤④, 7, 9,Ｉジュｰンブライトン, 52,荻野琢, 2.4, 55,  -1,  -2,10,118.4,⑨⑨⑨, 7, 8,Ｈヒヅグｰタス, 62,井上敏, 1.4, 61, -10,   7,10,118.0, ⑨⑨, 7, 4,Ｇサングブルｰ, 65,柴山雄, 0.8, 65,   0,   2, 8, 22.9,⑦⑦⑧
 8, 1,Ｃクリノテツマン, 39,丸田恭, 1.1, 28,  -4, -20, 9, 43.4, ⑩⑨, 8, 2,Ｋサカジロハンサム, 49,秋山真, 2.7, 52,  -2,  -2, 9,105.8,⑪⑫⑪, 8, 2,Ｇパスティ, 65,古川吉, 2.1, 56,  -7,  -1, 9, 98.7, ⑥⑧, 8, 7,Ｉスマｰトマｰチ, 59,丸山元, 0.8, 66,   0,   2, 9, 94.2,⑥⑥⑦
 9,11, ネコレｰヌ,---,村田一, 1.1, 31, -10, -13,15,136.1, ⑭⑭, 9,13,Ｈホワイトスネｰク, 52,菅原隆, 2.9, 49,*  5, -18,11,131.4,①②④, 9, 5,Ｊタマモエスカルゴ, 56,城戸義, 2.5, 51,  -4,  -8, 6, 23.6, ⑤⑤, 9, 9,Ｈクｰルジョｰカｰ, 60,菱田裕, 1.4, 60,   0,  -6, 6,  9.2,⑨⑨⑨
10, 6,Ａクリノヤクマン, 48,柴山雄, 1.1, 34,*  8, -32, 2,  5.9, ③③,10,10,Ｊタイヨウロマン, 51,丸田恭, 3.0, 47,   2, -11, 8, 78.9,⑦⑦⑧,10, 9,Ｉトウシンヴィｰナス, 58,小崎綾, 3.0, 44, -21,   0, 8, 60.2, ⑩⑩,,,,,,,,,,,,
11, 5, ルパン,---,横山和, 1.2, 28,  -2, -23, 7, 19.9, ⑨⑩,11, 8,Ｆミキノブルｰグラス, 60,津村明, 3.5, 46,  -1, -11, 5, 18.3,③⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,
12, 7,Ｆティｰベレヌス, 17,菱田裕, 1.2, 29,  -8, -18,13, 80.5, ⑬⑬,12, 1,Ｇカｰライルシチｰ, 55,黛弘人, 3.5, 49,   0, -11,12,146.1,⑫⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
