14年10月19日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月19日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝2750m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔵王特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａサンクタリリアス, 56,柴山雄,, 50,* -1,  -5, 1,  2.5, ③③, 1, 1, ルペｰルノエル,,白浜雄,,,,, 1,  1.7,②②①, 1, 8,Ｌメイショウアズミノ, 58,武幸四,, 68,* -1,  13, 2,  5.7, ①①, 1,12,Ｊプレストウィック, 67,津村明,, 86,*  1,* 24, 2,  5.3,③③②
 2, 2,Ｉパパラヴズマンボ, 37,江田照, 0.0, 52, -11,*  4, 7, 27.5, ⑨⑦, 2, 8, プロフェッサｰ,,北沢伸,182.0,,,, 2,  4.5,⑦⑤②, 2,14,Ｄジャストザブレイン, 65,丸山元, 0.1, 67,  -8,* 19, 6, 10.4, ⑩⑧, 2, 5,Ｆマルクナッテ, 69,丸田恭, 0.4, 82,   1,* 20, 5,  7.8,④④⑤
 3,16,Ｆスイｰトアリッサム, 42,井上敏, 0.7, 45,*  2, -14, 8, 28.0, ②②, 3, 5, キュウシュウソダチ,,大江原,182.2,,,, 5, 15.4,④③③, 3, 3,Ｆランパスキャット, 62,嘉藤貴, 0.5, 61,  -8,  13, 5,  9.7, ⑨⑩, 3, 9,Ｅサンドラバロｰズ, 70,丸山元, 0.6, 82,   1,  19, 8, 12.1,⑥⑧⑥
 4,11,Ｈカンタベリｰキッズ, 40,二本柳, 0.9, 45,  -4,  -9, 9, 58.8, ⑤④, 4,12, アスタｰコリント,,林満明,182.4,,,, 3,  6.5,⑤⑥⑥, 4,13,Ｂタイセイゼニス, 69,杉原誠, 0.5, 60,* -3,   8, 8, 12.9, ②②, 4,13,Ｋテイエムブシドｰ, 65,古川吉, 0.6, 82,   1,* 20, 9, 24.5,⑩⑨⑧
 5, 8,Ｇマニワプリンセス, 41,丸田恭, 1.1, 39, -15,* -3, 5,  9.7, ⑬⑪, 5, 4, ディｰプフォンテン,,浜野谷,183.0,,,, 9, 59.8,③④⑤, 5,11,Ｃシャインプレイン, 65,丸田恭, 0.6, 58,  -7,  11, 1,  4.5, ⑦⑦, 5, 8,Ｂシャイニｰデイズ, 72,伊藤工, 0.6, 79,   0,  17, 3,  6.0,⑦⑥④
 6, 9,Ｃパピプペポ, 46,松若風, 1.1, 42,*  2, -17, 3,  5.9, ①①, 6, 7, アウレオｰラ,,江田勇,183.4,,,, 7, 35.1,①①④, 6,15,Ｇサンマルバクシン, 62,松若風, 0.6, 59,  -4,   8, 7, 11.2, ④④, 6, 2,Ｄレジｰナ, 70,松田大, 0.6, 79,*  2,  14, 6, 10.9,②②①
 7,14,Ｂオｰジｰアイドル, 52,長岡禎, 1.2, 41,  -4, -14, 2,  3.7, ④⑤, 7, 3, バルダメンテ,,高野和,183.8,,,, 4, 12.9,⑥⑦⑦, 7,16,Ｉミキノティｰタイム, 61,中井裕, 0.7, 58,  -4,   7,12, 44.5, ⑤⑤, 7, 7,Ｇマイネルカｰミン, 68,柴山雄, 0.8, 79,  -1,  18,11, 33.1,⑫⑫⑫
 8, 4,Ｊエマｰジングウルフ, 35,松田大, 1.6, 38, -12,  -8,11,135.7, ⑩⑨, 8, 9, ブルｰグランツ,,原田和,184.1,,,, 6, 17.2,⑧⑧⑧, 8, 4,Ｊトｰホウジュリア, 60,的場勇, 0.7, 58,  -4,   7,13, 45.1, ③③, 8, 1,Ｉマイケルチョウサン, 67,中井裕, 1.0, 78,  -1,  15,10, 28.9,⑧⑪⑪
 9, 5,Ｋミックトゥルｰス, 33,古川吉, 2.2, 31, -25,  -4,12,147.4, ⑯⑯, 9,10, セイカシャルマン,,鈴木慶,185.1,,,,12,135.0,⑩⑩⑩, 9,10,Ｏデカントラップ, 34,井上敏, 0.8, 58, -12,  13, 9, 22.9, ⑭⑮, 9, 4,Ｃメイショウラリマｰ, 71,武幸四, 1.2, 73,   0,   8, 4,  6.0,⑤⑤③
10, 1,Ｌカンタベリｰマミｰ, 26,木幡初, 2.2, 31, -16, -12,15,166.4, ⑫⑫,10, 2, カワキタバルク,,小野寺,185.3,,,,10, 73.1,⑪⑨⑨,10, 2,Ｍダンツキャノン, 53,城戸義, 0.8, 56,  -8,   9,14, 59.0, ⑧⑨,10, 3,Ｈジャングルパサｰ, 67,江田照, 1.4, 71,   0,   7, 1,  4.5,⑪⑩⑩
11, 3,Ｍエンジェルネネ, 24,岩崎翼, 2.3, 29, -21,  -8,16,208.4, ⑮⑮,11,11, クラバウタｰマン,,金子光,188.4,,,,11,113.6,⑨⑪⑪,11, 7, グレンデｰル,---,古川吉, 0.9, 56, -11,  11,16, 68.0, ⑪⑬,11,10,Ｌショウナンバッハ, 54,杉原誠, 1.4, 76,  -1,  14,12, 50.6,⑬⑬⑬
12,12,Ｄツクバカンタｰレ, 43,城戸義, 2.4, 29,  -8, -21, 6, 15.9, ⑥⑥,12, 6, ゾネブルム,,五十嵐,189.8,,,, 8, 41.2,⑫⑫⑫,12, 1,Ｈマイネルグリプス, 61,津村明, 0.9, 57, -12,  12, 4,  8.3, ⑬⑫,12, 6,Ａマンノアクトレス, 73,高倉稜, 1.6, 68,   0,   3, 7, 12.1,⑨⑦⑨
13, 7,Ｎアグネスレジｰナ, 23,中井裕, 2.5, 30, -13, -16,10, 69.9, ⑪⑬,13,13, バｰジェス,,蓑島靖,193.4,,,,13,193.1,⑬⑬⑬,13,12,Ｎグンシン, 43,柴山雄, 1.1, 54, -10,   9,15, 59.3, ⑫⑪,13,11,Ｍトミケンホッパス, 40,村田一, 3.2, 49,*  2, -24,13,158.9,①①⑦
14,10,Ｏシゲルヒナマツリ, 19,高倉稜, 2.5, 29, -15, -15,14,166.1, ⑭⑭,,,,,,,,,,,,,14, 6,Ｋレッドルシファｰ, 59,中谷雄, 1.3, 51, -12,   7,11, 29.1, ⑯⑭,,,,,,,,,,,,
15, 6,Ｐメイスンヴィｰナス, 18,津村明, 3.6, 18, -12, -28, 4,  8.1, ⑧⑩,,,,,,,,,,,,,15, 5,Ａシェｰル, 71,木幡初, 1.3, 49,  -5,   0, 3,  6.1, ⑥⑥,,,,,,,,,,,,
16,13,Ｅキセキノブｰケ, 43,原田和, 4.4, 13,  -7, -37,13,149.4, ⑦⑧,,,,,,,,,,,,,16, 9,Ｅグランツ, 62,嶋田純, 1.4, 49, -12,   6,10, 26.2, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
