14年 7月12日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月12日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,下北半島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂラブミｰクン, 53,田中博,, 50, -10,*  3, 5,  6.3, ⑤⑤, 1, 7,Ｌキョウエイカプリス, 50,中谷雄,, 62,*  2,   0, 6, 31.1, ②②, 1, 2,Ｂアピシウス, 75,柴山雄,, 70,*  0,* 16, 1,  1.8,①①①, 1,10,Ａツクバジャパン, 74,古川吉,, 73,*-10,  13, 2,  3.3, ①①
 2,10,Ｄヒラボククラウン, 47,岩田康, 0.2, 49,* -5,  -2, 1,  4.0, ②②, 2, 3,Ａカガフレグランス, 67,秋山真, 0.1, 60,  -2,   2, 1,  1.8, ⑥⑤, 2, 7,Ｃファイブタブレット, 72,三浦皇, 0.2, 70,* -1,* 16, 2,  4.4,②②②, 2, 8,Ｈサウンドマンデュロ, 63,菱田裕, 0.6, 67,*-14,  10, 9, 54.5, ②②
 3, 8, サカダッシュ,---,菱田裕, 0.3, 47,* -5,  -3, 4,  5.0, ①①, 3, 8,Ｂアジャｰニ, 62,岩田康, 0.1, 61,*  2,  -1, 5, 10.3, ①①, 3, 4,Ｆオルドリン, 67,岩田康, 0.7, 68,  -2,  14, 4,  6.5,④④⑤, 3, 2,Ｆマラムデｰル, 65,岩田康, 0.6, 68, -21,  16, 1,  2.5, ⑤⑤
 4,12,Ｅバリキ, 46,丸田恭, 0.3, 47,  -6,  -2, 2,  4.4, ③④, 4, 5,Ｆブロンズテｰラｰ, 57,丸田恭, 0.2, 57,  -6,   4, 3,  5.4, ⑧⑧, 4, 5,Ｄサンクフルネス, 72,丸田恭, 0.8, 65,  -3,* 16, 5, 12.9,⑤⑥⑥, 4, 3,Ｊシュウギン, 61,黛弘人, 0.6, 67, -16,  13, 8, 50.2, ③④
 5, 3,Ｃワンラヴワンハｰト, 51,小崎綾, 0.4, 46,  -8,  -2, 6, 11.5, ④③, 5, 2,Ｅタイセイデザイア, 58,城戸義, 0.7, 54,  -2,  -4, 8, 47.1, ⑤④, 5, 6,Ａパッシングブリｰズ, 77,四位洋, 0.9, 69,  -3,  14, 3,  5.0,⑦⑤④, 5, 5,Ｅアドマイヤサブリナ, 66,丸山元, 0.7, 66, -16,  11, 4,  8.7, ④③
 6, 1,Ｋネコソラ, 28,黛弘人, 0.6, 44, -16,*  1, 7, 21.7, ⑨⑦, 6, 6,Ｄトラストエルフ, 58,井上敏, 0.9, 52,  -5,  -4, 9, 52.7, ⑦⑦, 6, 1,Ｅホッコｰジョイフル, 67,小林徹, 1.1, 65,  -2,  10, 6, 19.3,③③③, 5, 1,Ｂサンシカゴ, 71,秋山真, 0.7, 67, -26,* 20, 5, 10.2, ⑨⑨
 7, 2,Ｊラッシュボｰル, 30,城戸義, 0.9, 40, -19,*  1,12,162.1, ⑪⑩, 7, 1,Ｇバトルフェスタ, 52,長岡禎, 0.9, 49, -26,* 10,10, 82.0, ⑪⑪, 7, 3,Ｇテッシン, 55,井上敏, 2.4, 57,  -6,   7, 7,139.5,⑥⑦⑦, 7, 6,Ｇクリノチョモランマ, 64,村田一, 0.9, 64, -23,  15, 3,  6.8, ⑧⑧
 8, 7,Ａスイｰトアリッサム, 55,荻野琢, 1.1, 39,  -9,  -7, 3,  5.0, ⑥⑥, 8,10,Ｊヴェアリアスハｰト, 51,荻野琢, 1.2, 49,  -6,  -6,11,122.1, ⑨⑨,,,,,,,,,,,,, 8, 7,Ｄエｰデルシュタイン, 67,ロｰウ, 1.0, 64, -27,* 17, 7, 18.2, ⑩⑩
