14年 7月12日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月12日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2750m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 4R  芝3350m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3, テｰオｰダンシング,,難波剛,,,,, 3,  6.1,④③②, 1, 3, メジロサンノウ,,原田和,,,,, 6, 10.8,⑫⑪⑦, 1,14,Ａナムラセンセイ, 69,横山典,, 63,*  6,  -2, 2,  3.6, ②②, 1, 4,Ｂマイネルミラノ, 81,柴田大,, 76,*  2,  19, 1,  1.6,⑦②②
 2,13, プロジェクトブルｰ,,石神深,182.2,,,, 2,  3.9,⑦⑥⑥, 2, 5, ナンデヤネン,,上野翔,222.2,,,, 5,  8.1,⑪⑧⑤, 2, 6,Ｂトｰセンスティング, 67,北村宏, 0.2, 60,  -4,*  5, 3,  4.3, ⑪⑩, 2, 5,Ｄガチバトル, 77,田中勝, 0.2, 76,  -2,* 24, 5, 14.8,④⑥⑤
 3, 9, カシノデュｰク,,蓑島靖,182.4,,,, 4,  6.4,⑤⑤⑤, 3, 2, フリｰダムシチｰ,,石神深,222.3,,,,10, 36.8,④④④, 3, 1,Ｅインスタイル, 63,蛯名正, 0.2, 60,  -2,*  5, 4,  6.8, ⑨⑨, 3, 1,Ａバッドボｰイ, 81,戸崎圭, 0.2, 71,*  2,  16, 2,  3.5,①①①
 4, 7, ダイコウキ,,熊沢重,183.2,,,, 5,  8.1,①①①, 4, 6, オベロン,,横山義,222.4,,,, 4,  6.5,⑨⑨⑨, 4,10,Ｆミキノグランプリ, 61,熊沢重, 0.6, 61,   3,  -3, 5, 10.5, ⑧⑥, 4, 8,Ｈイタリアンネオ, 66,北村宏, 0.5, 70,  -1,  17, 3,  8.8,⑤④④
 5,12, オマモリ,,浜野谷,183.3,,,, 8, 25.2,⑥⑦⑦, 5, 7, テンジンキヨモリ,,江田勇,222.6,,,, 3,  6.1,③①②, 5, 7,Ｃハッツオフ, 67,戸崎圭, 0.7, 57,   3,  -5, 1,  3.3, ④④, 5, 3,Ｅダイワストリｰム, 72,田辺裕, 0.9, 66,  -2,  14, 7, 40.8,⑧⑦⑥
 6,14, ホクレア,,江田勇,183.4,,,,12,121.4,③②③, 6,12, ボストンプラチナ,,大江原,222.7,,,, 9, 34.3,⑤⑦⑥, 6,12,Ｄワイルドジｰク, 64,内田博, 1.0, 56,   4,  -9, 6, 19.5, ⑤⑤, 6, 2,Ｇパワｰスラッガｰ, 68,江田照, 1.0, 64,  -2,  13, 6, 21.3,②⑤⑦
 7, 2, ティリアンパｰプル,,金子光,183.9,,,,13,154.6,⑪⑩⑧, 7, 8, プレミアムパス,,五十嵐,222.8,,,, 7, 14.8,②②①, 7,16,Ｋオｰガンディｰ, 51,柴田大, 1.1, 57,*  7, -11,12, 82.3, ③③, 7, 6,Ｆノｰブルジュピタ, 69,大野拓, 1.0, 67,  -3,  16, 8, 69.9,⑥⑧⑧
 8, 1, プレミアムカｰド,,上野翔,184.2,,,,10, 38.3,②④④, 8,11, エクセリオン,,浜野谷,223.2,,,, 1,  3.3,⑥③③, 8, 8,Ｏナンヨｰルｰク, 43,杉原誠, 1.2, 49,  -5,  -3, 8, 38.2, ⑩⑪, 8, 7,Ｃセキショウ, 79,横山典, 1.5, 54,  -1,   2, 4, 10.1,③③③
