14年 5月 3日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 5月 3日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  ダ1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,春光ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂデュナトス, 64,松岡正,, 69,*  7,  -4, 4,  7.5, ②②, 1, 4,Ｇニシノカンザシ, 55,松岡正,, 60,*  3,  -9, 8, 30.3,③④③, 1,14,Ｏツインプラネット, 46,戸崎圭,, 70,* -1,   8, 1,  3.7, ①①, 1,11,Ａメイショウコロンボ, 91,秋山真,, 78,*  8,  12, 3,  8.3, ①①
 2, 2,Ｅブラックメイプル, 59,内田博, 0.0, 67,   4,  -1, 3,  5.1, ④④, 2,14,Ｈケイクエスト, 54,内田博, 0.0, 60,  -2,* -2, 4,  7.8,⑰⑮⑬, 2,10,Ｅサウスマキシム, 69,柴田善, 0.5, 68,  -6,* 11, 6, 10.6, ⑨⑧, 2, 4,Ｈスズカヴィグラス, 81,内田博, 0.0, 81,   5,* 16, 6, 14.9, ⑦⑤
 3,14,Ｇドスコイサｰファｰ, 57,田辺裕, 0.1, 64,  -4,*  9, 7, 17.4, ⑮⑭, 3,12,Ａナカヤマジョｰイ, 68,三浦皇, 0.0, 61,  -2,* -2, 2,  3.8,⑮⑩⑪, 3, 4,Ａクロスカップリング, 74,北村宏, 0.7, 67,  -8,* 11, 3,  4.1, ⑫⑨, 3, 6,Ｅハコダテナイト, 83,田辺裕, 0.1, 79,   4,* 18, 5, 11.5, ⑪⑨
 4, 7,Ｆジギｰスンナｰ, 58,吉田豊, 0.3, 65,*  7,  -7, 6, 15.5, ①①, 4, 2,Ｃタケシクン, 58,田中勝, 0.1, 58,   1,  -8, 7, 21.8,⑨⑥⑥, 4, 2,Ｇモリトブイコｰル, 68,横山和, 0.9, 65,  -6,   8, 8, 47.5, ⑦⑥, 4, 7,Ｃシンボリエンパイア, 83,三浦皇, 0.2, 77,*  7,  11, 2,  3.3, ④④
 5, 6,Ｄベルウッドタイガ, 61,武士沢, 0.4, 62,   1,  -1, 2,  4.1, ⑦⑦, 5, 1,Ｍサプライズレナ, 40,田辺裕, 0.4, 55,  -2,  -8,10, 72.1,⑤⑫⑩, 5,12,Ｌフェアリｰガｰデン, 60,大庭和, 1.0, 64,* -1,   1,12,132.8, ②②, 5, 1,Ｂキタサンイナズマ, 88,横山典, 0.4, 75,*  7,  10, 1,  2.3, ②③
 6,16,Ｃナムラヒラリｰ, 63,三浦皇, 0.5, 62,   2,  -3, 5,  7.7, ⑨⑤, 6,17,Ｆパリｰアｰク, 55,シュタ, 0.4, 54,*  2, -17, 1,  2.6,⑧③⑤, 6, 6,Ｃマグナムボｰイ, 71,内田博, 1.0, 64,  -5,   5, 5,  9.1, ⑤④, 6, 3,Ｎオメガブレイン, 66,北村宏, 0.4, 78,*  8,  11,12,162.7, ③②
 7, 9,Ｊマイネルボルソｰ, 54,柴田大, 0.5, 62,  -4,*  4, 8, 17.6, ⑫⑬, 7, 8,Ｂボビンレｰス, 61,横山和, 0.5, 52,  -1, -12, 9, 47.3,⑩⑦⑦, 7, 5,Ｉアスタｰフレンチ, 62,田中博, 1.1, 64, -10,* 10, 9, 56.3, ⑭⑫, 7,14,Ｊフミノメモリｰ, 80,石橋脩, 0.7, 75,   3,  15, 9, 40.1, ⑬⑬
 8, 5,Ｈラインシャドｰ, 55,横山和, 1.3, 54,  -1,  -6,10, 43.9, ⑪⑩, 8, 7,Ｋブルｰロｰタス, 49,蛯名正, 0.5, 54,   1, -14, 6, 12.2,⑥⑧⑧, 8, 3,Ｄトゥｰルモンド, 70,吉田豊, 1.4, 61,  -6,   3, 2,  3.9, ⑧⑦, 8,10,Ｇセイカフォルテ, 81,吉田豊, 0.7, 76,   3,  15,11, 94.9, ⑫⑫
