14年 5月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 5月25日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾘｰｳｪｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｄユキノビリｰブ, 59,秋山真,, 55,*-15,*  6, 6, 15.7, ②②, 1,17,Ｃコスモチョコレイ, 58,柴田大,, 62,*  2,  -6, 4,  7.0,⑤④③, 1,14,Ｇロンギングゴｰルド, 70,ウィリ,, 79,  11,   0, 2,  5.5,⑧⑨⑨, 1, 8,Ｌコウヨウアレス, 76,内田博,, 83,*  3,   7, 4,  6.6, ①①
 2,14,Ｂマハｰシュリｰ, 62,横山典, 0.0, 56,*-14,*  7, 1,  2.0, ④④, 2,11,Ｅダイワブレス, 57,北村宏, 0.3, 57,*  0,  -8, 1,  3.1,③③④, 2,15,Ｅタイセイグルｰヴィ, 72,松岡正, 0.1, 79,  10,   0, 7, 13.8,⑩⑩⑩, 2, 2,Ｄハングリｰジャック, 82,田辺裕, 0.2, 81,*  2,   7, 5, 10.6, ③③
 3,13,Ｆグレイスナカヤマ, 57,木幡初, 0.2, 54,*-14,   3, 7, 17.1, ①①, 3,18, キャンディキｰ,---,武士沢, 0.5, 61,  -9,* 10,14, 79.7,⑱⑱⑱, 3, 7,Ｂパシャドｰラ, 73,北村宏, 0.3, 75,  11,  -8, 3,  6.2,⑤⑦⑦, 3, 9,Ｈハｰキュリｰズ, 80,岩田康, 0.2, 81,*  2,   5, 2,  4.8, ②②
 4, 4, エルゴレア,---,ウィリ, 0.3, 54,*-15,   4, 4,  6.7, ③③, 4, 2,Ｂパラドｰロ, 58,戸崎圭, 0.5, 55,  -2,  -6, 2,  5.2,⑥⑤⑦, 4, 6,Ｈピタゴラスコンマ, 70,井上敏, 0.4, 76,   6,*  4,11, 46.2,⑫⑬⑬, 4, 1,Ｆゴｰハンティング, 81,戸崎圭, 0.2, 81,  -1,   9, 8, 15.9, ⑥⑥
 5, 1,Ｅクインズアベハ, 58,戸崎圭, 0.5, 53, -20,* 10, 2,  6.2, ⑭⑭, 5, 1,Ａチｰカ, 60,岩田康, 0.7, 55,  -3,  -5, 5,  9.1,⑪⑧⑨, 5,13,Ｄマクベスバロｰズ, 72,勝浦正, 0.4, 78,   6,*  6, 9, 17.7,⑰⑭⑭, 5, 3,Ｎニシノビｰクイック, 74,勝浦正, 0.3, 81,  -2,   9,12, 40.3, ⑦⑦
 6, 8,Ｃイミラカチャ, 60,三浦皇, 0.6, 51, -17,   4, 3,  6.5, ⑧⑦, 5, 6,Ｏマニエｰテ, 30,福永祐, 0.7, 53,   0, -12,10, 26.9,⑨⑦⑥, 6,17,Ｐパリソワｰル, 65,三浦皇, 0.4, 77,   8,   0,17,147.4,⑪⑪⑫, 6, 7,Ｃプランスデトワｰル, 82,福永祐, 0.3, 82,  -4,  13, 6, 14.0, ⑨⑨
 7,10,Ａソレイユレヴァン, 62,北村宏, 0.6, 51, -16,   3, 5, 13.9, ⑦⑧, 7,12,Ｉホトトヤエ, 47,的場勇, 0.9, 49,*  2, -21,13, 79.3,①①①, 7, 9,Ｏエリンジュｰム, 65,江田照, 0.4, 73,  12, -10,14, 96.7,⑥⑥⑥, 7,11,Ｂセイクレットレｰヴ, 83,蛯名正, 0.3, 84,  -7,* 17, 1,  3.9, ⑫⑫
 8, 6, リナクリスタル,---,柴田大, 0.6, 52, -17,   4,11, 52.5, ⑤⑤, 8, 9,Ｆサプライズレナ, 52,藤岡康, 0.9, 53,  -5,  -5, 7, 21.1,⑬⑪⑬, 8, 5,Ｌポップアップハｰト, 68,岩田康, 0.5, 74,   7,   0, 6, 11.3,⑮⑫⑪, 8,14,Ｉシルクドリｰマｰ, 79,ウィリ, 0.4, 83,  -9,* 19, 9, 20.6, ⑭⑭
 9,15,Ｋキスカラハジメヨウ, 41,蛯名正, 1.0, 50, -16,   3,10, 51.3, ⑮⑩, 9,13,Ｍテンノハゴロモ, 40,横山典, 0.9, 49,  -1, -15, 9, 26.6,④⑥⑤, 9, 3,Ｃインプレザリオ, 72,福永祐, 0.6, 70,* 16, -25, 4,  6.9,③③③, 9,10,Ｇデンファレ, 80,的場勇, 0.5, 77,   1,   4, 7, 14.5, ⑤⑤
10, 9,Ｉドクタｰシェイド, 46,石橋脩, 1.8, 41, -18,  -4,15,434.1, ⑩⑪,10,16,Ｇキネオダンサｰ, 52,内田博, 0.9, 53,  -6,* -4, 3,  5.9,⑮⑭⑭,10,11,Ｋマイネルクレイズ, 68,柴田大, 0.8, 75,   3,*  6,10, 41.0,⑯⑰⑱,10,12,Ｋアｰルデュラン, 77,三浦皇, 0.5, 81,  -5,  13,11, 26.4, ⑪⑪
11,11,Ｇアルマシェダル, 49,勝浦正, 2.0, 39, -17,  -7, 8, 45.8, ⑨⑨,11, 4,Ｋペイグラブル, 46,吉田豊, 1.1, 51,  -5,  -9,12, 72.2,⑧⑫⑪,11,18,Ｆボｰイフレンド, 71,横山典, 0.8, 72,   6,   2, 1,  3.8,⑬⑮⑮,11, 6,Ｊタマモマｰブル, 78,武士沢, 0.6, 80,  -5,  11,10, 25.2, ⑩⑩
12, 7,Ｈオｰロラオｰラ, 48,松岡正, 2.1, 39, -18,  -7,12,155.3, ⑪⑫,12,15,Ｎメイブルｰラグｰン, 36,横山和, 1.4, 45,  -5, -13,18,329.9,⑫⑬⑫,12,10,Ｊアガサ, 70,木幡初, 1.0, 70,  11, -16,13, 68.0,⑦⑧⑧,12, 4,Ａチャｰチクワイア, 84,北村宏, 0.8, 73,   1,   0, 3,  6.1, ④④
13,12,Ｌグランピアノ, 40,吉田豊, 2.1, 38, -20,  -6, 9, 47.9, ⑫⑮,13,10, カラエ,---,浜中俊, 1.5, 46,  -7,  -8, 6, 14.4,⑰⑰⑰,13, 8,Ｍディｰエスライダｰ, 66,吉田豊, 1.2, 71,   2,   1,12, 48.6,⑱⑱⑰,13, 5,Ｍキョウエイアシュラ, 74,松岡正, 0.8, 74,  -2,   3,14,145.3, ⑧⑧
14, 2,Ｍクインズブレス, 39,江田照, 2.5, 36, -20,  -8,13,190.5, ⑬⑬,14, 8,Ｄグラサンギャル, 57,勝浦正, 1.6, 46,  -6, -12, 8, 24.1,⑯⑯⑮,14, 1,Ｉセイクリッドロｰド, 70,内田博, 1.3, 65,* 17, -38, 8, 14.3,②②②,14,13,Ｅメジャｰアスリｰト, 82,浜中俊, 1.2, 72, -10,   8,13, 48.4, ⑬⑬
15, 5,Ｊラッキｰゴｰルド, 44,武士沢, 2.5, 35, -16, -13,14,252.6, ⑥⑥,15, 7,Ｌココアチャン, 45,嘉藤貴, 1.6, 44,  -3, -20,17,200.3,⑩⑩⑩,15,12,Ｑミライヘノカゼ, 61,武士沢, 1.3, 67,* 15, -29,16,140.2,⑨⑤④,,,,,,,,,,,,
16, 3,Ｎナインライヴス,  8,井上敏, 2.7, 35, -24,  -5,16,509.1, ⑯⑯,16,14,Ｊマリｰアントワｰ, 46,江田照, 2.3, 36,*  2, -40,15, 80.8,②②②,16,16,Ｎルネッタアスｰル, 65,横山和, 1.5, 62,* 19, -43,15,105.5,①①①,,,,,,,,,,,,
,,,,,,,,,,,,17, 3,Ｐビコｰズサンサン, 20,松岡正, 2.4, 37,  -2, -33,11, 44.9,⑦⑨⑧,17, 2,Ａスマｰトルピナス, 75,戸崎圭, 1.7, 63,   4,  -9, 5,  9.7,⑭⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,18, 5,Ｈスリｰズブｰケ, 48,三浦皇, 9.4,-49,  -9, ---,16,173.2,⑭⑮⑯,18, 4,Ｒピロポ, 60,的場勇, 3.7, 49,  14, -61,18,240.3,④④⑤,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,570円 複勝:16=330円 14=120円 13=470円 枠連:650円",,,,,,,,,,,,"単勝:700円 複勝:17=230円 11=160円 18=1,130円 枠連:440円",,,,,,,,,,,,"単勝:550円 複勝:14=180円 15=310円 07=240円 枠連:1,050円",,,,,,,,,,,,"単勝:660円 複勝:08=280円 02=320円 09=200円 枠連:2,100円",,,,,,,,,,,
"馬連:1,330円 ワイド:14-16=500円 13-16=2,290円 13-14=800円",,,,,,,,,,,,"馬連:1,060円 ワイド:11-17=470円 17-18=5,500円 11-18=4,300円",,,,,,,,,,,,"馬連:2,660円 ワイド:14-15=940円 07-14=620円 07-15=1,370円",,,,,,,,,,,,"馬連:3,230円 ワイド:02-08=1,300円 08-09=890円 02-09=970円",,,,,,,,,,,
"馬単:3,700円 3連複:6,000円 3連単:43,330円",,,,,,,,,,,,"馬単:2,990円 3連複:29,020円 3連単:143,540円",,,,,,,,,,,,"馬単:4,790円 3連複:6,410円 3連単:34,310円",,,,,,,,,,,,"馬単:5,650円 3連複:7,080円 3連単:41,740円",,,,,,,,,,,
■ 2R  ダ1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  ダ2100m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 8R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2400m 3 歳ｵｰﾌﾟﾝ(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,秋川特別,,,,,,,,,,,,優駿牝馬 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａウインヴォイジャｰ, 67,内田博,, 56,* -6,   3, 1,  2.3, ③③, 1, 4,Ｃアムｰルスキｰ, 73,ウィリ,, 74,*  6,   5, 7, 21.7,②③②, 1, 9,Ｏメイショウオオカゼ, 72,浜中俊,, 81,*  4,* 14, 9, 25.5, ②②, 1, 9,Ｄヌｰヴォレコルト, 77,岩田康,, 87,   8,* 13, 2,  9.8,⑨⑨⑨
 2, 7, ミスタｰエンザン,---,武士沢, 0.3, 56, -12,* 11, 9, 81.9, ⑯⑯, 2,13,Ｅグラスプリマ, 72,吉田豊, 0.1, 72,   5,   7, 6, 16.2,④⑥⑤, 2, 4,Ｃサルバドｰルハクイ, 79,戸崎圭, 0.2, 80,   1,* 17, 2,  4.2, ⑫⑩, 2,10,Ａハｰプスタｰ, 82,川田将, 0.0, 88,   5,* 22, 1,  1.3,⑮⑯⑰
 3,13,Ｂポッドジョｰカｰ, 64,ウィリ, 0.4, 57, -10,*  6, 5, 10.6, ⑭⑬, 3, 5,Ｉアクアマリンブレス, 68,福永祐, 0.2, 72,*  6,   3, 5, 15.5,③②③, 3, 1,Ｄモズベラベラ, 77,ウィリ, 0.3, 80,   3,  13, 5, 11.8, ④⑤, 3, 5,Ｂバウンスシャッセ, 80,北村宏, 0.1, 84,   7,* 10, 3, 16.4,⑦⑦⑧
 4,14,Ｃチャンピオンリング, 62,岩田康, 0.4, 54, -10,   4, 2,  4.1, ⑫⑨, 4, 6,Ｊスワｰヴカイザｰ, 68,蛯名正, 0.2, 73,   4,   9, 4, 13.3,⑧⑧⑨, 4,15,Ｅミルキｰブロｰド, 77,木幡初, 0.4, 78,*  3,  11, 3,  4.8, ③③, 4,13,Ｈニシノアカツキ, 74,勝浦正, 0.2, 87,   6,* 16,17,181.7,⑯⑮⑮
 5,12,Ｊユキノプリンス, 42,秋山真, 0.4, 54,  -7,   2, 6, 42.0, ⑧⑦, 5, 2,Ｂトｰセンハリケｰン, 75,戸崎圭, 0.2, 73,   3,* 13, 1,  1.6,⑪⑫⑫, 5,12,Ｆネオシｰサｰ, 77,川島信, 0.7, 77,   0,  14,12, 42.0, ⑭⑬, 5,14,Ｉブランネｰジュ, 74,秋山真, 0.6, 79,   9,   0, 7, 43.2,⑤⑤⑥
 6, 8,Ｈリキマル, 52,嘉藤貴, 0.4, 54,  -8,   2,10,114.6, ④⑤, 6, 9,Ｋアイソレｰション, 66,岩田康, 0.3, 72,   4,*  9,10, 38.7,⑩⑩⑩, 6, 6,Ｈコｰリンギデオン, 76,横山和, 0.8, 76,  -1,* 14, 6, 16.7, ⑬⑭, 6,11,Ｇマｰブルカテドラル, 74,田辺裕, 0.9, 78,* 11,  -7,10, 61.7,⑥⑥⑤
 7, 4,Ｄプラネットマジック, 58,戸崎圭, 0.5, 51,* -6,  -2, 4,  7.8, ②②, 7, 3,Ｇエイシンソニック, 69,内田博, 0.3, 72,   5,   8, 9, 28.7,⑥⑨⑧, 7, 2,Ｉヴェイグストｰリｰ, 76,蛯名正, 1.0, 73,   0,  10,14, 59.2, ⑪⑫, 7, 8,Ｃサングレアル, 77,戸崎圭, 0.9, 79,   9,   1, 4, 16.5,⑩⑪⑩
 8, 5,Ｆウラレナ, 57,蛯名正, 0.6, 52,  -9,   1, 3,  4.2, ⑥⑥, 8,11,Ｆワンダフルニュｰス, 71,田辺裕, 0.6, 69,   5,   3,12, 52.8,⑫⑤⑥, 8,14,Ｇアテｰナｰズブレス, 76,北村宏, 1.1, 73,   1,   9,10, 30.6, ⑩⑪, 8, 3,Ｅマイネオｰラム, 76,松岡正, 1.1, 76,   6,   0, 9, 57.8,⑪⑬⑬
 9,11,Ｅトｰアイタダキ, 58,勝浦正, 1.0, 51,  -9,   0,13,201.0, ⑦⑧, 9,12,Ｄキネオフォルツァ, 72,北村宏, 0.8, 69,   4,   2, 8, 21.8,⑦⑦⑦, 9, 3,Ｌブルｰイングリｰン, 74,三浦皇, 1.1, 72,   2,   8,11, 37.4, ⑧⑨, 9,12,Ｌマイネグレヴィル, 70,柴田大, 1.1, 76,* 12, -14,16,145.0,③③③
10, 1,Ｇモナルダ, 52,木幡初, 1.1, 49,* -6,  -7, 7, 55.7, ①①,10, 8,Ｈコクリュウノマイ, 69,江田照, 1.4, 65,*  6,  -6,11, 50.3,⑤④④,10,11,Ｋビットアレグロ, 74,江田照, 1.2, 73,  -1,  10,13, 50.1, ⑮⑮,10, 1,Ｊベッラレジｰナ, 72,藤岡康, 1.2, 77,   5,   5,11, 63.0,⑰⑰⑯
11, 6,Ｌリトル, 41,的場勇, 1.8, 45,  -9,  -7,16,407.3, ⑨⑩,11, 7,Ａクｰルジャイロ, 77,三浦皇, 2.2, 59,*  7, -16, 2,  8.8,①①①,11, 8,Ｊザストロンシチｰ, 75,松岡正, 1.3, 70,*  3,   3, 7, 21.7, ⑤④,11,17,Ｋフォｰエバｰモア, 71,蛯名正, 1.4, 73,   9, -10, 5, 22.8,⑧⑧⑦
12, 3,Ｏベレロフォン, 20,井上敏, 2.0, 45, -12,  -4,15,363.0, ⑮⑮,12,10,Ｌドラゴンカフェ, 63,松岡正, 3.4, 53,   4, -17, 3, 10.0,⑬⑪⑪,12,10,Ａキングブレイク, 83,藤岡康, 1.6, 68,   1,   2, 4,  7.2, ⑦⑧,12,16,Ｐクリスマス, 69,三浦皇, 1.6, 73,   5,   0,15,114.0,⑱⑱⑱
