14年 2月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 2月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾛｯｶｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂスペルオンミｰ, 61,田辺裕,, 58, -12,*  6, 1,  1.5, ④④, 1, 6,Ｈサヴァティアｰノ, 54,後藤浩,, 68,*  6,   0, 4,  9.5,①①①, 1, 9,Ａレッドアルヴィス, 74,勝浦正,, 70,   1,  12, 2,  4.8, ⑧⑤, 1, 2,Ｄマイネルディアベル, 70,柴田大,, 74,   4,   5, 2,  4.1, ④④
 2, 5,Ｄアンジュシュエット, 56,後藤浩, 0.4, 55, -15,*  7, 3, 11.0, ⑩⑨, 2,14,Ｄバンズｰム, 60,田辺裕, 0.3, 67,   4,*  6, 1,  1.8,⑭⑫⑩, 2, 2,Ｂファイヤｰロック, 72,蛯名正, 0.2, 70,   1,  11, 8, 14.7, ⑤⑥, 2,12,Ｃタガノブルグ, 70,戸崎圭, 0.0, 76,  -5,* 18, 5, 12.9, ⑫⑫
 3,13,Ａスカイランナｰ, 65,吉田豊, 0.5, 54,*-10,  -1, 5, 16.0, ①①, 3,10,Ｋテオドリｰコ, 49,ベリｰ, 0.3, 67,   2,*  9, 8, 23.3,⑯⑮⑬, 3, 5,Ｇハットシテグｰ, 67,内田博, 0.4, 70,  -4,* 15, 4,  7.3, ⑮⑮, 3, 3,Ｆツィンクルソｰド, 67,内田博, 0.0, 74,   2,   7, 3,  5.1, ⑤⑤
 4,10,Ｌコアクマ, 47,嘉藤貴, 0.7, 55,*-10,   0, 4, 13.8, ③②, 4,13,Ｃディスキｰダンス, 62,松岡正, 0.6, 65,   4,   0, 7, 21.0,⑪⑨⑨, 4,11,Ｎダノンミシガン, 60,三浦皇, 0.4, 69,   1,   9, 9, 25.0, ⑥⑦, 4, 5,Ａシゲルカガ, 78,北村宏, 0.1, 70,*  7,  -2, 4,  7.2, ①①
 5, 9,Ｆミシェルメモリアル, 55,丸田恭, 0.7, 54, -18,*  8, 2, 10.8, ⑭⑬, 5,15,Ｅアンヴェイルド, 58,三浦皇, 0.7, 63,   5,  -4, 3,  9.5,⑥⑦⑦, 5,13,Ｊアルバｰト, 66,石橋脩, 0.5, 69,  -2,  12, 3,  6.4, ⑬⑬, 5, 6,Ｂキタサンラブコｰル, 73,横山典, 0.3, 70,   0,   7, 8, 23.6, ⑧⑧
 6,16,Ｅリストワｰル, 55,三浦皇, 1.0, 52, -13,   0, 6, 20.2, ⑥⑥, 6, 5,Ｏギャングセブン, 28,勝浦正, 0.9, 62,   5,  -8,15,348.7,③③②, 6, 4,Ｋスペシャルギフト, 63,戸崎圭, 0.6, 66,*  2,   6, 6,  9.0, ③③, 6, 4,Ｉアポロスタｰズ, 65,勝浦正, 0.3, 71,   0,   6, 9, 26.5, ⑦⑦
 7, 4,Ｃファビン, 56,横山和, 1.1, 50, -15,   1, 7, 21.8, ⑨⑧, 7, 1,Ｌニシノカザブエ, 46,江田照, 1.3, 60,   4,  -6,11,126.6,⑧⑧⑪, 7, 6,Ｆタマモネイヴィｰ, 68,後藤浩, 0.6, 65,  -1,   9,10, 44.6, ⑨⑨, 7,10,Ｅニシケンモノノフ, 70,国分恭, 0.4, 69,   0,   6,10, 49.3, ⑨⑨
 8, 7,Ｎアウラグリｰン, 32,丸山元, 1.3, 49, -11,  -4,13,235.3, ②③, 8, 4,Ｍメガオパｰルカフェ, 44,四位洋, 1.5, 55,   2,  -9, 9, 24.6,⑫⑪⑫, 8, 7,Ｍロトラトゥｰル, 61,横山典, 0.7, 66,  -3,  12,11, 51.3, ⑭⑭, 8, 7,Ｊアスコルティ, 65,後藤浩, 0.5, 67,*  6,  -5, 1,  2.6, ②③
