14年 1月18日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月18日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｇオメガベントレｰ, 45,ベリｰ,, 57,  -1,  -4, 3, 11.0, ⑥⑥, 1, 1, ロワジャルダン,---,蛯名正,, 65,*-14,* 20, 1,  3.4,①①①, 1, 9,Ｃヴィルトグラｰフ, 74,木幡初,, 73,*  1,* 12, 1,  3.6,③③④, 1, 6,Ａサクラインザスカイ, 87,後藤浩,, 80,*  9,  10, 4,  7.0, ②②
 2, 7,Ａオｰルデフィｰト, 63,三浦皇, 0.2, 56,   0,  -7, 1,  1.5, ④⑤, 2, 5, サトノアルバトロス,---,三浦皇, 0.2, 63,*-14,* 19, 2,  3.8,②②②, 2, 8,Ｂウェルウィッチア, 76,後藤浩, 0.1, 69,   0,* 13, 2,  4.6,⑥⑥⑥, 2, 1,Ｄカフェシュプリｰム, 85,柴田善, 0.1, 81,* 10,   8, 3,  6.1, ①①
 3,14,Ｆシゲルシモウサ, 46,宮崎北, 0.4, 56,*  3, -11,11, 66.3, ③③, 3,16, スタｰスパｰダ,---,松岡正, 1.5, 54,*-14,   9,14,138.4,⑤③③, 3, 4,Ｇジャｰラベンナ, 69,三浦皇, 0.3, 71,  -1,* 13, 9, 19.4,⑧⑧⑤, 3,15,Ｍアメｰジングタクト, 77,大野拓, 0.1, 82,   3,* 16, 7, 15.5, ⑨⑨
 4,12,Ｌモアアンドモア, 39,吉田豊, 0.7, 49,  -8,  -4, 9, 43.1, ⑩⑨, 4, 3, キｰプシャイニング,---,大野拓, 2.0, 51, -15,   6, 7, 12.9,⑬⑨⑦, 4,13,Ｆナスノニシキ, 69,ベリｰ, 0.6, 69,   0,  10, 4, 10.5,⑦⑨⑦, 4, 4,Ｂサウスビクトル, 85,北村宏, 0.3, 79,   7,   9, 2,  4.6, ⑤③
 5, 5,Ｅマイネルスコｰプ, 48,柴田大, 0.8, 48, -11,* -3, 5, 19.4, ⑫⑪, 5, 7, ダイワバロニス,---,北村宏, 2.2, 50, -19,  11, 3,  5.5,⑫⑬⑬, 5, 7,Ｋマイネルパイレｰツ, 65,柴田大, 0.8, 67,*  2,   4,12, 48.9,②②②, 5,16,Ｃレギス, 85,丸田恭, 0.3, 78,   2,* 15, 1,  3.8, ⑪⑩
 6, 4,Ｃヤマタケカントウ, 51,岩部純, 0.9, 48,  -3, -11, 8, 31.6, ⑦⑦, 6,10, クオｰタｰマスタｰ,---,ベリｰ, 2.2, 49, -15,   4, 4,  8.4,④⑦⑤, 6,12,Ｊリライブナカヤマ, 67,田辺裕, 0.8, 68,  -3,* 14, 8, 16.3,⑭⑭⑭, 6, 9,Ｉクロタカ, 81,松岡正, 0.5, 77,  -1,* 15, 5,  9.4, ⑭⑭
 7,13,Ｄディアキンカク, 48,内田博, 0.9, 50,*  1, -15, 4, 12.1, ②②, 7,11, グラサンギャル,---,江田照, 2.3, 49, -16,   5, 9, 32.3,⑨⑧⑥, 7, 3,Ａモンプレジｰル, 78,北村宏, 0.8, 66,*  1,   6, 3,  5.2,④④③, 7, 8,Ｇロｰブドヴルｰル, 82,柴田大, 0.5, 78,   2,  12, 6,  9.6, ⑧⑧
 8,15,Ｎイエロｰストｰン, 35,戸崎圭, 0.9, 50,*  2, -16, 2,  6.3, ①①, 8, 8, ジョイフルハニｰ,---,田辺裕, 2.9, 41,*-14,  -3, 5, 10.8,⑥④④, 8, 6,Ｅシゲルリョウケンザ, 70,江田照, 0.9, 66,*  2,   3,13, 79.4,①①①, 8,14,Ｊキクノフレヴァン, 80,吉原寛, 0.5, 78,   1,  14,12, 81.6, ⑩⑫
 9, 1,Ｉサンバデジャネイロ, 40,花田大, 1.0, 44, -19,*  3,16,249.0, ⑮⑮, 9,14, ショウナンマンボ,---,柴田善, 3.1, 42, -15,  -3, 6, 11.0,⑪⑩⑩, 9,14,Ｄアルファメｰル, 73,吉原寛, 1.2, 64,*  1,   3, 6, 12.3,⑤⑤⑧, 9, 2,Ｌレッドヴァンクｰル, 79,ブノワ, 0.5, 77,   4,  10,10, 24.4, ⑥⑥
10,10,Ｂトｰホウクロｰバｰ, 51,柴田善, 1.0, 47,  -3, -12, 7, 25.4, ⑧⑧,10,13, ボンドマティｰニ,---,吉田豊, 3.8, 37, -15, -10,16,211.0,⑦⑤⑨,10,11,Ｈホクレアポパイ, 68,吉田豊, 1.6, 66,  -2,   9,11, 28.4,⑬⑬⑬,10,12,Ｈトｰホウプリンセス, 82,嘉藤貴, 0.6, 77,   5,   8,13, 86.8, ⑦⑦
