14年10月 4日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月 4日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,古町特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｊマイネルネッツ, 43,嘉藤貴,, 54,*  0,  -1, 2,  5.0,②②②, 1, 6, タマモアルバ,,植野貴,,,,, 6, 14.6,⑩⑤⑤, 1,14,Ｈディアデルレイ, 70,吉田隼,, 72,   6,*  6, 7, 11.0, ⑧⑨, 1,10,Ｃコｰディリア, 80,石川裕,, 80,*  4,  12, 7, 18.2, ①①
 2, 5,Ａイｰデンホｰル, 64,吉田豊, 0.1, 55,* -1,  -1, 1,  3.9,④④③, 2,13, ウメジマダイオｰ,,江田勇,186.7,,,, 8, 19.0,②②②, 2,15,Ａシングンジョｰカｰ, 74,武士沢, 0.0, 74,* 13,  -9, 2,  4.6, ②②, 2, 9,Ｅレコンダイト, 77,北村宏, 0.1, 82,   1,* 18, 3,  6.2, ⑨⑪
 3, 7,Ｃトｰセンアスリｰト, 52,菅原隆, 0.5, 55,  -5,*  5, 5,  9.2,⑮⑭⑫, 3,11, プロジェクトブルｰ,,山本康,186.8,,,, 3,  5.7,④③③, 3, 2,Ｋバトルジェジェジェ, 68,石川裕, 0.0, 74,   6,*  6, 4,  8.8, ⑫⑪, 3, 8,Ａピオネロ, 84,三浦皇, 0.2, 80,   0,* 16, 1,  2.5, ⑪⑩
 4,11,Ｈドリｰムダン, 47,柴山雄, 0.5, 53,  -4,*  3,11, 37.5,⑪⑪⑩, 4, 1, ミヤビリファイン,,石神深,186.9,,,, 4,  9.8,①①①, 4,11,Ｄノｰヒッタｰ, 72,勝浦正, 0.2, 73,   6,   3, 8, 15.0, ⑩⑩, 4,11,Ｂロジメジャｰ, 82,柴田善, 0.2, 77,*  3,  10, 4,  7.1, ②③
 5,12,Ｋディｰエスレイザｰ, 43,勝浦正, 0.7, 51,  -2,  -3, 6, 11.7,⑦⑥⑥, 5, 7, ドクタｰルキア,,大江原,187.0,,,, 2,  3.9,⑤④④, 5, 4,Ｊツクバアスナロ, 69,吉田豊, 0.3, 72,   7,  -1, 5,  9.5, ⑨⑧, 5,12,Ｇシルクキングリｰ, 75,松岡正, 0.3, 78,   2,  12, 6, 17.4, ⑦⑥
 6, 2,Ｄタイセイエナジｰ, 51,柴田善, 1.0, 49,  -5,   0, 8, 14.0,⑬⑫⑪, 6, 4, ジオメトリｰ,,横山義,188.2,,,,10, 63.7,⑬⑥⑥, 6, 5,Ｅノアミラクル, 72,江田照, 0.3, 71,   7,  -1,13, 79.4, ⑦⑦, 6, 1,Ｈアルトゥバン, 74,勝浦正, 0.4, 76,   1,  10,10, 34.5, ⑩⑨
 7,15,Ｇブラックブリｰズ, 49,北村宏, 1.2, 50,  -4,  -4, 9, 15.5,⑩⑩⑨, 7, 3, ニシノファブレッド,,原田和,188.6,,,, 7, 17.4,⑫⑦⑦, 7, 9,Ｃソｰドラック, 72,柴山雄, 0.4, 70,   6,   0, 6, 10.3, ⑪⑫, 7, 5,Ｄマイネルアウラｰト, 79,柴田大, 0.4, 77,   2,  11, 2,  5.0, ⑥⑤
 8, 1,Ｍビレッジトプテム, 29,柴田大, 1.2, 50,  -1,  -9,12, 54.8,⑤⑤④, 8, 5, ニシノジャブラニ,,五十嵐,189.7,,,, 1,  2.6,⑥⑧⑧, 8,16,Ｆピタゴラスコンマ, 71,伴啓太, 0.4, 70,   3,*  7,11, 71.4, ⑰⑰, 8, 2,Ｍヴァンデミエｰル, 60,嘉藤貴, 0.5, 77,  -1,* 15,11, 51.5, ⑫⑫
 9,13,Ｂゼトス, 53,横山和, 1.6, 46,  -3,  -9, 3,  6.5,⑨⑦⑦, 9, 9, イゾラベッラ,,難波剛,189.7,,,,11, 66.9,⑨⑩⑨, 9,17,Ｂキネオワｰルド, 73,戸崎圭, 0.8, 67,   2,*  5, 1,  3.5, ⑱⑱, 9, 6,Ｋイタリアンネオ, 70,石橋脩, 0.7, 71,*  3,   3, 5, 12.2, ④④
10, 9,Ｌリバティ, 39,長岡禎, 2.4, 42,  -5, -12,14,144.9,⑭⑬⑭,10, 8, リベラルアｰツ,,高野和,190.9,,,, 9, 23.5,⑪⑫⑪,10,12,Ｎドリｰムリヴァｰル, 66,原田和, 1.0, 63,   6,  -7,12, 73.2, ⑬⑭,10, 4,Ｆクリノサンタクルス, 75,柴山雄, 0.8, 70,*  3,   2, 9, 21.3, ③②
11, 4,Ｆサンインディアナ, 50,松岡正, 3.4, 34,*  0, -29, 7, 13.3,③③⑤,11, 2, スタｰファンタジア,,浜野谷,193.9,,,,13,188.3,③⑨⑩,11, 6,Ｉトウショウプライド, 69,大野拓, 1.0, 61,* 14, -25,10, 41.9, ①①,11,13,Ｊマグメル, 72,吉田豊, 1.1, 68,*  3,  -1, 8, 19.9, ⑤⑦
12, 6,Ｎミヤビリヴェｰル, 26,江田照, 4.0, 30,*  2, -38,15,179.3,①①①,12,14, クレバｰアポロ,,鈴木慶,194.4,,,, 5, 12.5,⑧⑪⑫,12, 8,Ｒジンライムデザイア, 46,木幡初, 1.2, 59,   8, -17,18,346.8, ④⑤,12, 3,Ｌノｰブルジュピタ, 69,江田照, 1.1, 69,  -1,   6,13, 86.5, ⑬⑬
13,14,Ｏステツクテンテン, 14,丸田恭, 4.6, 25,  -6, -29,13,134.0,⑫⑮⑮,13,10, メイショウドルセｰ,,中村将,199.4,,,,12,108.4,⑦⑬⑬,13, 3,Ｌアンヴェイルド, 67,三浦皇, 1.2, 61,   4,  -9, 9, 17.3, ⑯⑮,13, 7,Ｉタケルハヤテ, 74,大野拓, 1.3, 65,   2,  -1,12, 76.2, ⑧⑧
14, 8,Ｉアミフジタイカン, 45,田中勝, 4.6, 28,  -3, -35, 4,  7.3,⑥⑧⑧,14,12, クリスタルキｰ,,蓑島靖,203.6,,,,14,259.8,⑭⑭⑭,14,13,Ｏカッテ, 58,田中勝, 1.2, 60,   7, -14,15,149.7, ⑥⑥,,,,,,,,,,,,
15,10,Ｅクリノテツマン, 51,木幡初, 4.9, 26,  -4, -36,10, 23.1,⑧⑨⑬,,,,,,,,,,,,,15,10,Ｇアサクサマジック, 71,北村宏, 1.7, 55,   6, -19, 3,  7.7, ⑮⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｑコスモスパｰクル, 55,柴田大, 2.1, 51,   7, -28,16,153.6, ③④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｐスペシャルリッチ, 55,石橋脩, 2.2, 51,   3, -19,17,199.9, ⑭⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｍリアルフレア, 67,柴田善, 2.5, 47,* 10, -39,14,100.2, ⑤③,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:5),,,,,,,,,,,
単勝:500円 複勝:03=190円 05=150円 07=210円 枠連:640円,,,,,,,,,,,,"単勝:1,460円 複勝:06=350円 13=460円 11=190円 枠連:990円",,,,,,,,,,,,"単勝:1,100円 複勝:14=320円 15=190円 02=270円 枠連:2,960円",,,,,,,,,,,,"単勝:1,820円 複勝:10=430円 09=180円 08=130円 枠連:630円",,,,,,,,,,,
馬連:980円 ワイド:03-05=450円 03-07=950円 05-07=540円,,,,,,,,,,,,"馬連:9,480円 ワイド:06-13=2,580円 06-11=1,150円 11-13=1,440円",,,,,,,,,,,,"馬連:3,030円 ワイド:14-15=1,080円 02-14=1,670円 02-15=910円",,,,,,,,,,,,"馬連:6,850円 ワイド:09-10=2,000円 08-10=980円 08-09=330円",,,,,,,,,,,
"馬単:2,110円 3連複:2,760円 3連単:12,580円",,,,,,,,,,,,"馬単:18,520円 3連複:14,200円 3連単:130,280円",,,,,,,,,,,,"馬単:7,010円 3連複:10,180円 3連単:70,440円",,,,,,,,,,,,"馬単:13,350円 3連複:4,700円 3連単:45,750円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,秋風ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａウィズアットレｰス, 69,原田和,, 68,*  8,   1, 4, 11.0, ①①, 1, 6, ナンヨｰテンプル,---,柴田善,, 56,  -7,* -3, 6, 14.3,③⑤⑤, 1,11,Ａブルｰボサノヴァ, 76,丸田恭,, 71,   8,*  7, 6, 12.7,⑫⑪⑩, 1,13,Ｄマイネルメリエンダ, 80,柴田大,, 85,* 18,  -2, 1,  3.0, ③④
