14年 4月13日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月13日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2750m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花見山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｍストロングバルドル, 51,木幡初,, 62,  -6,*  9, 5, 13.3,⑥⑥⑥, 1, 1, ニジノハヤテ,,小坂忠,,,,, 6, 13.1,③③④, 1, 6,Ａアドマイヤキュｰト, 74,丸山元,, 71,*  7,*  4, 2,  2.7,⑨④④, 1, 9,Ａマンハッタンコｰド, 76,北村友,, 71,   1,* 13, 1,  2.5,⑩④⑤
 2,11,Ｃヴェアリアスサマｰ, 59,三浦皇, 0.1, 58,* -5,   6, 6, 13.4,③③③, 2, 5, タマモダイナミック,,林満明,183.3,,,, 8, 18.0,⑦⑤⑤, 2,15,Ｊダイワプロシｰド, 65,川須栄, 0.4, 70,*  6,   0, 5, 14.6,⑦③③, 2,13,Ｉヒシラストガイ, 67,柴田善, 0.5, 66,*  2,   7, 9, 33.7,⑤③②
 3, 8,Ｂジャックポット, 63,柴山雄, 0.3, 58,  -7,   8, 4,  6.2,⑤⑤⑤, 3, 7, メイショウタｰビン,,難波剛,183.6,,,, 3,  7.3,①①①, 3, 2,Ｄグレｰトエンジェル, 69,高倉稜, 0.4, 69,   4,*  6, 6, 20.8,⑪⑭⑫, 3,11,Ｃブリスコｰラ, 75,柴山雄, 0.5, 67,   0,* 10, 6, 14.8,⑪⑧⑦
 4, 2,Ｇエイユｰビリオネア, 58,川須栄, 0.4, 62,  -9,* 11, 8, 20.8,⑬⑫⑪, 4,10, ディｰプスノｰ,,江田勇,183.7,,,, 4,  7.6,②②②, 4,12,Ｆヤマガｰル, 68,柴山雄, 0.5, 67,   3,*  6, 9, 34.1,⑭⑮⑭, 4, 4,Ｂピグマリオン, 75,菱田裕, 0.7, 65,   1,   8, 2,  4.1,③⑤④
 5, 5,Ｄベストガｰディアン, 59,北村友, 0.5, 57,  -7,   6, 3,  5.6,⑪⑪⑨, 5, 9, オベレック,,高野和,184.1,,,,13, 89.8,④④③, 5,10,Ｅシナｰラ, 69,田中健, 0.9, 66,   5,   0, 7, 23.0,⑫⑩⑦, 5,10,Ｄレオネプチュｰン, 73,岩部純, 0.7, 67,   1,   8, 4,  9.5,⑦⑦⑥
 6, 4,Ｋエスケイキング, 53,丸山元, 0.5, 56,* -5,   3,10, 24.6,②②②, 6, 2, ポピュラｰストック,,浜野谷,184.4,,,, 5, 10.3,⑧⑥⑥, 6,11,Ｏメイショウブリエ, 62,松若風, 1.3, 62,*  7,  -8,13, 61.8,②②②, 6, 7,Ｈハｰストイｰグル, 67,勝浦正, 1.0, 63,   1,   5, 5, 11.6,④⑥⑧
 7,10,Ｊセフティｰエムアイ, 54,大下智, 0.6, 57,  -8,   7, 7, 18.4,⑧⑧⑦, 7,12, レッドキングダム,,西谷誠,185.2,,,, 2,  6.4,⑥⑦⑦, 7, 1,Ｌナンヨｰノキョｰ, 64,嶋田純, 1.4, 61,   5,  -4,10, 50.1,⑬⑪⑨, 7, 5,Ｇナリタタイフｰン, 68,川須栄, 1.0, 65,*  2,   2, 7, 18.1,①①①
 8, 3,Ａメイショウトキムネ, 64,古川吉, 0.9, 55,  -6,   2, 2,  3.9,④④④, 8, 8, コスモカンタｰビレ,,草野太,185.9,,,,10, 29.5,⑩⑨⑨, 8,13,Ｇポロタン, 67,岩崎翼, 1.5, 59,   5,  -8, 3,  8.8,⑤⑥⑤, 8, 3,Ｅオｰバｰヘッド, 72,藤岡康, 1.1, 65,  -3,* 10,10, 60.5,⑫⑬⑪
