14年 3月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  ダ1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昇竜ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16, アイムユアドリｰム,---,松若風,, 60,*  9,  -6, 2,  5.8, ②②, 1, 1, ラッキｰバニラ,,浜野谷,,,,, 2,  2.6,①①①, 1, 1,Ａコリンブレッセ, 76,シュタ,, 74,*  9,*  2, 1,  2.1, ③③, 1,12,Ａコｰリンベリｰ, 79,松山弘,, 77,*  4,  11, 9, 15.0, ①①
 2,15,Ｇデルマアラレチャン, 46,長岡禎, 0.0, 57,   2,*  1, 6, 17.4, ⑦⑥, 2, 3, キｰプトライン,,横山義,201.3,,,, 9, 33.7,④④④, 2, 6,Ｂクロスカップリング, 74,中舘英, 0.6, 70,   4,*  4, 3,  6.1, ⑭⑪, 2, 4,Ｆナンチンノン, 73,中舘英, 0.4, 75,*  3,   9,12, 47.9, ②②
 3,12,Ａデルマノママナノダ, 67,田辺裕, 0.3, 54,   3,  -2, 1,  2.2, ⑤⑤, 3,10, エイブルブラッド,,五十嵐,201.5,,,, 7, 30.6,⑦⑥⑥, 3,12,Ｊトウカイビジョン, 68,藤岡佑, 0.8, 66,   4,*  2, 4, 13.7, ⑬⑭, 3,11,Ｋロｰブデソワ, 67,シュタ, 0.4, 74,   0,  13, 6, 11.6, ⑤⑥
 4, 4,Ｉショウナンバクフウ, 44,勝浦正, 0.7, 50,  -1,  -2, 5, 11.4, ⑧⑦, 4, 8, ディｰプスノｰ,,江田勇,201.7,,,, 3,  7.7,③③③, 4, 8,Ｄクレバｰカイオウ, 72,田辺裕, 1.0, 65,   6,  -2, 2,  5.5, ⑪⑨, 4, 5,Ｉベストルｰラｰ, 70,藤岡佑, 0.4, 75,  -6,* 21,10, 19.5, ⑬⑬
 5, 1,Ｂファｰビヨンド, 62,藤岡佑, 0.9, 50,   3,  -7, 3,  6.4, ④③, 5,14, メイショウムシャ,,森一馬,201.7,,,, 1,  2.3,②②②, 5, 5,Ｅビットプレスト, 72,石神深, 1.0, 65,   6,  -2,13, 55.7, ⑩⑩, 5, 1,Ｂモリトビャクミ, 78,武士沢, 0.6, 73,  -4,* 17, 5,  9.8, ⑪⑪
 6, 6, ロングリベラ,---,国分優, 0.9, 45, -10,*  5,11, 53.2, ⑬⑬, 6, 2, ショウナンワヒネ,,難波剛,203.1,,,,10, 48.7,⑧⑧⑧, 6,11,Ｇコスモイルダｰナ, 70,丹内祐, 1.1, 65,   9,  -7,15,115.3, ⑥⑤, 6, 3,Ｊメイショウオセアン, 68,太宰啓, 0.7, 73,  -1,  11, 2,  4.1, ⑥⑤
 7, 8,Ｃティアップシンガｰ, 61,黛弘人, 1.0, 51,*  8, -13, 4,  8.2, ①①, 7, 9, スリｰマｰゴｰン,,白浜雄,203.9,,,, 8, 31.6,⑩⑨⑨, 7, 7,Ｋバルザック, 67,北村友, 1.2, 64,   4,   1,11, 41.8, ⑮⑮, 7,10,Ｍエルカミｰノレアル, 61,丸山元, 0.7, 71,   1,   9,11, 38.0, ④④
 8,11,Ｋパステルピンク, 24,松田大, 1.1, 46,   1,  -8, 7, 17.6, ⑥⑧, 8, 4, マイティｰアゲン,,草野太,204.2,,,, 5, 20.7,⑫⑪⑪, 8, 2,Ｉソロデビュｰ, 69,松若風, 1.3, 62,   5,  -4,10, 36.8, ⑫⑬, 8, 2,Ｌトウケイタイガｰ, 66,吉田隼, 0.8, 72,*  3,   7,13, 68.7, ③③
