14年 4月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月26日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｳｲﾝｽﾞ新宿ﾘﾆｭｰｱﾙｵｰﾌﾟﾝ記念,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｇオクリモノ, 56,柴田大,, 60,  -7,   3, 7,  9.5, ⑤④, 1,14,Ａレッドシェリｰル, 64,北村宏,, 64,*  0,* -4, 1,  2.1,⑥⑥⑦, 1, 4,Ｂブルｰイングリｰン, 75,三浦皇,, 67,   6,   1, 2,  5.5, ④④, 1, 2,Ｂカチュｰシャ, 85,三浦皇,, 83,*  4,* 16, 5,  6.7, ①①
 2, 8,Ｂデルマアラレチャン, 62,長岡禎, 0.0, 60,  -8,*  5, 1,  3.4, ⑦⑧, 2, 4,Ｇエリｰフェアリｰ, 56,内田博, 0.2, 63,  -2,* -4, 4, 10.1,⑧⑧⑨, 2,11,Ｌパトロクロス, 66,内田博, 0.1, 68,   3,   5, 5, 13.1, ⑧⑦, 2, 1,Ｃコスタアレグレ, 84,シュタ, 0.4, 81,   2,* 16, 6,  9.2, ③③
 3, 1,Ｆコｰトリｰラッシュ, 56,蛯名正, 0.1, 58,* -4,  -1, 3,  6.8, ①①, 3, 2,Ｅプロレタリアト, 59,長岡禎, 0.3, 62,  -3,* -3, 3,  9.9,⑪⑩⑩, 3, 3,Ｈナムラケイオス, 68,田中勝, 0.2, 65,   4,   1, 4,  6.3, ⑥⑥, 3, 5,Ｄデザｰトオアシス, 83,松岡正, 0.7, 78,*  3,  10, 1,  4.5, ②②
 4, 2,Ｄシゲルイシカリ, 60,シュタ, 0.2, 58,* -4,   0, 4,  7.7, ②②, 4,12,Ｊコスモハルカチャン, 49,松岡正, 0.6, 58,*  0, -13,15,219.4,②④④, 4, 5,Ｃハルズハッピｰ, 74,蛯名正, 0.2, 65,*  8,  -4, 1,  3.5, ②②, 4, 8,Ａパワｰスポット, 85,横山典, 0.9, 77,  -3,* 18, 3,  5.9, ⑫⑪
 5, 6,Ａヒラリアス, 63,田辺裕, 0.3, 56,  -7,   1, 2,  4.9, ⑥⑤, 5,10,Ｈイデアオブクィｰン, 55,杉原誠, 0.7, 61,   0, -10,12,107.1,⑦⑨⑧, 5, 1,Ａウォｰスピリッツ, 76,北村宏, 0.3, 65,*  9,  -5, 3,  5.8, ①①, 5,11,Ｊマラネロ, 80,北村宏, 1.0, 75,*  2,   9, 4,  6.5, ④④
 6, 9,Ｃヒメスズラン, 60,三浦皇, 0.3, 56,* -5,  -2, 5,  7.9, ④③, 6,16,Ｑトゥルｰモｰション, 42,田辺裕, 0.8, 54,*  1, -21, 7, 33.8,①①①, 6, 6,Ｇザショットアロｰ, 68,大庭和, 0.3, 66,  -2,*  8,12, 35.5, ⑪⑪, 6, 7,Ｋコウセイコタロウ, 80,柴田大, 1.1, 77,  -2,  14, 7, 10.3, ⑩⑩
 7,11,Ｈマイカイ, 55,原田和, 0.5, 55,  -8,   1,13,132.1, ⑫⑦, 7,13,Ｉデュエット, 52,村田一, 0.8, 57,*  0, -16,10, 60.0,⑤⑦⑤, 7, 9,Ｆクレバｰカイオウ, 69,田辺裕, 0.5, 64,  -6,* 13, 6, 15.5, ⑮⑯, 7, 6,Ｍスズヨストラ, 76,杉原誠, 1.2, 75,   1,  11, 8, 14.8, ⑥⑥
 8,10,Ｅツリｰチャイム, 59,北村宏, 0.6, 54,  -9,   1, 8, 19.2, ⑩⑩, 8,18,Ｃアンジュドボヌｰル, 59,シュタ, 0.8, 54,*  1, -21, 6, 30.3,④②②, 8, 2,Ｋヘイハチスカイ, 67,松岡正, 0.6, 63,   6,  -5, 9, 20.2, ③③, 8, 9,Ｉディアセルヴィス, 81,武士沢, 1.2, 75,   1,  11,12,114.6, ⑦⑦
