14年 6月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 6月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国分寺特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｍスズカプリティｰ, 42,村田一,, 57,*  4, -14,12,117.5, ③③, 1, 7,Ｄヨッヘイ, 63,大野拓,, 65,*  5, -14, 2,  4.7,④③③, 1,12,Ａエルマンボ, 84,石橋脩,, 79,   7,* 15, 1,  1.4,⑤⑤⑤, 1, 5,Ｄマンボネフュｰ, 74,蛯名正,, 77,   6,*  1, 1,  3.4, ⑫⑫
 2, 5,Ｈショウナンララバイ, 52,柴田善, 0.1, 53,  -5,* -3, 8, 37.3, ⑩⑪, 2, 8,Ｆディｰプラヴ, 58,蛯名正, 0.1, 65,   2,*-10, 1,  3.2,⑪⑩⑩, 2, 6,Ｃワｰルドレｰヴ, 78,蛯名正, 0.1, 80,   6,* 17, 3, 10.4,⑦⑥⑥, 2, 6,Ｌシングンジョｰカｰ, 67,武士沢, 0.2, 76,* 10,  -9, 5,  8.6, ②③
 3,15,Ａハビタブルゾｰン, 63,吉田豊, 0.1, 55,   3, -12, 2,  4.1, ⑥⑥, 3,12,Ｃカワキタアロｰ, 64,原田和, 0.1, 65,   3,* -9, 9, 31.1,⑫⑪⑪, 3, 5,Ｅヴィルトグラｰフ, 74,横山和, 0.4, 76,*  8,   9, 4, 10.7,②②②, 3, 7,Ａサクラディソｰル, 75,北村宏, 0.3, 74,   7,* -5, 4,  8.3, ⑨⑨
 4, 4,Ｂダイワナッティｰ, 62,柴田大, 0.2, 55,*  5, -17, 1,  2.6, ①①, 4,15,Ｋサンアンドムｰン, 53,石川裕, 0.4, 63,   2,* -9,12, 68.2,⑭⑭⑬, 4, 4,Ｇスリｰヨｰク, 73,長岡禎, 1.0, 73,   7,   6,11, 60.5,③④④, 4, 2,Ｂユキノアイオロス, 75,吉田隼, 0.3, 72,   6,* -4,13, 71.6, ⑭⑧
 5,10,Ｃオｰドヴィ, 62,蛯名正, 0.2, 54,   3, -14, 3,  4.3, ④④, 5,16,Ｈダンディスタイル, 56,宮崎北, 0.7, 59,*  5, -22,16,120.5,⑤④⑤, 5, 9,Ｈオリオンザムｰン, 72,吉田豊, 1.0, 75,   4,  13, 8, 36.5,⑪⑪⑧, 5,11,Ｅコスモエルデスト, 74,柴田大, 0.5, 74,* 12, -14, 2,  4.1, ③②
 6,14,Ｊインパルスガｰル, 50,伴啓太, 0.2, 52,  -5,  -4,14,213.8, ⑭⑫, 6,13,Ｎヒロソｰラｰ, 50,武士沢, 0.7, 61,  -1,*-10, 8, 17.2,⑱⑰⑯, 6,13,Ｉデルマカマイタチ, 71,井上敏, 1.5, 72,   4,  10,12,105.0,⑨⑧⑩, 6, 9,Ｋシンボリディスコ, 68,田中勝, 0.7, 69,   8, -11, 8, 20.4, ⑤⑥
 7,11,Ｐガスタｰ, 26,二本柳, 0.3, 52,  -6,* -2,11, 99.3, ⑬⑭, 7, 9,Ｂレテルノアモｰレ, 64,横山典, 1.2, 52,   3, -25, 3,  5.4,⑥⑨⑨, 7, 2,Ｋカレンシュガｰレイ, 69,田辺裕, 1.9, 68,   6,   3, 7, 24.4,⑥⑦⑦, 7, 4,Ｏラインミｰティア, 64,勝浦正, 1.0, 67,   8, -15,15, 75.8, ⑧⑤
 8,13,Ｆシゲルイシカリ, 58,北村宏, 0.3, 52,  -9,*  2, 4, 12.1, ⑮⑮, 8,14,Ｅコスモヨウヘイ, 62,柴田大, 1.3, 54,   0, -21, 5, 11.9,⑯⑮⑮, 8,10,Ｆウェルウィッチア, 73,北村宏, 2.1, 66,*  8,  -5, 6, 17.3,④③③, 8,16,Ｇカケダシ, 70,田辺裕, 1.3, 61,   1,  -9,12, 65.1, ⑱⑱
