14年 7月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 4R  芝3330m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1900m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｲﾝﾃﾞｨｱﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5, グリッタｰウイング,,西谷誠,,,,, 1,  1.3,⑦②①, 1, 7, アムｰルクエスト,,植野貴,,,,, 4,  6.8,④⑤④, 1, 9,Ｂトｰホウスプライト, 63,福永祐,, 75,   6,*  5, 1,  1.8, ⑦⑦, 1, 6,Ｈダヴィンチバロｰズ, 79,和田竜,, 79,* 11,   5, 9, 20.6,①①①
 2, 6, リアルブラック,,林満明,199.2,,,, 2,  5.9,②③③, 2, 4, エｰシンジｰライン,,西谷誠,224.6,,,, 3,  4.4,③③③, 2, 4,Ｍメイショウエフワン, 48,太宰啓, 0.2, 73,* 10,  -3,15,117.9, ①①, 2,16,Ｅメイショウイチオシ, 81,武幸四, 0.4, 78,* 10,   4, 3,  6.4,⑥⑤⑤
 3, 9, ウインアルカディア,,熊沢重,199.5,,,, 6, 21.4,⑥⑤⑤, 3, 2, シゲルヘビザ,,田村太,225.4,,,, 7, 26.1,⑦⑥⑥, 3, 5,Ｃサトノエカテリｰナ, 58,パｰト, 0.3, 72,*  8,* -2, 3,  5.6, ③③, 3, 9,Ａゴｰルデンヒｰロｰ, 83,北村友, 0.4, 77,   9,   6, 4,  6.9,⑦⑥⑥
 4,11, グッドスピｰド,,小坂忠,199.6,,,, 3, 12.8,⑤⑥⑥, 4, 6, ニジブルｰム,,小坂忠,225.6,,,, 1,  2.5,①①①, 4,17,Ａベルリネッタ, 66,松山弘, 0.5, 69,   5,*  0, 2,  5.0, ⑨⑧, 4,11,Ｏスナｰククラウン, 71,岡田祥, 0.5, 79,   8,   6,13, 98.6,⑨⑨⑨
 5, 8, テｰオｰゼウス,,佐久間,200.4,,,, 9, 45.3,④④④, 5, 5, レッドグルｰヴァｰ,,高田潤,226.1,,,, 5,  9.8,⑤②②, 5, 8,Ｄゴｰルデンロッド, 57,浜中俊, 1.2, 60,   0,* -2, 5, 24.1, ⑬⑬, 5, 1,Ｇエアラｰテル, 79,下原理, 0.5, 78,   7,*  9, 8, 20.4,⑫⑪⑦
 6, 2, ドリｰムハヤテ,,五十嵐,202.8,,,, 4, 16.1,①①②, 6, 8, カゼカオル,,北沢伸,226.3,,,, 6, 15.1,⑥⑦⑦, 6,14,Ｅキクノユニゾン, 55,和田竜, 1.2, 63,*  9, -14, 6, 24.7, ⑤②, 6,12,Ｆタガノラルフ, 80,福永祐, 0.6, 76,   8,   6, 2,  6.1,⑩⑦④
 7, 1, シャイニｰクラウン,,中村将,206.2,,,,10, 75.0,⑨⑦⑦, 7, 1, ミヤコデラックス,,金子光,226.6,,,, 8, 73.4,⑧⑧⑧, 7,15,Ｊカネトシキフジン, 51,川島信, 1.2, 63,   3,  -5,10, 72.0, ⑫⑪, 7, 2,Ｂマノワｰル, 82,パｰト, 0.7, 75,* 10,   1, 5,  6.9,②②②
 8, 3, メイショウオオゼキ,,田村太,208.3,,,, 8, 45.0,⑪⑨⑨, 8, 3, ニライジンク,,熊沢重,229.7,,,, 2,  3.6,②④⑤, 8, 6,Ｎアｰムストロング, 45,松若風, 1.4, 59,*  8, -14,17,254.3, ④⑥, 8,14,Ｄタイセイバスタｰ, 81,幸英明, 1.1, 73,* 10,  -2, 6,  7.4,④③③
