14年 7月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 7月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,横津岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃマイネルサクセサｰ, 50,柴山雄,, 48,* -3,* -8, 3,  4.4,④③③, 1, 4,Ｇティｰポイズン, 59,藤岡康,, 68,*  7,  -1, 2,  4.2,②②②, 1, 1,Ａホッコｰアムｰル, 77,秋山真,, 71,* 10,  -2, 1,  2.8,②②②, 1,10,Ｄイントレピッド, 72,藤岡康,, 75,* 11,  -6, 4, 10.7,③⑤⑤
 2, 8,Ｂナムラオツウ, 52,古川吉, 0.1, 48,  -3,* -7, 4,  6.7,⑥⑤⑤, 2,10,Ｆマッチレスヒｰロｰ, 60,柴山雄, 0.0, 66,   6,   0, 7, 12.2,⑤④④, 2, 4,Ｆサクラテイオｰ, 69,藤岡康, 0.4, 70,   7,*  1,10, 57.7,⑦⑥⑥, 2,12,Ｇスマッシュスマイル, 71,勝浦正, 0.2, 73,  10,  -6, 9, 21.1,⑧⑦⑧
 3,12,Ｅジャジャンケン, 46,丸田恭, 0.1, 44,* -2, -14, 5,  7.1,①①①, 3, 1,Ｅホッコｰゴウケン, 60,勝浦正, 0.1, 67,   6,   0, 6, 11.4,④③③, 3, 3,Ｌディアポジション, 61,勝浦正, 0.4, 68,   9,  -2, 4,  7.5,④⑤③, 3, 4,Ａマンノアクトレス, 77,秋山真, 0.2, 73,  10,  -7, 7, 12.8,⑥⑧④
 4,10,Ａマイネルポルトゥス, 52,丹内祐, 0.5, 43,* -3, -16, 1,  3.2,②②②, 4, 6,Ｂマイフリヴァ, 63,ロｰウ, 0.6, 63,*  9,  -9, 5,  9.4,①①①, 4, 2,Ｊアイアムナチュラル, 66,藤田伸, 0.5, 70,   6,*  1, 8, 19.0,⑨⑦⑦, 4, 7,Ｃアルティメイタム, 73,岩田康, 0.2, 73,   8,* -2, 2,  6.2,⑪⑪⑥
 5, 6,Ｄコスモデレガンス, 46,松岡正, 0.6, 44,  -4, -13, 6, 18.3,③④④, 5,12,Ａヘクタｰザグレｰト, 64,津村明, 0.7, 63,   5,  -4, 3,  5.3,⑦⑤⑤, 5,11,Ｂトゥヴァビエン, 75,小林徹, 1.1, 65,   4,   0, 5, 10.0,⑪⑨⑧, 5, 5,Ｈゴッドフロアｰ, 70,四位洋, 0.3, 72,  10,  -5, 5, 11.6,⑨⑫⑩
 6, 1,Ｋルミノｰソ, 34,黛弘人, 0.6, 41,  -6, -12,10, 53.6,⑤⑥⑥, 6, 2,Ｃトウショウエディタ, 63,柴田善, 0.7, 63,   1,*  4, 8, 21.3,⑫⑫⑦, 6, 5,Ｃデビルズハｰツ, 74,四位洋, 1.1, 67,   3,*  1, 3,  5.6,⑩⑪⑨, 6, 1,Ｅストｰクス, 71,横山和, 0.3, 70,* 11, -10, 3,  7.2,⑤⑥③
 7, 5,Ｌフィｰルドリアン, 25,柴田善, 0.8, 41, -11,* -4,12, 79.3,⑫⑫⑫, 7, 3,Ｈグリｰンフラッシュ, 58,小崎綾, 1.4, 59,   2,  -4, 4,  9.0,⑨⑨⑨, 7,12,Ｈサンマルヴィエント, 67,丸山元, 1.2, 65,   3,*  3,12, 98.6,⑬⑬⑩, 7, 8,Ｋテンカイチ, 68,村田一, 0.4, 73,   9,* -1,13,116.7,⑬⑬⑬
 8, 3,Ｇイシドｰルス, 40,菱田裕, 0.9, 41,  -9,  -9, 7, 23.6,⑩⑩⑪, 8, 8,Ｉアスカノゲルニカ, 54,長岡禎, 1.7, 58,   4,  -8,11,146.9,⑧⑧⑧, 8, 6,Ｅピｰスオブウィｰク, 73,小崎綾, 1.4, 62,   9, -12, 6, 10.8,⑤④⑤, 8, 6,Ｌギャングセブン, 67,田中博, 0.6, 70,  10,  -9,10, 28.5,⑩⑩⑫
