14年11月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ2100m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,晩秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａアサクサリｰダｰ, 58,吉田豊,, 59,   0,* -4, 3,  4.5, ④⑤, 1, 2, シンラバンショウ,---,大野拓,, 55,*-21,   3, 3,  5.2, ①①, 1, 6,Ｄゲマインシャフト, 71,北村宏,, 75,   3,* 12, 2,  4.1, ⑨⑨, 1, 1,Ａドコフクカゼ, 92,石橋脩,, 93,* 14,* 19, 1,  2.5,⑦⑥⑤
 2, 8,Ｄトキワ, 52,石橋脩, 0.1, 56,*  3, -10, 2,  4.1, ②②, 2, 3, シンボリゴッホ,---,江田照, 0.1, 54,*-23,   3, 4,  7.4, ②②, 2, 3,Ａキョウエイマグマ, 72,ムｰア, 0.0, 75,   1,* 13, 1,  1.9, ⑩⑩, 2,16,Ｂクラｰジュドｰル, 87,ムｰア, 0.8, 88,  14,  13, 2,  2.9,④⑤⑥
 3, 7,Ｈラッシュアタック, 46,ムｰア, 0.3, 55,  -5,*  3, 1,  2.5, ⑮⑮, 3, 9, パンデイア,---,北村宏, 0.3, 56, -28,* 11, 1,  1.8, ⑧⑨, 3,11,Ｂポｰルシッタｰ, 72,伊藤工, 0.3, 72,   0,* 14, 7, 24.6, ⑬⑬, 3,14,Ｅオリオンザジャパン, 86,勝浦正, 0.8, 88,  13,  16, 7, 23.8,⑭⑭⑫
 4, 9,Ｆマインドシフト, 49,柴田大, 0.7, 51,  -1, -10, 7, 19.6, ⑧⑨, 4, 4, フクノグロｰリア,---,藤田伸, 0.3, 52, -25,   4, 7, 33.2, ④③, 4,14,Ｌヴェルフェン, 63,江田照, 1.0, 66,   1,   5,13,149.5, ⑪⑪, 4,15,Ｈドレミファドン, 85,吉田豊, 0.8, 87,  13,  16, 6, 20.7,⑬⑬⑩
 5,17,Ｂヤマニンシャンデル, 56,国分優, 0.9, 47,   0, -17, 6, 17.2, ⑥⑥, 5, 7, シャイントラベラｰ,---,横山和, 0.4, 49, -25,   2, 8, 65.9, ③⑤, 5,13,Ｅサタンズクラウン, 71,大野拓, 1.1, 65,*  5,  -1, 3,  5.6, ④④, 5,10,Ｄギャザｰロｰジズ, 86,大野拓, 0.9, 88,  12,* 17, 8, 25.1,⑫⑮⑮
 6,12,Ｃイアペトス, 53,嘉藤貴, 0.9, 46,   0, -16, 9, 53.5, ⑨⑧, 6, 6, ポムフィリア,---,勝浦正, 0.5, 51, -26,   4, 2,  3.8, ⑥⑥, 6, 4,Ｆドリｰムジェダイ, 70,横山典, 1.1, 65,*  5,   0, 6, 19.0, ③③, 6, 9,Ｃケイジｰタイタン, 86,岩部純, 1.3, 84,* 15,   5, 4, 11.3,①①①
 7, 5,Ｐマイネルリザｰタ, 25,伊藤工, 1.0, 44,*  1, -20,14,149.8, ③③, 7, 8, モリトプリマ,---,吉田豊, 1.2, 43, -29,  -3, 6, 29.7, ⑦⑧, 7, 5,Ｃエルシェロアスｰル, 72,石川裕, 1.2, 65,   3,   1, 4, 13.3, ⑧⑧, 7, 6,Ｆサンライズスマｰト, 86,横山典, 1.5, 83,  12,  11, 3,  7.0,⑮⑫⑬
 8,14,Ｇアラビアンハｰト, 49,熊沢重, 1.0, 46,  -1, -14,16,264.7, ⑪⑩, 8, 1, エスティサプライズ,---,菅原隆, 1.2, 42, -29,  -2,10,169.6, ⑨⑦, 8,16,Ｇタイキグラミｰ, 69,勝浦正, 1.2, 64,*  6,  -2, 8, 32.3, ②②, 8,13,Ｊショウナンアポロン, 82,藤田伸, 2.0, 81,* 14,   1,11, 45.1,③③③
 9, 2,Ｋリッコデラコルト, 42,横山和, 1.1, 43,  -3, -14,11, 76.2, ⑩⑪, 9, 5, コスモセブン,---,柴田大, 1.6, 34, -25, -14, 5, 21.2, ⑤④, 9, 1,Ｋトウショウプライド, 65,川島信, 1.2, 67,  -2,   8, 5, 18.7, ⑯⑮, 9, 3,Ｌシンゼンレンジャｰ, 82,川島信, 2.2, 80,  14,   3,14,171.5,⑧⑦⑦
10, 3,Ｍトリルビｰ, 39,木幡初, 1.2, 45,  -1, -19, 5, 15.4, ⑦⑦,10,10, シゲルカンゲンサイ,---,川島信, 6.6,-16, -62, -29, 9,148.0, ⑩⑩,10, 8,Ｉトウショウアミラル, 65,木幡初, 1.4, 65,  -4,   8,16,318.6, ⑮⑯,10, 7,Ｇナリタポセイドン, 86,国分優, 2.4, 78,  13,   3,10, 43.4,⑩⑩⑭
11,11,Ｏバリュｰプラン, 27,勝浦正, 1.3, 43,  -4, -16,13,136.8, ⑭⑬,,,,,,,,,,,,,11, 9,Ｈオｰルデフィｰト, 65,嘉藤貴, 1.4, 62,   4,  -2,15,216.9, ⑤⑤,11, 2,Ｍダノンミル, 82,北村宏, 2.4, 79,* 15,  -1, 5, 19.6,⑤④④
12,10,Ｅカラッカゼ, 52,石川裕, 1.3, 41,*  4, -30, 4,  9.9, ①①,,,,,,,,,,,,,12, 7,Ｎアルファメｰル, 57,岡田祥, 1.4, 65,  -1,   4,14,179.9, ⑫⑫,12,11,Ｋグレイレジェンド, 82,木幡初, 2.7, 77,  13,  -1,16,302.0,⑪⑪⑪
13,16,Ｌレオクイック, 40,江田照, 1.7, 38,  -4, -21,10, 62.6, ⑫⑭,,,,,,,,,,,,,13,15,Ｊキｰコレクション, 65,石橋脩, 2.3, 56,   4, -10,12, 93.9, ⑥⑥,13,12,Ｐディルガ, 67,熊沢重, 2.8, 77,  14,  -3, 9, 39.5,⑨⑨⑨
14,13,Ｉアドラビリティ, 45,北村宏, 1.8, 38, -10, -13, 8, 25.9, ⑯⑯,,,,,,,,,,,,,14,10,Ｏショウナンバクフウ, 56,熊沢重, 2.4, 57,*  7, -14, 9, 58.1, ①①,14, 8,Ｏレジアｰネ, 76,的場勇, 2.9, 76,  14,  -3,13,154.6,⑥⑧⑧
15, 4,Ｎラマハデスヌｰダ, 33,二本柳, 2.1, 37,  -4, -26,17,322.8, ⑬⑫,,,,,,,,,,,,,15,12,Ｍカシノワルツ, 63,二本柳, 2.7, 54,  -2,  -6,11, 88.2, ⑭⑭,15, 4,Ｎレックスパレｰド, 80,杉原誠, 3.0, 73,* 14,  -8,15,223.1,②②②
16,15,Ｊランバイワイルド, 44,大庭和, 2.4, 30,*  2, -40,12,128.8, ⑤④,,,,,,,,,,,,,16, 2,Ｐウインイルソｰレ, 54,柴田大, 2.7, 54,   3, -12,10, 67.4, ⑦⑦,,,,,,,,,,,,
17, 1,Ｑウインディバイン, 10,大野拓, 4.2, 15, -12, -42,15,201.6, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,
単勝:450円 複勝:06=140円 08=130円 07=110円 枠連:410円,,,,,,,,,,,,"単勝:520円 複勝:02=150円 03=150円 09=110円 枠連:1,390円",,,,,,,,,,,,単勝:410円 複勝:06=140円 03=110円 11=290円 枠連:280円,,,,,,,,,,,,単勝:250円 複勝:01=130円 16=120円 14=340円 枠連:310円,,,,,,,,,,,
馬連:840円 ワイド:06-08=300円 06-07=270円 07-08=210円,,,,,,,,,,,,"馬連:1,390円 ワイド:02-03=430円 02-09=240円 03-09=290円",,,,,,,,,,,,馬連:410円 ワイド:03-06=220円 06-11=870円 03-11=620円,,,,,,,,,,,,馬連:360円 ワイド:01-16=190円 01-14=760円 14-16=750円,,,,,,,,,,,
