14年11月 2日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 2日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,長岡京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆナムラカモン, 46,太宰啓,, 53,  -5,* -1, 6, 35.2, ⑨⑦, 1, 8, スマｰトアヴァロン,---,酒井学,, 62,  -9,*  7, 3,  5.5, ③③, 1, 9,Ｄヴィッセン, 73,松山弘,, 76,*  8,   6, 6, 14.2,⑩②②, 1, 6,Ｉベルルミエｰル, 75,川島信,, 84,  22,  -1, 2,  3.6, ④④
 2, 7,Ｉシゲルゴホウサイ, 40,幸英明, 0.3, 53,   1,  -8,10, 80.3, ④④, 2,10, ナムラスタｰ,---,小牧太, 0.3, 61,* -8,   3, 4,  8.7, ②②, 2, 3,Ｃヨヨギマック, 76,酒井学, 0.2, 75,   6,   9, 1,  3.5,④⑥⑥, 2, 1,Ｂシルクドリｰマｰ, 85,北村友, 0.0, 81,  16,*  8, 4,  8.7, ⑪⑩
 3, 1,Ｎオレンジピｰクス, 27,藤岡康, 0.4, 51,*  2, -12, 4, 14.5, ①①, 3,11, ダイシンカレラ,---,北村友, 0.6, 57, -15,*  7, 7, 14.8, ⑦⑦, 3, 4,Ａヤマカツポセイドン, 79,北村友, 0.2, 77,   3,* 15, 4,  6.8,⑪⑪⑪, 3, 4,Ａオｰスミナイン, 86,幸英明, 0.1, 80,  17,   5, 1,  2.8, ⑧⑧
 4, 2,Ａモントルルシュマン, 60,和田竜, 0.4, 52,*  1, -10, 2,  4.2, ②②, 4, 3, ネイバルエンスン,---,国分恭, 0.8, 56, -16,*  7, 8, 19.1, ⑧⑧, 4,10,Ｉスワｰヴカイザｰ, 69,小牧太, 0.5, 74,*  8,   1, 3,  4.7,②①①, 4, 3,Ｃロンド, 82,藤岡佑, 0.2, 78,  16,   5, 8, 29.7, ⑨⑪
 5,11,Ｈトミケンモヴェｰル, 43,川島信, 0.6, 47,  -9,* -2,12,175.8, ⑫⑫, 5, 7, ダイヤモンドハｰト,---,幸英明, 1.2, 52,* -8,  -6, 1,  2.1, ①①, 5,12,Ｇナムライットウセイ, 70,藤岡佑, 0.8, 69,   8,   0,11, 58.4,⑧④④, 5,13,Ｆヤマノレオ, 77,松山弘, 0.3, 80,  21,  -3, 7, 25.2, ⑤⑥
 6, 9,Ｊセイセイセイ, 38,酒井学, 0.7, 45, -13,*  1,13,194.0, ⑭⑬, 6, 4, シｰトライアル,---,和田竜, 1.4, 51, -20,   5, 5, 13.0, ⑩⑩, 6, 6,Ｂトウケイウイン, 77,川島信, 0.8, 75,   4,   9, 2,  4.0,⑦⑩⑩, 6, 7,Ｋリヴェレンテ, 75,和田竜, 0.3, 77,  15,   5, 3,  7.5, ⑫⑫
 7,12,Ｋダシヌケ, 36,武幸四, 1.1, 44,  -3, -13, 5, 16.3, ⑤⑤, 7, 5, ウエスタンラムｰル,---,義英真, 1.7, 46, -10,  -7, 6, 14.4, ④④, 7, 5,Ｅヤマノボンバｰ, 72,義英真, 1.0, 70,   2,  10,10, 46.4,⑫⑫⑫, 7,12,Ｄマコトナワラタナ, 80,国分優, 0.4, 77,  17,   2, 6, 11.7, ⑩⑨
 8, 6,Ｍロｰズウィップ, 32,森一馬, 1.2, 40, -13,  -3,14,251.1, ⑬⑭, 8, 2, スズカレグルス,---,竹之下, 1.8, 46, -11,  -7,10, 96.2, ⑤⑤, 8, 8,Ｋケルンウィナｰ, 63,川須栄, 1.6, 66,*  8,  -8, 7, 15.2,③③③, 8, 2,Ｍマイネボヌｰル, 74,柴田未, 0.4, 77,  18,  -1,11, 49.4, ⑦⑦
