14年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａクリノヤクマン, 39,熊沢重,, 60,* -1,* -9, 2,  3.9, ②②, 1, 7, ラインレグルス,,森一馬,,,,, 1,  3.5,②②②, 1, 9,Ｄミキノグランプリ, 65,和田竜,, 70,*  0,*  6, 4,  7.5, ③③, 1,16,Ｄブルｰチッパｰ, 79,幸英明,, 82,* 13,   9, 2,  5.8,①①①
 2, 6,Ｄテイエムヤンチャボ, 35,岩崎翼, 0.4, 55,*  1, -15, 3,  5.5, ①①, 2, 6, ダイワデッセｰ,,高田潤,191.9,,,, 2,  4.0,④③③, 2,10,Ｂショウナンランパダ, 71,浜中俊, 0.2, 68,*  0,*  3, 1,  3.6, ②②, 2, 8,Ｍマルカファイン, 69,高倉稜, 0.2, 81,* 12,   9, 8, 62.4,②②②
 3, 1,Ｃヨカオゴジョ, 36,幸英明, 1.0, 44,  -7, -15, 6, 10.9, ④④, 3, 1, ドリｰムハヤテ,,熊沢重,192.0,,,, 3,  5.0,①①①, 3, 2,Ｅギャラクシｰエクス, 64,松若風, 0.4, 66,*  2,   0, 3,  4.9, ①①, 3,13,Ａグレナディアｰズ, 86,北村友, 0.2, 80,   8,* 16, 1,  1.6,⑦⑥⑥
 4, 7,Ｆホウザンキック, 28,小坂忠, 1.2, 39, -17,* -9, 5,  9.0, ⑩⑧, 4,12, テｰオｰゼウス,,佐久間,192.5,,,, 4,  6.2,③④④, 4, 4,Ｇヴォランテ, 58,高田潤, 1.0, 58, -11,*  3,10, 69.4, ⑩⑧, 4, 2,Ｃタガノラルフ, 79,川田将, 0.8, 77,   7,* 12, 4, 10.1,⑩⑧⑦
 5,12,Ｅカシノフレンジｰ, 28,鮫島良, 1.3, 39, -12, -16, 4,  7.2, ⑦⑤, 5, 5, タマモアルバ,,植野貴,195.3,,,, 7, 22.2,⑥⑥⑥, 5, 1,Ｃメイショウサンキチ, 70,酒井学, 1.0, 57,  -6,   0, 7, 11.5, ⑤④, 5, 6,Ｐグランフィデリオ, 65,岩崎翼, 0.9, 75,  10,   7, 9, 94.0,③④④
 6, 9,Ｂキリシマツバサ, 38,小牧太, 1.7, 35,  -4, -27, 1,  2.7, ③③, 6, 8, フルアヘッド,,平沢健,195.5,,,, 6, 16.5,⑤⑤⑤, 6, 6,Ｈビリｰバロｰズ, 54,松山弘, 1.1, 57,  -9,   1, 8, 19.3, ⑧⑨, 6,15,Ｅミヤジマッキｰ, 77,浜中俊, 0.9, 76,  10,   7, 5, 11.7,⑤⑤⑤
 7, 5,Ｊカシノタンバリン, 24,松若風, 1.8, 32, -11, -22, 9, 53.2, ⑤⑥, 7, 9, キュウシュウソダチ,,田村太,197.1,,,, 8, 26.6,⑧⑧⑧, 7, 3,Ａエンプレスペスカ, 73,義英真, 1.1, 56,  -8,   0, 2,  4.5, ⑥⑤, 7, 9,Ｈサカジロスイセイ, 75,国分優, 1.3, 71,* 11,   1, 7, 30.0,④③③
 8, 4,Ｇコウザンキサス, 26,義英真, 1.9, 30, -18, -17, 8, 42.5, ⑨⑩, 8, 2, ニイハオジュウクン,,西谷誠,197.9,,,, 9, 32.7,⑪⑨⑨, 8,11,Ｊアスタｰクレバｰ, 50,幸英明, 1.2, 57,  -9,   0, 5,  8.8, ⑨⑦, 8,10,Ｉメイショウオトコギ, 73,武幸四, 1.4, 74,   7,   7,15,232.8,⑧⑦⑧
