14年11月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,京洛ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12, 4, デンタルキュｰティ,---,太宰啓, 1.0, 38, -17, -14,13,118.7, ⑥⑥,12,15,Ｍピクニックソング, 62,小坂忠, 1.7, 65,* 15, -17,16,382.5, ③③,12,14,Ｑメイショウデイム, 74,小林徹, 1.1, 78,   7,   3,17,240.8, ⑥⑥
,,,,,,,,,,,,13,16, クインズメモリア,---,北村友, 1.2, 40, -20, -10, 8, 20.6, ⑪⑪,13,14,Ｊステｰキ, 71,福永祐, 2.3, 53,   0,  -8, 5, 14.0, ⑭⑭,13,17,Ｊバｰバラ, 80,武豊  , 1.2, 77,   3,   6, 5, 15.7, ⑩⑫
,,,,,,,,,,,,14,15, シャインバルキリｰ,---,藤岡佑, 1.2, 37, -18, -14,15,127.4, ⑧⑨,14,13,Ｐヴェルメンティｰノ, 58,秋山真, 2.4, 53, -17,*  8,15,356.9, ⑯⑯,14,15,Ｐメイショウスザンナ, 74,武幸四, 1.3, 77,   1,   7,14, 65.4, ⑬⑬
,,,,,,,,,,,,15, 5, ドラゴンラヴ,---,和田竜, 1.3, 34,*-14, -23,11, 58.1, ①①,15,10,Ｉメジャｰスタイル, 71,川田将, 2.6, 54,   9, -19, 6, 17.8, ⑦⑥,15, 5,Ｏメモリアルイヤｰ, 74,酒井学, 1.4, 75,* 16, -10,15, 95.5, ③④
,,,,,,,,,,,,16,12, シャイニｰパンサｰ,---,国分優, 1.8, 34, -27,  -9,12, 77.7, ⑮⑰,16,11,Ｋオリエンタルリリｰ, 66,小牧太, 4.4, 39, -12, -15, 8, 24.3, ⑮⑮,16, 6,Ｇカイシュウコロンボ, 82,川島信, 1.4, 76,  -2,   8,10, 25.9, ⑮⑭
,,,,,,,,,,,,17,11, サイダｰパンチ,---,幸英明, 1.9, 34, -26, -10,17,183.4, ⑱⑱,,,,,,,,,,,,,17, 7,Ｎトキノゲンジ, 76,義英真, 1.4, 75,  -6,  12,16,138.5, ⑰⑰
,,,,,,,,,,,,18,10, ファｰマアイス,---,川須栄, 2.8, 17, -21, -32,14,126.5, ⑩⑭,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
単勝:310円 複勝:01=120円 02=150円 11=120円 枠連:900円,,,,,,,,,,,,"単勝:1,080円 複勝:03=230円 14=160円 13=150円 枠連:1,100円",,,,,,,,,,,,"単勝:860円 複勝:16=240円 05=620円 12=130円 枠連:10,350円",,,,,,,,,,,,"単勝:700円 複勝:09=340円 04=740円 02=530円 枠連:2,600円",,,,,,,,,,,
馬連:880円 ワイド:01-02=270円 01-11=170円 02-11=320円,,,,,,,,,,,,"馬連:2,720円 ワイド:03-14=990円 03-13=800円 13-14=300円",,,,,,,,,,,,"馬連:15,830円 ワイド:05-16=3,530円 12-16=450円 05-12=1,560円",,,,,,,,,,,,"馬連:10,870円 ワイド:04-09=3,080円 02-09=2,630円 02-04=5,150円",,,,,,,,,,,
