14年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花背特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｆアキトクレッセント, 48,浜中俊,, 71,*  3,*  4, 1,  2.4, ①①, 1, 1, ティアップワイルド,,西谷誠,,,,, 1,  2.5,①①①, 1,14,Ａアドマイヤシェル, 78,藤岡佑,, 74,   0,* 11, 5,  9.1, ⑧⑦, 1,16,Ａダノンバトゥｰラ, 87,浜中俊,, 85,  10,* 16, 2,  2.9,④④②
 2, 6,Ｅニホンピロサンダｰ, 55,酒井学, 0.7, 64,  -2,*  5, 4,  9.9, ⑧⑤, 2, 3, タマモプラネット,,小坂忠,194.9,,,, 6, 16.3,②②②, 2,12,Ｂアドマイヤヤング, 77,小牧太, 0.1, 74,   3,   6, 1,  3.2, ③③, 2, 8,Ｂマスクゾロ, 87,秋山真, 0.0, 83,   9,* 17, 1,  2.3,⑦⑤⑤
 3,14,Ａレッツイットラン, 63,菱田裕, 1.5, 56,  -2,  -3, 2,  3.3, ⑦⑥, 3, 7, ダンツミュｰタント,,森一馬,195.2,,,, 4,  6.4,④③③, 3, 6,Ｇアバンサル, 72,国分恭, 0.1, 75,  -5,* 17,10, 39.6, ⑬⑫, 3, 1,Ｃソルモンタｰレ, 83,荻野琢, 1.0, 78,   6,* 16, 4, 15.4,⑭⑮⑮
 4,12,Ｂバｰサｰカｰ, 60,藤岡佑, 1.5, 57,*  1,  -7, 3,  8.7, ③②, 4, 9, コウザンフォルテ,,植野貴,197.5,,,, 8, 21.0,⑥⑦⑦, 4, 9,Ｈナリタロック, 70,高倉稜, 0.2, 74,   2,   7, 9, 34.9, ⑥⑤, 4, 3,Ｎデコレイト, 74,バルザ, 1.2, 77,   7,  13,15,117.4,⑫⑭⑭
 5,15,Ｇモズレッドファｰム, 48,和田竜, 1.6, 56,  -4,  -1, 9, 41.8, ⑩⑨, 5,13, メイショウライウン,,田村太,197.5,,,, 7, 17.0,⑦⑥⑥, 5, 5,Ｊジョｰウォルタｰ, 67,藤田伸, 0.2, 74,  -1,* 11, 8, 25.6, ⑩⑧, 5, 4,Ｋメイショウシンシア, 77,武幸四, 1.3, 79,   6,  15, 5, 16.4,⑮⑯⑯
 6,10,Ｃモラルタ, 59,松山弘, 2.3, 49, -10,   0, 6, 12.5, ⑬⑬, 6, 4, フリメｰル,,小野寺,197.8,,,,11, 96.2,⑨⑧⑧, 6, 4,Ｄサダムコｰテイ, 75,川田将, 0.4, 72,  -1,   9, 3,  5.3, ⑪⑩, 6, 2,Ｉメイショウソラｰレ, 78,藤岡佑, 1.4, 74,   6,  11, 6, 17.7,⑯⑬⑬
 7, 1,Ｉカシノゼウス, 42,熊沢重, 2.4, 52,*  1, -15,13,112.4, ②③, 7, 5, シゲルハリマ,,熊沢重,198.8,,,, 5, 15.0,③④④, 7, 8,Ｅタマモユウトウセイ, 74,川須栄, 0.8, 69,   0,   3, 4,  5.6, ⑦⑨, 7,15,Ｅスズカウラノス, 80,幸英明, 1.5, 76,   8,   9,13, 96.0,⑬⑫⑪
 8,11,Ｄダイメイエンド, 57,ビュイ, 2.7, 46,  -7,  -7, 5, 11.7, ⑫⑫, 8, 8, シゲルヒダカ,,白浜雄,201.2,,,, 3,  6.1,⑩⑩⑨, 8,10,Ｉラテンロック, 69,北村友, 0.9, 66,*  6,  -4, 7, 23.1, ①①, 8,13,Ｈブライトエルフ, 78,和田竜, 2.2, 71,   8,   2, 8, 30.2,⑩⑩⑨
 9, 8,Ｋゲットミｰ, 40,幸英明, 3.0, 45,  -7, -10,12, 59.4, ⑪⑪, 9,10, ヤギリヒマワリ,,五十嵐,201.5,,,,12,120.4,⑫⑪⑩, 9, 1,Ｆゴｰルドブラザｰ, 73,岩崎翼, 0.9, 68,  -1,   4, 6, 18.0, ⑨⑪, 9,10,Ｍポレイア, 74,菱田裕, 2.2, 68,   8,   1, 9, 49.1,⑪⑪⑩
10, 2,Ｌラウレアプリティ, 38,国分優, 3.8, 39,  -3, -21,10, 52.1, ⑨⑧,10, 2, ティマイドリｰム,,中村将,202.4,,,, 9, 32.3,⑧⑨⑪,10,15,Ｃヴィジャイ, 75,ルメｰ, 0.9, 67,   2,   1, 2,  4.1, ⑤⑥,10, 5,Ｐヤマニンガｰゴイル, 69,松山弘, 2.2, 69,   9,  -1,10, 54.7,⑤⑥⑥
11, 5,Ｎシゲルドンタク, 21,岩崎翼, 4.1, 35, -10, -16,15,132.2, ⑭⑭,11, 6, トゥルｰフレンド,,難波剛,204.0,,,,10, 48.4,⑬⑬⑬,11, 3,Ｍクリスマスマｰベル, 61,大下智, 1.3, 65,  -7,   8,15,296.8, ⑭⑭,11,14,Ｏシンコｰムｰン, 72,川須栄, 2.3, 70,   8,   0,16,226.1,⑧⑧⑧
