14年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕月特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａナムラマミｰ, 54,福永祐,, 59,* -3,  -5, 1,  2.4, ①①, 1, 1,Ｆグレンガイル, 60,浜中俊,, 71,   4,* 10, 9, 28.9,⑧⑤③, 1, 4,Ｅサンライズネオ, 71,浜中俊,, 78,   4,* 11, 1,  3.9, ⑥④, 1,10,Ａシャトｰブランシュ, 84,川田将,, 79,   6,   8, 1,  2.2, ④④
 2, 3,Ｉグランディフロｰラ, 47,川田将, 0.2, 57, -10,* -1, 2,  3.8, ⑦⑨, 2, 8,Ｄショウナンアトラス, 60,四位洋, 0.2, 70,*  5,   6, 3,  4.2,⑦③②, 2, 9,Ａミリオンヴォルツ, 74,福永祐, 0.0, 77,*  7,   9, 4,  4.9, ②②, 2, 5,Ｂディｰプサウス, 80,福永祐, 0.2, 78,   2,  13, 2,  4.3, ⑧⑧
 3, 4,Ｂシゲルカゼノボン, 52,幸英明, 0.2, 56,  -6,  -6, 5, 12.0, ⑤⑤, 3,16,Ｂダイシンロイ, 68,北村友, 0.3, 67,   1,* 12, 1,  3.3,⑩⑪⑥, 3,16,Ｂグランプリナイト, 74,川田将, 0.0, 78,   2,* 13, 2,  4.4, ⑦⑥, 3, 2,Ｊフロアクラフト, 74,松山弘, 0.2, 78,   4,  10, 5, 10.7, ⑥⑤
 4, 7,Ｈニホンピロヘｰラｰ, 48,国分優, 0.3, 55,  -7,  -6, 6, 21.1, ⑥⑥, 4, 4,Ｊウエスタンプリンス, 51,藤岡佑, 1.4, 60,   3,   0,15,284.7,⑬⑧⑤, 4, 2,Ｆビコｰミハイル, 71,佐久間, 0.7, 71,   4,   5, 8, 24.7, ④⑤, 4, 8,Ｃフェｰタルロｰズ, 78,松若風, 0.2, 75,*  9,   0, 4,  9.5, ①①
 5, 6,Ｊペパｰミント, 46,太宰啓, 0.5, 54, -13,* -1,13, 93.5, ⑫⑪, 5,10,Ｍサンライズメシア, 50,岩崎翼, 1.6, 58,   0,   3, 6, 13.4,⑫⑬⑩, 5,10,Ｎヒカリセット, 63,森一馬, 0.8, 70,  -2,  10, 7, 21.7, ⑬⑪, 5, 9,Ｄニシノテキｰラ, 76,岩田康, 0.3, 78,   1,* 16, 8, 34.3, ⑨⑨
 6,14,Ｅテイエムヤンチャボ, 49,岩崎翼, 0.5, 52,* -4, -10, 9, 22.6, ③③, 6, 5,Ｃフォｰルスクリｰク, 63,福永祐, 1.6, 58,   1,   0, 5, 10.1,⑥⑩⑧, 5, 6,Ｊメンカウラｰ, 66,岩田康, 0.8, 69,  -1,   8, 5, 12.8, ⑨⑩, 6, 3,Ｅディオジェｰヌ, 76,菱田裕, 0.4, 77,   4,   9, 9, 38.8, ⑦⑥
 7, 1,Ｃグッドピアス, 51,酒井学, 0.5, 53,  -5,  -9,10, 34.3, ④④, 7, 3,Ｋメイショウオオダチ, 51,武幸四, 1.8, 61,  -1,   5,10, 68.5,⑮⑭⑭, 7, 7,Ｐワンダｰヴィｰヴァ, 59,ペロヴ, 1.0, 68,  -8,* 14, 9, 33.3, ⑯⑯, 7,11,Ｉレッドフォｰチュン, 74,小牧太, 0.5, 77,   0,* 16,10, 56.0, ⑩⑪
 8, 2,Ｇアグネスレイア, 48,高倉稜, 0.6, 52, -11,  -5, 7, 21.6, ⑨⑧, 8, 7,Ｎキミニヒトメボレ, 46,松若風, 1.8, 58,*  5,  -9, 7, 20.9,②②①, 8, 8,Ｄスクワドロン, 72,北村友, 1.0, 67,  -5,  10,12, 64.6, ⑮⑮, 8, 7,Ｆウエスタンレベッカ, 75,幸英明, 0.7, 71,*  8,  -6, 7, 23.5, ②②
