14年 4月19日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月19日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1150m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,燧ヶ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａレンブラント, 68,勝浦正,, 55,  -3,*  5, 1,  3.6,⑩⑨⑦, 1, 7,Ａジョｰヌダンブル, 58,勝浦正,, 74,* 11,* -8, 2,  3.4, ①①, 1,10,Ａファインスカイ, 75,松田大,, 64,   5,*  2, 2,  4.0, ④③, 1, 1,Ｂルミナスレッド, 77,黛弘人,, 74,* 14, -10, 1,  3.9,③②①
 2, 4,Ｅウインヴォイジャｰ, 53,丹内祐, 0.0, 53,*  0,   0, 6, 13.3,①①①, 2, 8,Ｆバｰンアウル, 45,川島信, 0.5, 64,   5,* -9, 5, 10.5, ⑤⑥, 2,12,Ｆベルライン, 67,藤岡康, 0.2, 63,   4,*  2, 5, 12.7, ⑥⑥, 2, 4,Ｅスマッシュスマイル, 72,勝浦正, 0.0, 76,  11,*  2, 4,  6.1,⑦⑤⑤
 3,14,Ｃイノセンテス, 56,川島信, 0.1, 55,  -2,*  3, 7, 14.7,⑧⑦③, 3,14,Ｂベルモントケｰティ, 57,津村明, 0.6, 64,*  8, -13, 4,  9.0, ④③, 3, 9,Ｇロｰゼズガｰランド, 67,中井裕, 0.3, 63,   5,  -1, 6, 19.2, ③⑤, 3, 6,Ｈロジダンス, 68,丸田恭, 0.6, 69,   9,* -1, 2,  5.3,⑪⑪⑨
 4, 1,Ｄカイザｰヴァルツァ, 53,松若風, 0.4, 52,  -2,   0, 4, 10.1,④④⑤, 4,13,Ｃセクシイガｰル, 56,岩崎翼, 0.7, 61,   5, -12, 1,  2.4, ⑥⑤, 4, 6,Ｉハルコマチ, 66,菱田裕, 0.3, 60,   2,*  2,10, 41.2, ⑧⑧, 4, 7,Ｆレイトライザｰ, 72,川須栄, 0.7, 70,   9,* -1, 6, 10.1,⑭⑬⑦
 5,13,Ｎガヤルド, 33,丸田恭, 0.4, 51,  -4,*  5,10, 37.8,⑬⑪⑨, 5,15,Ｅチャオプラヤ, 48,藤岡康, 1.0, 55,  -2,* -8, 6, 19.4, ⑨⑨, 5, 1,Ｂボストンサクラ, 71,岩崎翼, 0.4, 60,   4,   0, 7, 25.2, ⑤④, 5,16,Ｄライトヴァｰス, 74,村田一, 0.7, 70,   9,* -1, 7, 10.9,⑩⑫⑪
 6,11,Ｇエｰブキットマン, 52,中井裕, 0.5, 53,  -2,  -2, 2,  3.6,⑤⑥④, 6, 1, デルマヨッチャン,---,村田一, 1.0, 58,   7, -17, 8, 47.1, ③④, 6, 3,Ｈチェリｰミルズ, 66,伴啓太, 0.4, 60,   2,   1, 8, 29.8, ⑦⑦, 6,13,Ａマルケサス, 77,松田大, 0.8, 68,  11,  -9, 3,  6.1,⑨⑥④
 7,12,Ｂシンザンプロスパｰ, 59,西田雄, 0.9, 48,* -1,  -6, 3,  4.6,③③②, 7,12,Ｄカクテルハット, 49,杉原誠, 1.6, 48,   0, -18, 3,  6.6, ⑧⑧, 7, 5,Ｃシャンパンルｰジュ, 70,吉田隼, 0.5, 59,  -1,*  3, 4,  5.1, ⑭⑭, 7, 8,Ｊオｰスミミズホ, 66,川島信, 1.0, 67,  12, -15, 5,  9.7,⑤④②
 8, 9,Ｌメチャンコハヤイヨ, 43,伴啓太, 1.0, 49,  -6,   1,12, 95.2,⑭⑬⑫, 8, 5, スリジエ,---,中谷雄, 1.7, 45,  -9, -10, 7, 22.0, ⑪⑩, 8, 4,Ｊフレイヤ, 63,丹内祐, 0.6, 57,   0,   1,13,151.1, ⑫⑪, 8, 2,Ｏカウウェラ, 57,杉原誠, 1.1, 67,   9,  -9,12, 73.3,⑧⑨⑧
