14年12月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,江坂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂジュンスパｰヒカル, 58,四位洋,, 69,   1,*  9, 2,  3.4,③③③, 1,10, ファイヤｰ,,森一馬,,,,, 1,  1.9,⑦④④, 1,13,Ａミッキｰアップル, 78,松若風,, 70,  -3,* 12, 1,  1.9, ⑨⑦, 1, 8,Ｉマイネアルナイル, 74,松山弘,, 81,   6,*  8, 3,  7.9,⑩⑧⑨
 2,12,Ａテイエムテツジン, 69,義英真, 0.1, 63,*  3,*  5, 1,  2.4,②②②, 2, 3, ワイズリｰ,,北沢伸,203.6,,,, 2,  3.8,③③①, 2, 7,Ｃナリタロック, 72,高倉稜, 0.3, 69,  -5,* 12, 2,  5.5, ⑪⑪, 2,12,Ｄサトノレオパｰド, 77,ブノワ, 0.0, 81,   4,* 14, 7, 14.8,⑪⑫⑪
 3, 7,Ｊメイショウブユウ, 52,松山弘, 1.1, 58,   0,   1, 4, 10.7,⑩⑥⑤, 3, 1, ダイワデッセｰ,,高田潤,204.5,,,, 3,  4.0,①①③, 3, 5,Ｆエンドレスシャイン, 69,松山弘, 0.3, 69,  -2,  10, 5, 13.8, ⑧⑧, 3, 2,Ｇカンタベリｰナイト, 75,酒井学, 0.0, 81,   5,* 13,12,130.1,⑫⑪⑫
 4,13,Ｋヒロノカマオレ, 48,北村友, 1.2, 56,   1,  -1, 3, 10.1,⑦⑤④, 4, 8, アイティテイオｰ,,山本康,204.5,,,, 4, 17.9,④⑤⑤, 4,16,Ｈゴｰルデンアタック, 68,幸英明, 0.3, 69,  -5,* 14, 9, 50.9, ⑭⑬, 4,10,Ｌダンディｰズムｰン, 72,幸英明, 0.2, 76,* 10,  -7, 2,  6.2,⑤①①
 5,16,Ｄモズレッドファｰム, 58,岩崎翼, 1.5, 55,  -2,   2,11, 56.1,⑫⑪⑨, 5, 7, ファイアｰシチｰ,,小坂忠,204.7,,,, 9, 78.1,⑨⑦⑦, 5, 9,Ｂケイリンボス, 75,ブノワ, 0.3, 65,   0,   7, 3,  5.9, ⑥④, 5, 7,Ｅラニカイツヨシ, 77,太宰啓, 0.4, 75,   6,   1, 8, 16.7,⑥⑥⑦
 6, 6,Ｎメイショウテンロウ, 37,太宰啓, 1.5, 56,  -1,  -1, 7, 24.8,⑨⑨⑥, 6, 5, ワンダｰバライル,,黒岩悠,204.9,,,, 8, 69.6,⑥⑧⑧, 6,14,Ｊグロシュラライト, 64,藤田伸, 0.3, 68,*  2,   5,11, 84.1, ②②, 6, 9,Ｋジェラルド, 73,川須栄, 0.7, 73,   5,   2, 5, 13.3,⑨⑩⑩
 7,11,Ｅヴェリタスキング, 56,川須栄, 1.7, 53,*  3, -10, 8, 25.1,①①①, 7,11, マグナムボｰイ,,草野太,205.9,,,, 6, 24.2,②②②, 7, 8,Ｅショウナンサンタ, 69,国分恭, 0.5, 66,   0,   5, 6, 16.5, ④③, 7, 1,Ａアグリッパｰバイオ, 80,秋山真, 0.7, 72,*  9,  -8, 1,  1.9,②③②
 8, 1,Ｆコンゴウヒｰロｰ, 56,藤岡佑, 1.9, 50,  -1,  -5, 9, 25.3,⑧⑦⑧, 8,13, メイショウライウン,,田村太,206.4,,,, 5, 22.6,⑤⑥⑥, 8, 6,Ｋテイエムリヴィエラ, 63,中井裕, 0.7, 66,  -6,  11,12, 91.8, ⑮⑭, 8, 3,Ｂゴッドフロアｰ, 80,四位洋, 1.2, 69,   6,  -7, 4, 10.3,⑧⑨⑧
 9,10,Ｉアイファｰラブオｰ, 53,藤懸貴, 2.0, 50,   1,  -8, 5, 11.8,④④⑦, 9, 6, トゥルｰフレンド,,難波剛,207.4,,,,12,114.4,⑪⑩⑩, 9, 4,Ｌサンライズシルバｰ, 60,小崎綾, 0.7, 65,  -4,   8, 7, 31.9, ⑩⑩, 9,11,Ｆキンショｰタイム, 76,勝浦正, 1.5, 66,   7, -16,10, 54.5,⑦⑦⑥
10,14,Ｇヒロフォｰシｰズン, 55,松若風, 2.0, 53,  -2,  -3, 6, 13.1,⑪⑫⑪,10,12, テイエムロカビリｰ,,佐久間,207.5,,,,14,174.1,⑧⑨⑨,10, 1,Ｇヴィジャイ, 68,四位洋, 0.8, 65,*  3,  -1, 4,  9.2, ①①,10, 6,Ｃランフォｰジン, 78,和田竜, 1.7, 65,   8, -18, 6, 13.6,③⑤⑤
11, 8,Ｈレヴォントゥリ, 54,荻野琢, 2.1, 51,  -3,  -1,12,101.8,⑭⑭⑫,11,14, ティマイドリｰム,,平沢健,208.9,,,,10,108.6,⑩⑪⑪,11,15,Ｍモズノハナミチ, 56,和田竜, 1.4, 60,  -5,   4, 8, 42.8, ⑬⑫,11, 5,Ｊマイネルアクロス, 73,柴田未, 1.9, 63,   7, -22,11, 56.9,④④④
12, 3,Ｃモラルタ, 58,和田竜, 2.7, 48,  -1, -10,10, 32.9,⑥⑧⑩,12, 9, ロｰドメビウス,,中村将,210.1,,,,13,133.4,⑫⑫⑫,12,11,Ｉサウンドレｰサｰ, 66,太宰啓, 1.6, 58,   0,  -4,13,103.1, ⑦⑤,12, 4,Ｈナリタパイレｰツ, 74,高倉稜, 2.5, 59,   8, -32, 9, 28.2,①②③
13, 9,Ｍミラクルナイト, 41,小林徹, 2.9, 46,  -3,  -7,16,200.9,⑬⑬⑭,13, 4, ブライトジェム,,金子光,216.1,,,, 7, 64.6,⑭⑬⑬,13, 3,Ｐクリノロブソン, 49,国分優, 1.7, 57,  -8,   5,15,280.5, ⑯⑮,,,,,,,,,,,,
14, 4,Ｐクリアスカイ, 23,尾島徹, 4.1, 38,  -2, -21,13,107.0,⑤⑩⑬,14, 2, ノアポルテ,,林満明,221.3,,,,11,113.9,⑬⑭⑭,14, 2,Ｎカシノソラｰレ, 55,熊沢重, 2.2, 53,   0, -10,14,198.8, ③⑥,,,,,,,,,,,,
15,15,Ｏラガｰマイレッカｰ, 37,藤田伸, 5.6, 29,  -5, -28,14,195.8,⑮⑮⑮,,,,,,,,,,,,,15,10,Ｏメイライト, 52,尾島徹, 3.1, 45,  -2, -15,16,373.5, ⑤⑨,,,,,,,,,,,,
16, 2,Ｌアｰススカイ, 44,国分優, 6.5, 26, -18,  -8,15,196.4,⑯⑯⑯,,,,,,,,,,,,,16,12,Ｄアトランティｰド, 70,義英真, 4.1, 37,  -6, -19,10, 54.8, ⑫⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:5),,,,,,,,,,,
単勝:340円 複勝:05=120円 12=120円 07=200円 枠連:360円,,,,,,,,,,,,単勝:190円 複勝:10=110円 03=120円 01=120円 枠連:330円,,,,,,,,,,,,単勝:190円 複勝:13=110円 07=140円 05=220円 枠連:360円,,,,,,,,,,,,"単勝:790円 複勝:08=270円 12=500円 02=2,810円 枠連:3,340円",,,,,,,,,,,
馬連:390円 ワイド:05-12=210円 05-07=450円 07-12=570円,,,,,,,,,,,,馬連:330円 ワイド:03-10=150円 01-10=170円 01-03=260円,,,,,,,,,,,,馬連:450円 ワイド:07-13=210円 05-13=420円 05-07=640円,,,,,,,,,,,,"馬連:7,210円 ワイド:08-12=1,940円 02-08=13,100円 02-12=13,980円",,,,,,,,,,,
"馬単:880円 3連複:1,090円 3連単:3,960円",,,,,,,,,,,,馬単:490円 3連複:330円 3連単:960円,,,,,,,,,,,,"馬単:640円 3連複:1,230円 3連単:3,290円",,,,,,,,,,,,"馬単:15,330円 3連複:163,890円 3連単:1,096,680円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｶｳﾝﾄﾀﾞｳﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,17,Ａオヒア, 68,秋山真,, 63,*  8,  -1, 1,  2.0, ①①, 1, 1, マスタｰリデル,---,森一馬,, 65,* -7,*  4, 7, 32.1, ①①, 1, 5,Ａルミナスウイング, 81,ブノワ,, 81,   3,* 17, 2,  3.2, ⑫⑪, 1, 8,Ｍゼンノルジェロ, 77,熊沢重,, 81,*  9,   6,13, 51.2,②③④
 2, 4,Ｃベｰリングメファ, 57,四位洋, 0.1, 63,*  6,   0, 4, 10.2, ③③, 2, 6, エルクンバンチェロ,---,ブノワ, 0.1, 63,* -8,*  4, 1,  2.2, ②②, 2,16,Ｂメイショウユメゴゼ, 78,藤岡佑, 0.1, 81,   4,* 15, 5,  9.5, ⑪⑨, 2, 3,Ｆミヤジタイガ, 79,和田竜, 0.1, 81,   8,   6, 3,  6.1,④⑤⑥
 3,11,Ｊレッドベルダ, 48,ブノワ, 0.3, 61,   2,   4, 2,  4.3, ⑦⑦, 3, 3, シンキロウ,---,和田竜, 0.7, 59, -13,*  4, 2,  4.3, ⑤⑥, 3, 2,Ｃセイウンチカラ, 78,松若風, 0.2, 81,* 13,   5, 3,  7.9, ①①, 3,11,Ｄロングリバイバル, 81,幸英明, 0.1, 80,*  9,   3, 6, 13.0,⑤④③
 4, 1,Ｆカネトシスキｰム, 54,藤岡佑, 0.5, 58,*  5,  -3, 8, 30.0, ④④, 4, 2, エンジェルウィスパ,---,北村友, 0.8, 56, -10,  -1, 5, 10.2, ④④, 4,13,Ｇカジキ, 75,岩崎翼, 0.6, 77,   7,   7, 8, 25.8, ⑧⑥, 4,14,Ｅトウカイオｰロラ, 80,秋山真, 0.2, 80,   5,* 11,11, 43.6,⑬⑪⑪
 5, 8,Ｂプルメリアスタｰ, 58,川須栄, 0.6, 59,  -3,*  7, 7, 26.6, ⑩⑩, 5, 7, ウェルカムワゴン,---,松若風, 1.0, 54, -14,   1, 6, 21.3, ⑦⑦, 5, 6,Ｍレゼトワｰル, 71,藤懸貴, 0.7, 76,* 11,   3,16,143.4, ②②, 5, 6,Ｌコウエイワンマン, 77,太宰啓, 0.4, 77,   7,   5, 5,  8.6,⑩⑧⑩
