14年 6月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 6月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ2100m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,相模湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｉリバｰクルｰズ, 29,大野拓,, 44,*  4, -15, 7, 48.9, ①①, 1,12,Ｂダンディｰライアン, 63,江田照,, 68,*  9,  -8, 3,  8.2, ②②, 1, 6,Ｄシｰクレットパス, 59,田辺裕,, 64,   1,*  5, 3,  6.2,⑫⑩⑦, 1, 7,Ａマカハ, 81,戸崎圭,, 81,   1,* 13, 1,  3.2, ⑩⑩
 2, 9,Ａスマｰトプラネット, 57,田辺裕, 0.0, 44,*  3, -13, 1,  2.3, ④④, 2,10,Ｄドスコイサｰファｰ, 62,内田博, 0.2, 65,  -2,*  6, 4,  9.4, ⑬⑩, 2,12,Ａトリレンマ, 71,横山典, 0.0, 63,*  3,* -1, 4,  9.1,①①①, 2, 5,Ｇフラムドグロワｰル, 75,北村宏, 0.0, 81,   5,   7, 3,  5.1, ⑤⑥
 3, 2,Ｇリタｰンストロｰク, 36,吉田豊, 0.1, 43,*  2, -14, 6, 20.8, ③②, 3,15,Ｃハッツオフ, 63,戸崎圭, 0.2, 66,   7,  -6, 1,  2.0, ④④, 3,11,Ｂシュタインベルガｰ, 70,内田博, 0.5, 61,   2,  -3, 1,  2.2,⑬⑤⑤, 3, 9,Ｊヴァンフレｰシュ, 69,吉田豊, 0.2, 78,* 10,  -3, 9, 48.0, ①①
 4, 6,Ｂサンクタリリアス, 56,蛯名正, 0.1, 42,  -1,* -9, 2,  2.7, ⑦⑦, 4,14,Ｉユキノプリンス, 57,吉田豊, 0.3, 65,   5,  -4, 8, 27.2, ⑥⑤, 4, 8,Ｃフドｰシン, 61,武士沢, 0.6, 60,*  3,  -6, 6, 16.7,③②②, 4, 6,Ｆジｰニマジック, 75,田辺裕, 0.2, 79,  -1,* 13, 8, 20.3, ⑪⑫
 5, 1,Ｊトｰセンペンタゴン,  2,内田博, 0.5, 36,  -4,*-11, 3,  5.2, ⑩⑩, 5, 8,Ｈマルヨグラス, 57,西田雄, 0.5, 63,   0,*  2,10, 34.3, ⑨⑨, 5, 3,Ｉグロリアストレイル, 49,北村宏, 1.3, 57,   2,  -8, 5, 10.3,⑥⑧⑥, 5,10,Ｃガイヤｰスヴェルト, 78,石橋脩, 0.3, 77,   6,   1, 2,  3.9, ④③
 6, 7,Ｈレディｰムｰン, 34,武士沢, 0.6, 36,  -3, -12, 9, 80.7, ⑨⑨, 6, 7,Ｅキタサンダイチ, 60,木幡初, 0.8, 58,  -4,*  3, 9, 28.8, ⑫⑫, 6,10,Ｊアイルビｰホｰム, 47,蛯名正, 1.4, 55,*  3, -13, 7, 21.1,⑤③③, 6, 3,Ｅマンボネフュｰ, 75,蛯名正, 0.3, 78,   3,   6, 4,  5.8, ⑦⑦
 7, 8,Ｅフォレスタレガｰロ, 38,柴田大, 1.1, 31,*  3, -27, 4,  8.9, ②③, 7, 6,Ｋラウンドガｰル, 50,岩部純, 0.9, 58,  -3,   0, 7, 25.4, ⑩⑪, 7, 2,Ｈシナモン, 50,吉田豊, 1.7, 53,   3, -13,11,146.6,④⑦④, 7, 4,Ｂミナレット, 79,嘉藤貴, 0.4, 76,   6,   1, 6, 14.4, ③④
 8, 3,Ｆウエイブ, 37,嘉藤貴, 1.7, 24,   0, -32,10, 85.7, ⑤⑤, 8, 9,Ｇテイエムテンリュウ, 59,横山典, 0.9, 57,   1,  -5, 5,  9.8, ⑧⑦, 8, 7,Ｌニシノモリンガ, 45,木幡初, 2.3, 51,  -1, -10,13,193.0,⑧⑪⑩, 8, 8,Ｈボンジュｰルココロ, 74,田中勝, 0.4, 76,   3,   5, 5, 12.6, ⑧⑧
