14年 5月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 5月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1900m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桃山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａスタｰペスユウコ, 67,小林徹,, 67,*  3,*  6, 1,  2.1, ①①, 1, 7,Ｃジョｰウォルタｰ, 60,松山弘,, 68,* -4,   7, 8, 25.1, ④④, 1, 5,Ｄヤマニンプｰドレ, 71,岩崎翼,, 75,*  1,   8, 4,  7.8,④④②, 1,12,Ｆクラｰジュドｰル, 83,小牧太,, 81,   8,* 15, 3,  5.1,⑬⑫⑬
 2,14,Ｃイルｰシヴキャット, 59,国分優, 0.6, 61,  -2,*  5, 2,  5.1, ⑤⑤, 2, 2,Ｉタマモチョコパフェ, 55,国分優, 0.1, 63,* -2,   1, 5, 17.1, ①①, 2, 1,Ａディｰプウェｰブ, 74,松山弘, 0.2, 78,  -2,* 15, 2,  3.1,⑩⑨⑦, 2, 1,Ｇノボリドリｰム, 82,藤岡康, 0.1, 78,* 11,   8, 5,  9.4,②②②
 3, 3, アゲｰラ,---,松山弘, 1.3, 54, -11,*  7, 5, 12.1, ⑮⑬, 3, 3,Ｇランガｰジュ, 57,幸英明, 0.3, 65,  -8,*  8, 3,  5.3, ⑦⑦, 3, 3,Ｆカｰバ, 69,城戸義, 0.2, 72,*  1,   4, 7, 25.2,③②④, 3, 2,Ｋダイヤノゲンセキ, 81,国分優, 0.1, 76,* 10,   8, 6,  9.7,③④③
 4,15,Ｄゴｰルデンロッド, 58,小牧太, 1.3, 57,  -3,   1, 6, 21.4, ⑦⑦, 4,12,Ｂフラッシュバイオ, 61,小牧太, 0.4, 59,* -2,  -2, 1,  2.6, ②②, 4, 7,Ｃマトリックスコｰド, 73,幸英明, 0.3, 74,   0,   7, 1,  2.4,⑤⑥⑤, 4, 6,Ｄバトｰドｰル, 85,太宰啓, 0.3, 78,* 10,   8, 9, 41.6,⑥⑥⑥
 5, 6,Ｉエイユｰバｰチョ, 48,幸英明, 1.4, 56,   1,  -4,14,206.8, ④④, 5, 8,Ｊカネトシキフジン, 49,城戸義, 0.5, 60,  -5,   1,13,100.4, ⑥⑤, 5, 8,Ｂダブルイｰグル, 73,太宰啓, 0.5, 70,   0,   4, 3,  5.9,⑥⑤⑥, 5, 5,Ｊアサクサショパン, 81,北村友, 0.4, 76,   9,   9,11, 49.7,⑨⑧⑧
 6,12,Ｆバトルムｰングロウ, 49,岩崎翼, 1.4, 53,*  2,  -6, 7, 25.4, ②②, 6, 4,Ｄスズカグランデ, 59,中井裕, 0.6, 61,  -8,   5,10, 42.5, ⑩⑨, 6, 6,Ｅスリｰヴェロｰチェ, 70,武幸四, 0.8, 70,  -3,   4, 5, 13.5,⑧⑦⑧, 6,13,Ｂハスラｰ, 85,松山弘, 0.4, 77,   8,* 12, 4,  6.0,⑪⑪⑩
 7,16, オｰマイベイビｰ,---,義英真, 1.5, 53,  -7,   2, 3,  7.7, ⑪⑩, 7,18,Ｆオｰディンバロｰズ, 57,義英真, 0.9, 53,* -4,  -7, 6, 18.9, ⑤⑥, 7, 2,Ｈワイドワンダｰ, 62,藤岡康, 0.8, 66,*  3,  -8, 9,104.6,①①①, 7,11,Ａドラゴンフォルテ, 87,秋山真, 0.6, 75,   7,* 13, 7, 15.3,⑩⑬⑫
 8, 1,Ｇパステルピンク, 49,藤岡康, 1.7, 51,  -3,  -4, 8, 25.5, ⑥⑥, 8,15,Ｌワイレアタヤス, 47,武幸四, 1.1, 58, -16,*  8, 9, 29.2, ⑮⑭, 8, 9,Ｇテイエムオデッセイ, 63,義英真, 0.9, 68,  -3,   4,10,111.0,⑦⑧⑨, 8,10,Ｍハルカフジ, 79,荻野琢, 0.6, 75,   9,   7,12, 60.1,⑦⑦⑦
 9, 9,Ｂマサノジュエリｰ, 64,北村友, 2.0, 49,  -5,  -4, 4,  8.2, ⑨⑧, 9,11,Ｈハイプレッシャｰ, 56,北村友, 1.1, 59, -17,* 11, 4,  9.5, ⑯⑯, 9,10,Ｉノｰスパストラル, 61,国分優, 1.2, 61,*  1, -12, 6, 18.2,②③③, 9, 4,Ｌマンボダンサｰ, 80,尾島徹, 0.7, 74,* 10,   4,13,104.5,④⑤⑤
10, 4,Ｋハクユウデイジｰ, 42,秋山真, 2.9, 40, -14,  -3, 9, 26.1, ⑯⑯,10,14,Ａマイネルサルト, 63,酒井学, 1.2, 48,* -4, -13, 7, 24.5, ③③,10, 4,Ｊアドマイヤキンボシ, 46,小牧太, 1.3, 64,  -4,   2, 8, 29.6,⑨⑩⑩,10, 3,Ｅコウユｰヒｰロｰ, 83,国分恭, 0.8, 72,   8,   8,10, 42.1,⑫⑩⑨
11, 2,Ｍティエスリｰナ, 28,中井裕, 2.9, 42,  -8,  -9,13,153.4, ⑫⑪,11,10,Ｎテイエムオドロキ, 42,国分恭, 1.3, 52, -12,   1,18,469.9, ⑬⑬,,,,,,,,,,,,,11, 8,Ｃブルｰタンザナイト, 85,幸英明, 1.0, 72,* 10,   0, 1,  3.9,⑤③④
12, 5,Ｅタイセイデザイア, 52,武幸四, 2.9, 43, -11,  -7,10, 35.6, ⑭⑫,12,16, タガノエトワｰル,---,藤岡康, 1.3, 57, -18,* 11, 2,  3.7, ⑰⑰,,,,,,,,,,,,,12, 9,Ｉアントニオピサ, 81,武幸四, 1.6, 71,* 11,  -6, 2,  4.1,①①①
13, 7,Ｌケンブリッジハｰツ, 35,城戸義, 3.2, 39,  -9, -11,15,311.5, ⑬⑮,13, 5,Ｅアグリナデシコ, 58,岩崎翼, 1.3, 51, -10,  -4,12, 92.0, ⑪⑩,,,,,,,,,,,,,13, 7,Ｈスズカルｰセント, 81,中井裕, 1.6, 70,   9,  -1, 8, 31.4,⑧⑨⑪
14,13,Ｈアキノラブカラｰ, 49,岡田祥, 3.2, 38,*  1, -21,16,437.7, ③③,14,13,Ｐホッコｰヤタロウ, 29,鮫島良, 1.5, 48,  -7, -11,11, 56.8, ⑧⑧,,,,,,,,,,,,,,,,,,,,,,,,
15,10,Ｊナムラユリア, 46,国分恭, 3.5, 35,  -8, -15,11, 57.4, ⑧⑭,15, 6,Ｋマホン, 48,秋山真, 1.6, 50, -17,   3,16,181.6, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
16,11, ヤマニンコロｰル,---,太宰啓, 3.8, 33,  -6, -20,12,107.7, ⑩⑨,16,17,Ｍアｰムストロング, 42,荻野琢, 1.8, 44,  -8, -12,15,157.8, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 1,Ｏチクタク, 33,尾島徹, 2.5, 35,  -9, -21,17,414.7, ⑨⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 9, ホウルスカイ,---,小林徹, 2.7, 39, -21,  -4,14,108.3, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,
単勝:210円 複勝:08=110円 14=140円 03=280円 枠連:420円,,,,,,,,,,,,"単勝:2,510円 複勝:07=520円 02=440円 03=190円 枠連:6,780円",,,,,,,,,,,,"単勝:780円 複勝:05=270円 01=180円 03=430円 枠連:1,600円",,,,,,,,,,,,"単勝:510円 複勝:12=210円 01=300円 02=300円 枠連:1,280円",,,,,,,,,,,
馬連:440円 ワイド:08-14=200円 03-08=500円 03-14=940円,,,,,,,,,,,,"馬連:9,200円 ワイド:02-07=2,330円 03-07=1,160円 02-03=850円",,,,,,,,,,,,"馬連:1,630円 ワイド:01-05=530円 03-05=1,370円 01-03=1,010円",,,,,,,,,,,,"馬連:2,250円 ワイド:01-12=870円 02-12=1,100円 01-02=1,150円",,,,,,,,,,,
"馬単:650円 3連複:1,420円 3連単:4,330円",,,,,,,,,,,,"馬単:25,290円 3連複:12,520円 3連単:114,250円",,,,,,,,,,,,"馬単:3,720円 3連複:6,520円 3連単:38,930円",,,,,,,,,,,,"馬単:3,880円 3連複:8,360円 3連単:43,150円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鞍馬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａフミノスナイパｰ, 67,太宰啓,, 76,   6,*  5, 1,  2.4,⑪⑩⑥, 1, 2,Ａドラゴンストリｰト, 68,幸英明,, 71, -16,* 13, 1,  1.3, ⑤③, 1, 8,Ｂエｰシンエポナ, 77,幸英明,, 78,   7,  13, 6, 11.3,⑦⑦⑤, 1, 1,Ｈルナフォンタｰナ, 82,北村友,, 92,  -4,  21, 1,  3.8, ⑧⑧
 2,13,Ｂタマモホルン, 66,義英真, 0.4, 71,*  9,  -4, 4,  6.2,②②②, 2,18,Ｅディアメドゥｰサ, 55,秋山真, 0.2, 53,* -2, -21, 8, 33.4, ①①, 2,12,Ｄロｰレルレジェンド, 75,太宰啓, 0.0, 78,   7,  13, 4,  8.0,⑥④③, 2, 5,Ｅウイングザムｰン, 82,秋山真, 0.1, 90,  -8,* 24, 2,  5.3, ⑩⑪
 3,12,Ｃブレヴァン, 66,秋山真, 0.4, 70,   7,*  0, 3,  5.5,⑧⑥④, 3,16,Ｇサンレイロッキｰ, 53,水口優, 0.9, 66, -24,* 17,14,257.3, ⑩⑩, 3, 2,Ｇメイショウテンシュ, 73,武幸四, 0.3, 79,   4,* 16, 7, 14.8,⑨⑩⑩, 3, 4,Ｄハノハノ, 84,酒井学, 0.3, 86,   0,  13, 4,  7.6, ⑤⑤
 4, 9,Ｄガルグイユ, 62,小牧太, 1.4, 66,   7, -10, 2,  5.3,⑥⑤⑤, 4,10,Ｊクロスドミナンス, 49,小牧太, 1.0, 55, -16,  -2, 6, 28.4, ②②, 4,10,Ａスマｰトラファエル, 79,秋山真, 0.4, 73,   5,  14, 1,  3.6,⑩⑨⑧, 4,18,Ａアイラブリリ, 86,幸英明, 0.3, 86,*  3,  11, 5,  8.1, ④④
 5, 3, スギノゼウス,---,北村友, 1.7, 62,   5,  -9, 7, 24.9,⑩⑪⑦, 5,17,Ｆアユメライトアップ, 54,鮫島良, 1.1, 63, -22,  10,17,393.0, ⑨⑧, 5,14,Ｌゼンノコンゴウ, 70,国分優, 0.6, 69,* 10,   2, 8, 21.0,②②②, 5, 8,Ｍニンジャ, 79,鮫島良, 0.4, 89, -12,* 24, 7, 15.6, ⑮⑭
 6,10,Ｆクインズパｰル, 59,幸英明, 2.1, 60,* 10, -20, 6, 19.3,①①①, 6, 9,Ｂデンコウガイア, 64,城戸義, 1.1, 59, -21,   8, 7, 31.2, ⑧⑨, 6, 7,Ｉワンダｰブラザウン, 72,北村友, 0.8, 71,   7,   7, 3,  6.4,⑤⑥⑥, 6, 2,Ｌケイアイアストン, 79,太宰啓, 0.4, 83,   1,  11,17,132.9, ③③
 7, 2,Ｅジョウショｰノブシ, 61,水口優, 2.1, 63,*  8, -17, 8, 25.0,③③③, 7, 8,Ｃファイアｰシチｰ, 63,岩崎翼, 1.1, 63, -25,* 16, 2,  5.2, ⑬⑪, 7, 6,Ｆストレｰトラブ, 74,松山弘, 0.8, 74,   2,* 19,10, 36.9,⑮⑮⑮, 7,10,Ｇアｰスソニック, 82,藤岡康, 0.4, 87, -11,* 23, 3,  6.8, ⑬⑮
 8,15,Ｏウインマティｰニ, 48,国分優, 2.9, 56,   1,  -8,16,424.5,⑮⑯⑮, 8,15,Ｉアレクサンドル, 51,北村友, 1.1, 60, -19,   6, 3, 18.8, ⑦⑦, 8, 9,Ｊアズマユニヴァｰス, 71,酒井学, 0.9, 72,   4,  13,14,132.0,⑫⑭⑫, 8,16,Ｃワキノブレイブ, 85,岡田祥, 0.5, 83,  -3,  13, 9, 23.2, ⑦⑦
 9, 5,Ｈヒルノアドリアｰノ, 55,尾島徹, 3.2, 54,   7, -23,10, 66.5,⑦⑧⑨, 9,14,Ｄフィリグラｰナ, 55,義英真, 1.3, 53, -18,  -2, 5, 23.8, ④⑤, 9,13,Ｎサイレントサタデｰ, 67,中井裕, 0.9, 70,* 11,  -1, 5,  9.6,①①①, 9,14,Ｒメモリアルイヤｰ, 76,岩崎翼, 0.5, 81,*  5,   5,14, 84.5, ②②
10,14,Ｇエｰブキットマン, 55,中井裕, 3.3, 54,   5, -23, 5, 12.5,⑨⑨⑩,10, 7,Ｐメイショウアラワシ, 41,小林徹, 1.8, 48, -20,  -5,15,343.8, ⑥⑥,10, 3,Ｈスタンドバイミｰ, 72,小牧太, 1.1, 72,   4,  10, 9, 25.3,⑪⑫⑬,10, 9,Ｋフレデフォｰト, 80,中井裕, 0.5, 84,  -4,  15,12, 46.2, ⑨⑨
11, 6,Ｌテイエムファラオ, 52,岩崎翼, 3.6, 50,   2, -18,13,196.5,⑬⑬⑬,11,11,Ｋミキノジュウゴヤ, 47,尾島徹, 2.5, 36, -15, -24,16,383.9, ③④,11,11,Ｃラウンドロビン, 76,藤岡康, 1.1, 71,   5,   9, 2,  3.7,⑬⑪⑨,11,13,Ｊロｰガンサファイア, 80,小牧太, 0.5, 86, -13,* 24, 8, 17.5, ⑯⑯
12, 1,Ｎカネトシエンパシｰ, 49,国分恭, 4.2, 46,   6, -29,15,283.0,⑤⑦⑪,12,12,Ｎワンダフルバディ, 43,岡田祥, 2.7, 43, -26,  -4,18,482.6, ⑮⑮,12, 1,Ｋセルリアンラビット, 70,岡田祥, 1.3, 69,   4,   9,12,114.5,⑭⑬⑭,12,15,Ｏミヤジエムジェイ, 78,国分優, 0.5, 84,  -7,  17,15, 95.9, ⑫⑩
13, 4,Ｋヒャクバイガエシ, 54,藤岡康, 4.2, 48,   4, -26, 9, 27.5,⑫⑫⑫,13, 1,Ｑスズカエルフォトン, 40,中井裕, 2.9, 38, -25, -11, 9, 87.3, ⑫⑬,13,15,Ｍアｰセナルゴｰル, 69,岩崎翼, 1.4, 64,*  9,  -3,15,138.5,④③④,13, 7,Ｆヘニｰハウンド, 82,国分恭, 0.6, 85, -15,* 24,10, 27.3, ⑰⑰
14, 8,Ｉマジックホｰガン, 55,中谷雄, 4.2, 47,   7, -33,11, 78.1,④④⑧,14, 4,Ｌブレイズゴｰルド, 46,国分恭, 3.1, 38, -28,  -7,10, 99.0, ⑯⑯,14, 5,Ｅノアオｰカン, 74,城戸義, 1.6, 66,   5,   2,11, 45.9,⑧⑧⑦,14,17,Ｂスギノエンデバｰ, 85,松山弘, 0.8, 79,  -1,   8, 6,  9.6, ⑥⑥
15, 7,Ｍクレスコマグヌス, 50,松山弘, 4.5, 46,   0, -23,14,199.3,⑭⑭⑯,15,13,Ｈシップウハヤト, 51,太宰啓, 3.3, 33, -27, -14,11,105.7, ⑭⑭,15, 4,Ｏジパング, 60,義英真, 2.8, 57,   6, -10,13,118.6,③⑤⑪,15, 6,Ｐストｰクアンドレイ, 78,義英真, 0.9, 78,  -8,  13,13, 82.1, ⑪⑫
16,11,Ｊフランキｰバロｰズ, 54,酒井学, 5.1, 42,   0, -28,12,153.8,⑯⑮⑭,16, 6,Ｍチコリｰ, 45,武幸四, 3.4, 30, -23, -23,13,218.0, ⑪⑫,,,,,,,,,,,,,16, 3,Ｉメイショウデイム, 80,小林徹, 0.9, 75,*  5,   0,18,164.0, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｎサクラアドニス, 78,尾島徹, 1.1, 76,  -9,  12,11, 40.7, ⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,Ｑレジェトウショウ, 77,荻野琢, 1.3, 76, -20,  20,16,132.6, ⑱⑱
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-5),,,,,,,,,,,
単勝:240円 複勝:16=120円 13=180円 12=150円 枠連:480円,,,,,,,,,,,,"単勝:130円 複勝:02=110円 18=590円 16=2,660円 枠連:1,630円",,,,,,,,,,,,"単勝:1,130円 複勝:08=380円 12=280円 02=500円 枠連:1,870円",,,,,,,,,,,,"単勝:380円 複勝:01=170円 05=200円 04=260円 枠連:1,140円",,,,,,,,,,,
馬連:830円 ワイド:13-16=390円 12-16=240円 12-13=620円,,,,,,,,,,,,"馬連:1,760円 ワイド:02-18=880円 02-16=2,620円 16-18=33,770円",,,,,,,,,,,,"馬連:3,850円 ワイド:08-12=1,410円 02-08=2,090円 02-12=1,490円",,,,,,,,,,,,"馬連:1,200円 ワイド:01-05=500円 01-04=650円 04-05=800円",,,,,,,,,,,
"馬単:1,290円 3連複:1,320円 3連単:5,680円",,,,,,,,,,,,"馬単:2,190円 3連複:51,990円 3連単:124,920円",,,,,,,,,,,,"馬単:8,550円 3連複:15,230円 3連単:82,250円",,,,,,,,,,,,"馬単:2,090円 3連複:2,970円 3連単:12,720円",,,,,,,,,,,
■ 3R  芝1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 9R  芝2000m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,矢車賞,,,,,,,,,,,,,,,,,,,,,,
