14年 1月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝3000m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,はこべら賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａシゲルミマサカ, 65,秋山真,, 50,* -5,   7, 1,  1.5, ①①, 1, 8, マｰリンシチｰ,,植野貴,,,,, 1,  2.4,④⑤③, 1, 3,Ａスリｰアフロディテ, 82,森一馬,, 79,*  5,* 12, 1,  2.8,②②②, 1, 3,Ｊカレンマタドｰル, 59,勝浦正,, 66,*  7,  -1, 2,  4.6, ①①
 2,14,Ｃサカジロヴィグラス, 50,高倉稜, 0.1, 49,* -5,   6, 5, 15.1, ②②, 2, 3, メイショウムシャ,,森一馬,201.4,,,, 2,  3.3,①①①, 2,12,Ｉパラティｰノ, 68,中井裕, 0.7, 76,   1,* 12, 7, 14.3,⑨⑨⑧, 2,11,Ａクｰゲル, 71,酒井学, 0.1, 66,   5,   1, 1,  1.8, ⑧⑧
 3, 4,Ｈパｰティｰドレス, 39,丸山元, 0.2, 48, -12,* 12, 4, 10.5, ⑩⑧, 3,12, コウエイロックオン,,平沢健,201.4,,,, 3,  6.9,③④②, 3,10,Ｆボストンリョウマ, 73,伊藤工, 1.0, 72,   2,   8, 5, 11.9,⑦⑦⑦, 3,10,Ｂサンシカゴ, 69,秋山真, 0.2, 64,   3,   3, 3,  7.9, ⑨⑩
 4,16,Ｂリンガスアリュｰル, 51,中舘英, 0.2, 48,* -6,   6, 2,  8.0, ③③, 4,10, エリタｰジュ,,難波剛,201.5,,,, 4, 12.7,⑧⑥⑥, 4, 7,Ｄリンガスクリフ, 75,杉原誠, 1.1, 71,   1,   8, 6, 12.2,⑩⑧⑥, 4, 8,Ｆキタサンウンゲツ, 61,川須栄, 0.2, 66,   6,  -1, 4, 10.5, ④⑥
 5, 5,Ｅシゲルオワリ, 43,川須栄, 0.3, 49,  -7,   7, 6, 15.9, ④④, 5, 2, シゲルヘビザ,,中村将,201.6,,,, 6, 14.4,②②④, 5, 1,Ｃブロｰドスタｰ, 75,原田敬, 1.2, 70,*  4,   3, 3,  6.7,④④③, 5, 1,Ｋコパノハリｰ, 59,上村洋, 0.3, 65,   5,   0, 8, 35.8, ⑤④
 6, 2,Ｍデルマアラレチャン, 31,杉原誠, 0.6, 44, -11,   7, 9, 54.9, ⑧⑥, 6, 6, スタｰファンタジア,,山本康,203.3,,,,11,104.1,⑨⑦⑦, 6, 9,Ｈメイスンウォｰ, 72,長岡禎, 1.3, 69,*  4,   1, 8, 20.3,③③④, 6, 7,Ｇナムラユキヒメ, 60,松田大, 0.3, 65,   0,*  7, 9, 43.7, ⑪⑪
 7,15,Ｄアリュｰジョン, 48,荻野琢, 1.1, 40, -13,   5, 7, 27.2, ⑪⑨, 7,13, ダイコウキ,,熊沢重,203.4,,,, 5, 14.2,⑤③⑤, 7, 4,Ｅキングスクルｰザｰ, 74,藤懸貴, 1.3, 68,*  4,   2, 2,  3.5,⑤⑤⑤, 7, 9,Ｃコパノサムタイム, 68,高倉稜, 0.4, 64,   2,   4,12,170.2, ⑩⑨
 8, 9,Ｋクｰファシｰズンズ, 35,藤岡康, 1.4, 38,  -9,  -1, 8, 45.6, ⑦⑦, 8,11, ドリｰムピｰス,,横山義,205.3,,,, 8, 22.9,⑩⑩⑧, 8, 5,Ｂブリスコｰラ, 76,城戸義, 1.7, 67,   0,   5, 4,  9.6,⑧⑩⑨, 8, 5,Ｅチョウテッパン, 61,吉田隼, 0.4, 65,*  7,  -4, 7, 32.5, ②②
 9,13,Ｆスプリグロウス, 43,西田雄, 1.5, 37, -17,   5,14,239.1, ⑫⑬, 9,14, テイエムクロジシ,,田村太,205.5,,,,13,145.5,⑬⑪⑫, 9, 6,Ｋドラグレスク, 67,伴啓太, 2.4, 60,*  5, -10,10, 48.9,①①①, 9, 4,Ｄプリサイスエｰス, 66,柴山雄, 0.6, 62,   5,  -3, 6, 17.2, ⑦⑦
10,12,Ｊクリノツネチャン, 39,古川吉, 1.7, 36,  -8,  -4, 3,  9.1, ⑤⑤,10, 4, タイキサクセション,,五十嵐,205.5,,,,10, 68.4,⑦⑧⑨,10, 2,Ｊテイエムエビスオｰ, 68,田中健, 2.9, 60,   0,  -3,12,212.6,⑪⑫⑪,10, 2,Ｌナンチンノン, 59,中舘英, 0.6, 63,   5,  -3, 5, 11.8, ⑥⑤
11, 3,Ｐホｰルドアウト, 15,伴啓太, 1.9, 34, -18,   4,13,230.6, ⑬⑫,11, 5, クラウンアトラス,,石神深,205.6,,,,12,109.8,⑥⑨⑩,11, 8,Ｇステップアヘッド, 73,西村太, 3.2, 59,   0,  -5, 9, 27.5,⑫⑪⑫,11, 6,Ｉグランベラミ, 60,丸山元, 0.8, 59,  -2,*  5,11,119.6, ⑫⑫
12, 6,Ｉチタノティアラ, 39,丹内祐, 2.1, 32, -11,  -5,10, 57.1, ⑨⑪,12, 7, ノエルキャロル,,金子光,205.9,,,, 9, 43.1,⑪⑫⑪,12,11,Ｌマコトビジャｰチ, 54,菱田裕, 7.0, 34,   4, -44,11, 86.0,⑥⑥⑩,12,12,Ｈブラボｰランサｰ, 60,西田雄, 2.3, 48,*  7, -21,10, 73.8, ③③
