14年 3月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,常総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａチュウワベイビｰ, 66,蛯名正,, 60,*  3,  -9, 1,  1.8, ①①, 1,11,Ａディスキｰダンス, 64,蛯名正,, 75,  16,* -9, 1,  2.5,⑪⑨⑥, 1,13,Ｄダｰクシｰカｰ, 73,松岡正,, 69,  -3,   9, 1,  3.3, ⑤④, 1,10,Ｃバッドボｰイ, 80,和田竜,, 75,*  9,  -9, 3,  5.5,①①①
 2,11,Ｉプロトコル, 52,的場勇, 0.2, 56,  -1,  -7,16,479.7, ③④, 2,12,Ｉマイネルヴェルス, 49,柴田大, 0.3, 71,* 18, -24, 9, 47.4,④②①, 2,15,Ｃハヤブサフィｰバｰ, 73,蛯名正, 0.1, 69,  -4,  10, 2,  3.7, ⑦⑤, 2, 8,Ｉグランデスバル, 74,杉原誠, 0.0, 77,*  8,* -6, 6, 14.7,④③③
 3,16,Ｅヤマニンキュルミネ, 55,柴山雄, 0.2, 58,*  2,  -9, 4,  7.2, ②②, 3,14,Ｆウマンマミｰア, 54,和田竜, 0.7, 70,* 17,*-22, 5, 15.5,⑩⑧⑤, 3,10,Ｈフランチャイズ, 69,田辺裕, 0.2, 67,  -7,  11,10, 24.8, ⑪⑨, 3, 2,Ｌジャングルハヤテ, 74,津村明, 0.3, 73,   5,* -7, 9, 45.5,⑦⑥④
 4, 6,Ｆラインシャドｰ, 55,丸山元, 0.3, 53,  -9,*  0,11, 77.0, ⑨⑦, 4, 6,Ｄバスティｰド, 59,バルジ, 1.6, 61,  15, -33, 3,  7.6,⑦⑦⑧, 4,12,Ｇセトノブロッサム, 70,柴山雄, 0.2, 68, -14,* 17, 8, 18.8, ⑭⑭, 4, 1,Ｅダイワズｰム, 79,後藤浩, 0.8, 69,   5, -11, 5,  8.8,⑨⑧⑩
 5,10,Ｊオクリモノ, 50,柴田大, 0.4, 54,  -6,* -4, 9, 67.5, ⑧⑧, 5,16,Ｎショウナンアバロン, 40,津村明, 1.6, 63,  14, -29,14,259.8,⑨⑩⑨, 5, 2,Ｂヒカルソラフネ, 73,後藤浩, 0.3, 66,*  1,   3, 4,  8.0, ①①, 5,11,Ｂバロンドゥフォｰル, 81,蛯名正, 1.0, 66,   5, -14, 4,  6.5,⑧⑨⑦
 6, 5,Ｄシセイムゲン, 56,後藤浩, 0.4, 53,  -1,  -9, 3,  7.2, ④③, 6, 5,Ｍミッキｰウエルカム, 41,田辺裕, 1.9, 60,  14, -32, 4, 11.7,⑫⑪⑦, 6, 1,Ｆオリアｰナ, 70,田中勝, 0.4, 66,  -5,   8, 7, 15.9, ⑧⑧, 6, 7,Ａライズトゥフェイム, 83,田中勝, 1.0, 66,   4, -12, 1,  2.7,⑪⑩⑧
 7,15,Ｈスズカオｰショウ, 53,村田一, 1.1, 47, -10,  -6, 6, 21.0, ⑬⑮, 7,17,Ｇメガオパｰルカフェ, 53,後藤浩, 2.7, 55,* 18, -55, 6, 15.8,⑧③②, 7, 8,Ｋダンディｰソル, 66,長岡禎, 0.4, 66, -17,* 18,11, 38.5, ⑮⑮, 7, 9,Ｊアップルジャック, 74,西田雄, 1.3, 62,   5, -21,12,123.7,⑥⑦⑨
 8, 7,Ｃオニノシタブル, 62,田中勝, 1.1, 47,  -4, -11, 2,  5.5, ⑥⑥, 8, 2,Ｃダイワブレス, 59,シュタ, 2.8, 54,* 16, -55, 2,  2.8,⑥⑤④, 8, 3,Ｏヒヅグｰタス, 60,西田雄, 0.5, 66,  -8,  10,15,185.1, ⑨⑩, 8, 3,Ｄニシノジャブラニ, 79,田辺裕, 1.6, 60,   5, -25, 8, 25.3,⑤⑤⑥
 9,13,Ｂアルファエクサ, 63,丹内祐, 1.2, 47,  -8,  -8, 7, 22.6, ⑪⑩, 9, 8,Ｅウインドオブケン, 54,木幡初, 2.8, 55,   7, -28,10, 55.9,⑱⑰⑬, 9,16,Ｊドラゴンビュｰティ, 67,武士沢, 0.7, 63, -10,  10, 5, 12.1, ⑫⑫, 9, 6,Ｈダイワストリｰム, 77,柴田大, 1.6, 61,   6, -26, 7, 16.8,③④⑤
10, 2,Ｇサンアナハイム, 54,松岡正, 1.3, 45,  -4, -14, 5, 19.4, ⑤⑤,10, 7,Ｂヒラボクマキシム, 62,井上敏, 2.9, 53,   5,*-22, 8, 32.0,⑰⑱⑱,10, 5,Ａハイフロンティア, 73,杉原誠, 0.8, 62,  -7,   6, 6, 14.7, ⑩⑪,10, 5,Ｆロッカデバルディ, 78,シュタ, 1.6, 59,*  8, -31, 2,  4.8,②②②
11,14,Ｐエステｰミｰ, 28,岩部純, 1.7, 41, -17,* -4,13,252.6, ⑯⑯,11, 4,Ｏダベンポｰト, 39,大庭和, 3.8, 50,* 18, -71,12,121.8,①①③,11,14,Ｎアイディドゥイット, 60,丸山元, 1.1, 60, -14,  10,13, 93.1, ⑬⑬,11, 4,Ｇワｰルドブルｰ, 78,嶋田純, 2.2, 55,   2, -25,10, 84.2,⑩⑪⑪
12, 4,Ｎカフェテキｰラ, 47,横山義, 1.7, 40, -11, -11,12,125.3, ⑫⑪,12, 3,Ｈヘレン, 51,武士沢, 3.9, 49,   9, -45,11, 66.8,⑯⑯⑰,12, 9,Ｌリュウツバメ, 63,和田竜, 1.2, 60,*  0,  -5,14,124.8, ③③,12,12,Ｋシンボリボルドｰ, 74,木幡初, 2.8, 52,   1, -29,11, 89.3,⑫⑫⑫
13,12,Ｌクツワホｰムラン, 48,和田竜, 2.1, 40,  -3, -21,10, 68.0, ⑦⑨,13,15,Ｑコンテッサ, 36,柴山雄, 4.0, 49,  10, -53,15,260.9,⑮⑬⑪,13, 6,Ｉランザン, 68,柴田善, 1.5, 57,*  0,  -7, 3,  6.9, ②②,,,,,,,,,,,,
14, 9,Ｍエストデスティネ, 48,西田雄, 2.2, 36, -12, -14,15,475.5, ⑭⑬,14,13,Ｒカブト, 23,宮崎北, 5.3, 16,  10, -71,17,374.7,⑭⑭⑯,14,11,Ｐシゲルパッション, 41,木幡初, 1.8, 53, -19,   8,12, 86.8, ⑯⑯,,,,,,,,,,,,
15, 8,Ｏナリノサチ, 32,武士沢, 2.4, 35, -14, -13,14,428.8, ⑮⑫,15, 9,Ｌカミノアヴァロン, 43,西田雄, 5.6, 15,  10, -73,18,504.7,⑬⑮⑮,15, 4,Ｅタイキグラミｰ, 71,津村明, 2.0, 53,  -3,  -8, 9, 22.4, ⑥⑦,,,,,,,,,,,,
16, 3,Ｋスパイスフェアリｰ, 48,木幡初, 2.6, 33,  -9, -20, 8, 54.3, ⑩⑭,16, 1,Ｊチャンピオンパラオ, 49,田中勝, 6.6,  1,  16, ---, 7, 21.6,⑤⑥⑫,16, 7,Ｍフレイヤ, 61,井上敏, 2.0, 52,  -3,  -9,16,286.0, ④⑥,,,,,,,,,,,,
,,,,,,,,,,,,17,10,Ｐドクタｰジュンコ, 37,原田和, 6.7,  0,  13, -98,13,167.2,②⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,18,Ｋフレイムワンダｰ, 45,横山和, 7.0, -5,* 17, ---,16,307.8,③④⑩,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-20 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:重(指数:4),,,,,,,,,,,
"単勝:180円 複勝:01=110円 11=6,820円 16=230円 枠連:3,970円",,,,,,,,,,,,"単勝:250円 複勝:11=140円 12=790円 14=400円 枠連:4,450円",,,,,,,,,,,,単勝:330円 複勝:13=140円 15=140円 10=400円 枠連:450円,,,,,,,,,,,,単勝:550円 複勝:10=210円 08=380円 02=810円 枠連:590円,,,,,,,,,,,
