14年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾞﾚｲﾄﾌﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｉマコトカンパネッロ, 48,丹内祐,, 63,   2,*  2, 8, 17.7, ⑥⑥, 1, 8, オｰパルス,,横山義,,,,, 5, 11.9,①①①, 1, 7,Ｇハタノヴォラｰレ, 65,木幡初,, 65,  -4,*  9, 8, 32.5, ⑫⑪, 1,11,Ｆマイネルディｰン, 83,三浦皇,, 84,  12,*  2, 7, 20.3,⑨⑧⑨
 2, 6,Ｂフロｰラルダンサｰ, 57,黛弘人, 0.7, 58,   4,  -7, 3,  7.3, ⑤⑤, 2, 1, バルダメンテ,,高野和,196.6,,,, 7, 21.7,③③③, 2, 2,Ｂトｰセンミッション, 72,横山典, 0.1, 65,   4,   0, 4,  8.2, ⑤⑥, 2, 5,Ｂトｰセンマタコイヤ, 87,北村宏, 0.1, 84,  14,* -1, 1,  2.0,⑥⑦⑧
 3,11,Ｄアラマサル, 56,勝浦正, 0.7, 55,  -1,  -1, 5, 13.7, ⑨⑦, 3, 7, テｰオｰレジェンド,,西谷誠,196.6,,,, 1,  2.0,②②②, 3, 8,Ｆアトランタ, 66,武士沢, 0.1, 65,   4,   0, 3,  5.1, ⑥③, 3, 7,Ｅダイワリベラル, 84,柴田善, 0.3, 80,* 15, -10, 6, 19.5,③②②
 4,14,Ｅゼトス, 52,横山和, 0.8, 54,  -3,* -1, 2,  7.0, ⑬⑪, 4,10, レッドフォルツァ,,五十嵐,197.0,,,, 4,  6.6,⑥⑧⑦, 4,12,Ｈヨイチナデシコ, 63,吉田隼, 0.2, 64,   2,   1, 9, 88.1, ⑧⑧, 4, 4,Ｇリヤンドファミユ, 81,池添謙, 0.3, 81,  12,* -1, 3,  7.0,⑧⑩⑦
 4,16,Ａカネｰタ, 75,石川裕, 0.8, 58,*  7, -10, 1,  1.9, ④④, 5,11, トウケイゴｰルド,,黒岩悠,197.4,,,, 3,  6.0,⑦⑤⑤, 5,11,Ｉサンクタリリアス, 56,柴山雄, 0.4, 63,*  5,  -3, 7, 17.6, ③②, 5, 1,Ｃメイクアップ, 85,大野拓, 0.5, 79,* 15,  -9, 5, 16.1,⑤⑤④
 6, 9,Ｆジェロニモ, 51,北村宏, 0.9, 58,*  8, -12, 4, 10.1, ③③, 6, 4, タイヨウロマン,,金子光,198.0,,,,10,151.0,⑧⑥⑥, 6,13,Ｄイズモ, 68,石橋脩, 0.5, 63,*  5,  -4, 6,  9.8, ④⑤, 6,10,Ｌロジサンデｰ, 73,松岡正, 0.7, 79,  11,  -2,11,178.1,⑪⑪⑪
 7, 2,Ｊセンコウノマイヒメ, 44,長岡禎, 1.1, 52,  -3,  -3,14,161.4, ⑪⑫, 7, 3, オリオンザアルファ,,蓑島靖,198.6,,,, 2,  5.2,⑩⑩⑩, 7, 5,Ａキャピシｰヌ, 72,柴田善, 0.5, 59,  -4,*  4, 5,  8.5, ⑪⑨, 7,13,Ａシャドウダンサｰ, 87,田中勝, 0.8, 76,  13, -12, 2,  3.4,⑦⑥⑥
 8, 5,Ｈオルティラアスｰル, 49,三浦皇, 1.3, 55,*  9, -16, 6, 15.2, ①①, 8,14, レアｰレスパｰダ,,浜野谷,198.7,,,, 6, 16.2,④④④, 8, 9,Ｃスマｰトカルロス, 71,池添謙, 0.6, 62,*  7,  -6, 2,  3.9, ②①, 8, 6,Ｈマイネルマｰク, 78,柴田大, 0.9, 76,* 15, -17,10, 44.9,④③⑤
