14年 4月20日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月20日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2750m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雪うさぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂアマアマ, 62,松田大,, 52,*-10,   4, 3,  6.1, ③③, 1, 8, エクセリオン,,浜野谷,,,,, 6, 16.8,④①①, 1, 6,Ｂブルｰメリディアン, 74,小崎綾,, 72,  -2,* 25, 2,  6.0,⑮⑮⑫, 1, 6,Ｄテイエムチュラッコ, 66,藤懸貴,, 66,* -2,   1, 8, 18.4, ①①
 2, 6,Ａヤマニンキュルミネ, 63,柴山雄, 0.0, 52,* -8,   2, 2,  3.2, ①①, 2, 4, ドンクｰガｰ,,難波剛,184.1,,,, 5,  9.1,⑨⑨⑥, 2, 8,Ａトゥザレジェンド, 78,吉田隼, 0.1, 71,   1,* 17, 1,  1.8,⑧⑧⑥, 2,15,Ｇクリノコマチ, 64,中舘英, 0.0, 66,  -6,   5, 4,  5.9, ⑦⑦
 3, 4,Ｃスペクタキュラｰ, 61,大野拓, 0.1, 51, -12,   4, 1,  2.7, ⑤⑤, 3, 7, マイティｰアゲン,,高野和,184.3,,,, 8, 20.9,⑫⑦④, 3,10,Ｅアルティメイトラブ, 71,黛弘人, 0.8, 64,*  4,   7, 4,  9.7,②②①, 3, 9,Ａワキノコクリュウ, 66,吉田隼, 0.1, 64,  -8,   5, 1,  4.1, ⑧⑨
 4,16,Ｉイタリアンフェッテ, 52,木幡初, 0.1, 52, -13,*  6, 8, 20.2, ⑦⑦, 4, 3, レアｰレスパｰダ,,金子光,184.5,,,, 3,  4.8,⑥⑤③, 4,11,Ｆエルシェロアスｰル, 69,津村明, 1.0, 63,*  4,   5, 6, 16.9,④③②, 4,16,Ｂツクバジャパン, 66,古川吉, 0.1, 64,  -8,   5, 2,  4.8, ⑨⑩
 5, 3,Ｅヴォランテ, 58,藤懸貴, 0.3, 50, -15,*  6,10, 29.1, ⑧⑧, 5,11, サルジェンツチェリ,,五十嵐,184.5,,,, 1,  4.1,⑩⑪⑦, 5, 2,Ｈエンドレスラヴ, 67,宮崎北, 1.1, 64,   1,   8,10, 31.0,③⑦⑦, 5,14,Ｈキョウエイボヌｰル, 63,二本柳, 0.1, 65, -12,*  9,12, 50.8, ⑬⑭
 6, 7,Ｈカプチｰノ, 54,西田雄, 0.4, 48, -14,   4, 7, 18.9, ⑨⑨, 6, 2, オリオンザアルファ,,蓑島靖,185.3,,,, 2,  4.1,⑦⑩⑪, 6,15,Ｉマレンカヤ, 66,杉原誠, 1.1, 64,  -1,  14,14,214.0,⑬⑭⑪, 6, 3,Ｊフレンチフェロｰ, 61,嘉藤貴, 0.2, 64,  -6,   3,13, 56.2, ⑥⑤
 7,15,Ｆダｰエ, 57,伊藤工, 0.4, 47, -12,   2, 5, 16.1, ⑥⑥, 7, 1, クレバｰベスト,,森一馬,185.6,,,, 4,  5.9,⑤②②, 7, 7,Ｄダブルファンタジｰ, 71,古川吉, 1.2, 61,   2,   6, 9, 28.7,⑤⑤④, 7, 4,Ｋヴィスビｰ, 60,村田一, 0.2, 63,  -7,   2, 9, 22.2, ⑤④
 8, 9,Ｍアテンション, 36,丹内祐, 0.5, 48, -18,*  7,11, 80.8, ⑪⑪, 8,12, ブラックシャリオ,,黒岩悠,185.7,,,,10, 39.6,⑧⑥⑤, 8, 1,Ｌフィｰルザロマンス, 61,長岡禎, 1.4, 61,  -1,   9,11, 94.8,⑦⑪⑨, 8,10,Ｅアブソリュカフェ, 65,藤岡康, 0.2, 64, -12,*  7, 3,  5.3, ⑫⑫
