14年10月18日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年10月18日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2750m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 4R  芝2750m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,天童特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, カリスマミッキｰ,,熊沢重,,,,, 1,  1.8,③①①, 1,10, カントリｰスノｰ,,原田和,,,,, 2,  3.4,⑤②②, 1, 6,Ｈシニョリｰナ, 64,黛弘人,, 66,   1,   1,12, 34.6, ⑨⑨, 1, 9,Ｆワキノコクリュウ, 66,吉田隼,, 71,* 10,  -1, 2,  6.8, ②②
 2, 5, ホッコｰゼニト,,難波剛,179.0,,,, 2,  5.6,⑨⑦④, 2, 9, ホクレア,,高野和,180.8,,,, 1,  2.5,②①①, 2, 7,Ｌビップイシマツ, 62,松田大, 0.1, 67,   6,  -6, 8, 15.9, ⑤④, 2, 5,Ｅサンキストロｰド, 67,古川吉, 0.0, 71,   2,   7, 3,  6.9, ⑦⑥
 3,13, レッドグルｰヴァｰ,,高田潤,179.0,,,, 5, 14.7,①②②, 3, 1, エトラ,,佐久間,183.2,,,,12, 95.3,⑦⑥⑥, 3, 8,Ｂミッキｰマンデｰ, 68,熊沢重, 0.2, 62,  -6,   5, 4, 11.4, ⑭⑭, 3, 8,Ｇケントヒｰロｰ, 66,岩崎翼, 0.0, 72,   6,   3, 8, 15.1, ⑤③
 4, 4, カシノデュｰク,,蓑島靖,179.2,,,, 6, 18.9,⑦③③, 4, 2, ツクバヤマノオｰ,,横山義,183.3,,,, 8, 26.8,④⑤③, 4,16,Ｃスピｰドルｰラｰ, 68,西田雄, 0.2, 66,*  9, -10, 5, 13.7, ④③, 4,10,Ｌオフェｰリアシチｰ, 63,藤懸貴, 0.2, 69,* 10,  -3,11, 37.0, ①①
 5, 3, オベロン,,五十嵐,179.3,,,, 4,  9.9,⑧⑨⑦, 5,11, テイエムオドロキ,,小坂忠,183.4,,,,11, 68.3,⑨⑦⑦, 5,14,Ｉベイビｰイッツユｰ, 64,丸田恭, 0.2, 60, -14,* 13,14, 54.8, ⑮⑮, 5,15,Ｂマイネヴァリエンテ, 70,丹内祐, 0.2, 70,  -3,  10, 1,  2.4, ⑪⑩
 6,12, ビコｰピリラニ,,田村太,179.9,,,,14,135.6,⑩⑩⑩, 6, 3, トｰセンエスプリ,,浜野谷,183.4,,,, 7, 18.8,⑧⑧⑧, 6, 1,Ａノｰブリｰ, 68,津村明, 0.3, 61,  -2,   0, 6, 13.7, ⑩⑪, 6, 6,Ｉアスペンサミット, 65,丸田恭, 0.2, 68, -10,* 17, 4, 12.2, ⑫⑫
 7, 8, リアルブラック,,林満明,180.3,,,,11, 56.4,②④⑤, 7,12, ラノララク,,小野寺,184.9,,,, 6, 16.1,①③⑤, 7,15,Ｎアポロデイライト, 61,丸山元, 0.3, 63,   5,  -7,10, 25.5, ⑦⑧, 7,13,Ｄリネンヴィヴィッド, 68,西田雄, 0.3, 67,  -4,   9,14, 67.2, ⑩⑪
 8,11, チョイワルグランパ,,白浜雄,180.4,,,, 3,  6.8,④⑥⑨, 8, 8, プコナコナ,,蓑島靖,187.5,,,,13, 99.8,⑩⑩⑩, 8,11,Ｋキョウエイダルク, 63,木幡初, 0.4, 63,   6, -10,11, 26.3, ⑥⑦, 8, 3,Ｈマジカルビアンカ, 66,小崎綾, 0.6, 64,   1,   1,10, 36.0, ⑨⑨
 9, 1, ウォンテッド,,西谷誠,180.4,,,, 9, 31.3,⑫⑫⑪, 9,13, クラウンビション,,大江原,189.0,,,,10, 56.7,⑥⑨⑨, 9, 4,Ｐドリｰムマｰクス, 50,原田和, 0.4, 60,  -2,  -2, 7, 15.4, ⑪⑩, 9,14,Ｋハプスブルク, 63,杉原誠, 0.7, 63,   4,  -3,16,102.8, ⑧⑧
10, 7, テｰオｰゼウス,,佐久間,180.6,,,, 7, 25.9,⑥⑤⑥,10, 7, フレンドワン,,鈴木慶,191.5,,,, 9, 39.5,⑪⑪⑪,10,10,Ｅインヴォｰク, 67,小崎綾, 0.5, 63,*  9, -14, 3,  7.9, ②②,10,11,Ｃシセイカスガ, 68,松田大, 0.8, 63, -13,* 13, 9, 19.2, ⑬⑬
11, 9, エムエムベレッタ,,浜野谷,181.0,,,,12, 72.7,⑤⑧⑧,,,,,,,,,,,,,11, 9,Ｇモエレマリｰア, 66,長岡禎, 0.5, 59,  -2,  -3,15, 89.7, ⑫⑬,11, 7,Ｎメイショウアサツユ, 61,高倉稜, 0.9, 60,   6,  -9, 7, 13.9, ④⑤
12, 2, サンマルボス,,高野和,182.0,,,,13, 87.4,⑪⑪⑫,,,,,,,,,,,,,12, 2,Ｆダイヤモンドハイ, 66,武幸四, 0.6, 60,   2,  -8, 1,  2.9, ⑧⑥,12,12,Ｏヴィスビｰ, 60,村田一, 1.0, 58,   6, -10,15, 77.4, ⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｄテツナゴオ, 67,井上敏, 0.6, 57,  -5,  -2,16,108.6, ⑬⑫,13,16,Ｍアブソリュカフェ, 62,武幸四, 1.2, 56,*  9, -15, 5, 12.9, ③④
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｏメイショウカイモン, 57,村田一, 0.6, 56, -18,* 11,13, 34.7, ⑯⑯,14, 1,Ｊヘイハチスカイ, 64,柴山雄, 1.2, 56, -18,* 12,12, 40.4, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｊタカラジェニファ, 64,丹内祐, 0.8, 59,*  9, -18, 2,  4.9, ①①,15, 2,Ｐダイヤハｰト, 52,黛弘人, 2.2, 43, -25,   5,13, 55.3, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｍヨゾラニネガイヲ, 61,松若風, 1.0, 55,*  7, -19, 9, 21.2, ③⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,
単勝:180円 複勝:06=110円 05=130円 13=330円 枠連:560円,,,,,,,,,,,,"単勝:340円 複勝:10=130円 09=120円 01=1,800円 枠連:410円",,,,,,,,,,,,"単勝:3,460円 複勝:06=1,180円 07=610円 08=340円 枠連:1,470円",,,,,,,,,,,,"単勝:680円 複勝:09=240円 05=190円 08=370円 枠連:1,210円",,,,,,,,,,,
