14年11月30日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年11月30日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1900m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蹴上特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａヒラボククラウン, 66,三浦皇,, 63,*  3,   0, 1,  1.7, ①①, 1,11, アップトゥデイト,,林満明,,,,, 1,  1.8,②②①, 1,17,Ｅベアトリッツ, 75,松若風,, 82,   0,* 21, 1,  2.7, ⑮⑮, 1, 7,Ｆアｰバンレジェンド, 80,菱田裕,, 84,   8,* 13, 8, 27.4,⑪⑫⑨
 2,16,Ｋセイユニコｰン, 47,松田大, 1.0, 54,  -4,  -3,16,172.3, ⑧⑧, 2,13, サンライズロイヤル,,植野貴,212.7,,,, 2,  2.9,③③②, 2, 4,Ｃヴィンテｰジロｰズ, 77,小牧太, 0.0, 82,   5,* 15, 5, 10.1, ⑨⑧, 2,10,Ｍチェスナットバロン, 75,小牧太, 0.2, 83,   8,* 12,12, 70.2,⑬⑬⑬
 3,12,Ｆスｰパｰノヴァ, 53,藤岡佑, 1.0, 53, -13,*  6, 7, 21.1, ⑯⑭, 3, 4, アルトゥバン,,黒岩悠,213.3,,,, 5, 14.8,⑥⑥⑥, 3,11,Ａガルデルスリｰル, 78,小崎綾, 0.0, 78,* 13,  -1, 2,  6.4, ①①, 3, 1,Ａタガノビリｰヴィン, 86,武幸四, 0.2, 83,* 11,   6, 1,  2.5,②③③
 4,11,Ｅカネトシバリアント, 54,松山弘, 1.1, 53,  -1,  -6,10, 42.0, ⑤⑤, 4,10, ウォンテッド,,小坂忠,213.6,,,, 8, 62.8,⑤⑤⑤, 4, 5,Ｏディライトフル, 64,北村友, 0.1, 79,   7,   8, 9, 24.5, ⑥⑦, 4, 8,Ｄショｰグン, 81,四位洋, 0.5, 83,* 11,   4, 3,  6.7,⑦⑤④
 5,14,Ｈシｰトライアル, 52,和田竜, 1.2, 53,  -9,*  1, 8, 29.3, ⑬⑬, 5, 2, トｰセンプラチナ,,横山義,214.1,,,,10, 73.4,④④③, 5, 9,Ｂリヴィエｰル, 77,菱田裕, 0.5, 74,   9,  -1, 4,  9.1, ⑦⑥, 5, 2,Ｂセイスコｰピオン, 84,国分優, 0.6, 79,  10,   4, 2,  4.7,④⑧⑥
 6, 2,Ｇサウスリバティｰ, 52,酒井学, 1.2, 52,  -3,  -5, 6, 20.2, ⑦⑥, 6, 7, エリタｰジュ,,難波剛,214.2,,,,11, 92.0,①①④, 6, 3,Ｆアドマイヤウイング, 74,和田竜, 0.5, 76,   3,  11, 7, 13.5, ⑫⑪, 6,12,Ｅマイネルハルカゼ, 80,内田博, 0.7, 78,* 12,   0, 7, 21.5,③②②
 7, 6,Ｄタイキオｰルブルｰ, 57,内田博, 1.4, 51,*  1, -11, 2,  4.7, ②②, 7, 5, テイエムセイリュウ,,平沢健,215.5,,,, 9, 70.9,⑩⑦⑦, 7,10,Ｊタニノタキシｰド, 69,藤岡康, 0.6, 74,   3,   8,13, 46.9, ⑩⑩, 6, 4,Ｌタンスチョキン, 75,古川吉, 0.7, 80,   8,   7,11, 45.8,⑫⑪⑧
 8, 7,Ｃワンラヴワンハｰト, 58,義英真, 1.4, 49,  -6,  -5, 5, 18.6, ⑩⑨, 8, 9, セイエイ,,高野和,215.6,,,, 7, 61.3,⑦⑨⑧, 8,15,Ｈダイナミックウオｰ, 71,岡田祥, 0.7, 70,  11,  -8,15, 65.8, ⑤④, 8, 5,Ｃメイショウドゥｰマ, 83,藤岡康, 0.7, 80,   8,   9, 9, 27.9,⑮⑭⑫
 9, 3,Ｌオイルタウン, 44,幸英明, 1.4, 51,  -8,  -2,15,143.0, ⑫⑫, 9, 3, スズカマジェスタ,,北沢伸,216.1,,,, 6, 19.1,⑨⑧⑩, 9, 8,Ｐボｰジェスト, 63,ビュイ, 0.7, 71,* 13, -10, 3,  7.8, ③③, 9, 6,Ｏロｰレルアルトス, 73,丸山元, 0.9, 78,   8,   7,15,165.5,⑨⑮⑮
10,10,Ｊワンダｰグロワｰル, 48,国分優, 1.6, 48,  -6,  -7,14, 81.0, ⑨⑩,10,12, クリノテンペスタ,,草野太,217.0,,,,12,119.0,⑪⑩⑨,10,16,Ｉスペランツァデｰア, 70,藤岡佑, 0.8, 71,   3,   6,14, 54.6, ⑬⑫,10,15,Ｇヴァンヘルシング, 77,小崎綾, 1.2, 76,  10,   0,10, 29.5,⑧⑥⑦
11, 1,Ｉメッサｰウイング, 52,菱田裕, 1.8, 47,   0, -13, 4, 14.0, ④④,11, 1, エムエムベレッタ,,浜野谷,217.9,,,,13,120.4,⑧⑪⑪,11, 2,Ｍガｰトルｰド, 66,三浦皇, 0.8, 72,   4,   3, 8, 19.9, ⑧⑨,11,11,Ｊサトノバリアント, 76,池添謙, 1.3, 73,* 11,  -3, 4,  6.8,⑥④⑤
12,15,Ｂエンデヴァｰ, 58,ビュイ, 1.9, 45, -12,  -3, 3, 13.4, ⑮⑯,,,,,,,,,,,,,12, 1,Ｒマイアミムｰン, 58,高田潤, 1.0, 70,   2,   5,16,209.1, ⑪⑭,12, 3,Ｋアイソレｰション, 75,三浦皇, 1.8, 71,   9,  -4, 6, 16.6,⑤⑨⑩
13,13,Ｎメイショウケイウン, 30,松若風, 2.9, 37, -10, -14,11, 45.0, ⑭⑮,,,,,,,,,,,,,13,13,Ｄゴｰスルｰ, 76,城戸義, 1.2, 65,* 13, -18,11, 38.5, ④②,13,13,Ｈハッピｰエム, 77,小坂忠, 2.0, 69,* 12, -12, 5, 13.6,①①①
14, 8,Ｍジョウショｰチカラ, 44,藤田伸, 2.9, 37,  -8, -17, 9, 31.6, ⑪⑪,,,,,,,,,,,,,14,12,Ｇダンツクロノス, 73,藤田伸, 1.4, 65,   0,   2, 6, 12.6, ⑰⑰,14, 9,Ｎマイネルボンド, 73,和田竜, 2.3, 69,   9,  -9,13,102.8,⑩⑩⑪
15, 4,Ｐヴァルディスｰザ, 15,小牧太, 3.1, 35,  -3, -23,12, 45.9, ⑥⑦,,,,,,,,,,,,,15,18,Ｑシャイボｰイ, 59,柴田未, 1.7, 62,   0,  -2,17,345.4, ⑭⑯,15,14,Ｉメイショウサリマン, 77,藤岡佑, 2.9, 63,   9, -13,14,148.2,⑭⑦⑭
16, 9,Ｏパｰプルドリｰム, 23,小坂忠, 3.3, 33,*  1, -28,13, 62.5, ③③,,,,,,,,,,,,,16,14,Ｌグラｰネ, 67,四位洋, 1.9, 59,   2,  -8,10, 25.6, ⑯⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｋラガｰギアチェンジ, 68,岩崎翼, 2.7, 50,  11, -36,12, 40.3, ②⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-4),,,,,,,,,,,
"単勝:170円 複勝:05=110円 16=1,940円 12=440円 枠連:630円",,,,,,,,,,,,単勝:180円 複勝:11=110円 13=110円 04=210円 枠連:230円,,,,,,,,,,,,単勝:270円 複勝:17=130円 04=260円 11=210円 枠連:660円,,,,,,,,,,,,"単勝:2,740円 複勝:07=520円 10=1,870円 01=140円 枠連:6,230円",,,,,,,,,,,
"馬連:14,740円 ワイド:05-16=4,300円 05-12=650円 12-16=29,750円",,,,,,,,,,,,馬連:210円 ワイド:11-13=140円 04-11=500円 04-13=470円,,,,,,,,,,,,"馬連:1,560円 ワイド:04-17=570円 11-17=400円 04-11=1,210円",,,,,,,,,,,,"馬連:63,700円 ワイド:07-10=17,780円 01-07=1,200円 01-10=3,640円",,,,,,,,,,,
"馬単:20,420円 3連複:62,410円 3連単:272,310円",,,,,,,,,,,,"馬単:320円 3連複:700円 3連単:1,800円",,,,,,,,,,,,"馬単:2,240円 3連複:3,410円 3連単:13,330円",,,,,,,,,,,,"馬単:103,850円 3連複:53,150円 3連単:558,180円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ｵｰﾀﾑﾘｰﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
