14年 3月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,武庫川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄサトノスパｰクル, 55,岩田康,, 62,*  1,*  0, 2,  3.3, ②②, 1,13, エイシンゴｰジャス,---,浜中俊,, 71,*  4,*  1, 1,  1.4, ③③, 1, 8,Ｄオメガセニョリｰナ, 69,浜中俊,, 68,  -7,* 13, 2,  3.4, ⑦⑧, 1, 2,Ｉマウントシャスタ, 69,浜中俊,, 87,  -3,* 17, 2,  3.4, ⑤⑥
 2, 3,Ｂテイエムロカビリｰ, 61,岩崎翼, 0.1, 60,  -2,*  1, 5, 14.0, ③③, 2, 6, メモリｰレｰン,---,松山弘, 0.1, 71,*  6,  -1, 4, 16.1, ①①, 2,12,Ｇエイユｰラピス, 67,藤田伸, 0.1, 67,* -3,   7, 3, 10.1, ①①, 2, 1,Ａオリｰビン, 85,武豊  , 0.1, 84,  -1,  14, 1,  2.7, ③④
 3, 4,Ａライロア, 63,北村友, 0.3, 60,  -3,*  2, 1,  2.2, ⑤⑤, 3,15, レッドフェザｰ,---,岩田康, 0.4, 66,  -2,*  4, 8, 32.9, ⑥⑤, 3,14,Ｂオリアｰナ, 69,古川吉, 0.3, 65,  -6,   8, 4, 11.5, ④③, 3, 9,Ｄガイヤｰスヴェルト, 81,ペドロ, 0.1, 84,   0,  13, 3,  5.9, ④③
 4, 2,Ｃヒャクバイガエシ, 56,藤岡康, 0.7, 56,*  2,  -7, 3,  9.1, ①①, 4, 3, ウインゴスペル,---,ペドロ, 1.0, 61,   2,  -6, 6, 30.2, ④④, 4, 4,Ａセトノミッシｰ, 73,川須栄, 0.3, 68,  -8,* 13, 1,  2.2, ⑨⑪, 4, 8,Ｂロｰドガルｰダ, 82,岩田康, 0.3, 80,*  1,   7, 4,  6.8, ②②
 5, 1,Ｌセフティｰエムアイ, 44,大下智, 0.8, 55,  -6,  -1,12,151.8, ⑩⑨, 5, 9, アンゴスチュラ,---,川田将, 1.4, 59,*  5, -12, 2,  7.6, ②②, 5,10,Ｅテラノココロ, 68,松田大, 0.4, 65,  -5,   8, 9, 43.0, ⑤⑤, 5, 6,Ｃメイショウヤタロウ, 81,藤田伸, 0.3, 85,  -4,* 17, 5,  8.4, ⑧⑨
 6,14,Ｇメイショウゲキテキ, 48,和田竜, 1.0, 54,  -2,  -6, 4, 10.6, ④④, 6,16, ウォｰタｰワルツ,---,菱田裕, 1.9, 50,  -8,  -4,11,142.9, ⑩⑩, 6, 6,Ｃクロカミノオトメ, 69,中井裕, 0.5, 65,  -8,  10, 5, 12.7, ⑪⑩, 6, 3,Ｇニシノビｰクイック, 75,幸英明, 0.3, 84,  -3,  14, 8, 28.1, ⑥⑦
 7, 9,Ｆサｰジェントペパｰ, 51,城戸義, 1.1, 51,  -9,  -1,11,110.2, ⑭⑪, 7, 8, エアルｰヴル,---,バルジ, 1.9, 53,  -4,  -7, 7, 32.8, ⑦⑥, 7, 2,Ｆボストンビリｰヴ, 67,国分優, 0.7, 63, -12,* 13, 8, 33.9, ⑬⑭, 7, 5,Ｅダロｰネガ, 79,北村友, 0.5, 80,  -2,   8, 6, 13.6, ⑦⑤
 8,15,Ｅヤマカツサユリ, 55,松若風, 1.4, 49,  -5,  -7, 8, 25.5, ⑨⑥, 8,10, ビリｰバロｰズ,---,小牧太, 2.2, 51,  -4, -10,10, 51.3, ⑤⑦, 8,11,Ｌリオグランデ, 60,岩田康, 0.7, 64,  -8,   9, 6, 13.8, ⑩⑨, 8, 7,Ｆアナバティック, 76,四位洋, 0.5, 75,*  4,   0, 7, 26.1, ①①
 9, 8,Ｋシゲルウゴ, 46,幸英明, 1.4, 50,  -6,  -7, 9, 29.9, ⑪⑦, 9, 2, ヒシエクストリｰム,---,秋山真, 2.3, 47, -12,  -3, 3,  8.5, ⑪⑫, 9, 5,Ｉスリｰネイチャｰ, 65,水口優, 0.9, 62, -11,  10,12, 86.9, ⑫⑬, 9, 4,Ｈアイウォントユｰ, 69,国分恭, 1.3, 69,  -4,   1, 9,119.1, ⑨⑧
10,13,Ｈプロミシングアイズ, 48,菱田裕, 1.5, 47, -10,  -4, 7, 18.4, ⑬⑭,10,14, シャンディロメラ,---,幸英明, 2.4, 49,  -5, -10, 5, 23.7, ⑨⑨,10, 3,Ｋスカイグラフィティ, 64,バルジ, 1.0, 59,  -7,   3,10, 49.1, ⑥⑦,,,,,,,,,,,,
11,11,Ｍフクイル, 41,バルジ, 1.6, 49,  -6,  -6, 6, 16.9, ⑫⑫,11, 7, カポｰル,---,北村友, 2.5, 46, -12,  -4,12,151.8, ⑫⑪,11, 7,Ｈディレットリｰチェ, 66,松山弘, 1.3, 57,  -8,   1, 7, 22.0, ⑧⑥,,,,,,,,,,,,
12, 7,Ｉハｰドモンラッシェ, 47,畑端省, 1.8, 46,  -6, -10,14,233.4, ⑦⑧,12, 4, カリスマベガ,---,義英真, 2.6, 46,  -5, -12, 9, 48.2, ⑧⑧,12, 1,Ｍアルテミシア, 59,幸英明, 1.5, 57, -10,   3,14,125.0, ⑭⑫,,,,,,,,,,,,
13,10,Ｊワンダｰエタｰナル, 46,武幸四, 2.5, 41, -11, -10,10, 90.4, ⑮⑮,13, 5, ロックショｰ,---,鮫島良, 3.0, 43, -15,  -6,13,211.7, ⑬⑬,13, 9,Ｎメイショウブリエ, 55,太宰啓, 1.6, 57,  -5,  -3,13,105.6, ③④,,,,,,,,,,,,
