14年 8月10日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 8月10日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｼｮｳｶｲﾄﾞｳｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂオｰルオブユｰ, 58,松山弘,, 56,*  8, -10, 2,  3.4, ①①, 1, 5, リアルブラック,,林満明,,,,, 1,  1.9,①①①, 1, 8,Ｃピエｰルドリュヌ, 58,浜中俊,, 71,*  8,*  3, 3,  5.5,④③③, 1,11,Ｉゴｰルデンムｰン, 70,浜中俊,, 75,   1,   8, 4, 10.6, ⑥⑦
 2, 8,Ｉカシノマッハ, 40,鮫島良, 0.0, 53,  -1,* -1, 8, 60.1, ⑦⑥, 2, 2, ウインアルカディア,,熊沢重,196.9,,,, 2,  2.6,②②②, 2, 5,Ａハイプレッシャｰ, 63,松若風, 0.1, 72,   5,*  9, 2,  3.7,⑪⑧⑦, 2, 8,Ａキンシノキセキ, 75,小牧太, 0.0, 76,  -6,* 14, 2,  3.5, ⑧⑧
 3, 5,Ｄデンコウハシャ, 48,浜中俊, 0.1, 52,   3,  -6, 4,  6.8, ⑤④, 3, 4, グッドスピｰド,,小坂忠,197.7,,,, 3,  4.1,③④③, 3, 7,Ｉサンライズジャパン, 54,幸英明, 0.1, 72,   4,* 10, 8, 21.0,⑩⑩⑥, 3, 9,Ｄケイアイユニコｰン, 74,小坂忠, 0.1, 74,  -4,  10, 6, 12.1, ⑦④
 4, 1,Ａマイネルレハイム, 59,幸英明, 0.2, 52,   5,  -9, 3,  4.6, ④③, 4, 3, アマクサハイヤ,,難波剛,197.8,,,, 5, 31.9,④③④, 4, 9,Ｅグレｰトアイランド, 56,川田将, 0.3, 69,   5,*  5, 1,  2.8,⑦⑦⑤, 4, 7,Ｃアドマイヤクｰガｰ, 74,川田将, 0.5, 71, -13,* 14, 5, 11.2, ⑪⑪
 4, 7,Ｇナンシｰ, 41,国分恭, 0.2, 50,   0,  -3,10,102.2, ⑧⑧, 5, 1, メイショウアラワシ,,植野貴,198.4,,,, 4, 13.0,⑤⑤⑤, 5,16,Ｇメイショウダンロ, 56,武幸四, 0.7, 67,*  8,  -5, 6, 14.6,⑥④④, 5, 1,Ｋデンコウデア, 64,武幸四, 0.6, 69,   0,   0, 8, 24.1, ⑤⑤
 6,15,Ｊスナｰクエンジェル, 38,高倉稜, 0.3, 48,  -4,* -1,13,200.3, ⑫⑫,,,,,,,,,,,,, 6, 1,Ｄエイユｰチャキｰラ, 58,国分恭, 0.8, 64,* 11, -13, 9, 27.7,①①①, 6, 5,Ｆヒカリトリトン, 72,酒井学, 0.6, 68,  -9,   9, 9, 63.3, ⑨⑨
 7,10,Ｆニホンピロラプタｰ, 44,松若風, 0.4, 45,  -5,* -3, 6, 18.5, ⑪⑦,,,,,,,,,,,,, 7, 4,Ｌスマイルユニバンス, 50,岩崎翼, 1.2, 61,   4,  -2,14,112.9,⑫⑫⑨, 7, 6,Ｊアイビｰフォｰルド, 68,松山弘, 0.8, 66, -10,   8,10, 84.0, ⑩⑩
 8,16,Ｅクインズロンペｰル, 47,和田竜, 0.7, 43,  -1, -10, 5, 13.9, ⑨⑩,,,,,,,,,,,,, 8,18,Ｆキュｰクッキング, 56,熊沢重, 1.7, 56,   4,  -9, 5, 14.3,⑭⑭⑩, 8,10,Ｅラｰストチカ, 73,藤岡佑, 1.0, 62,   3,  -8, 7, 14.0, ④③
