14年12月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年12月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,赤穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｊフィｰルドスラッピ, 44,太宰啓,, 67,  -3,*  7, 7, 29.7, ⑦⑦, 1,13,Ｆアイファｰサンディ, 53,尾島徹,, 66, -14,* 15, 4,  7.7, ⑬⑫, 1, 3, アダムスブリッジ,---,和田竜,, 67, -31,* 27, 2,  3.3,⑥⑥⑥, 1,13,Ａアムｰルブリエ, 87,浜中俊,, 85,   5,* 21, 2,  3.9,⑩⑦⑦
 2,15,Ａオリエンタルダンス, 61,浜中俊, 0.7, 63,*  3,  -6, 1,  1.5, ①①, 2, 5,Ａウェｰブキング, 61,岩田康, 0.0, 61,  -9,   5, 1,  2.6, ④⑥, 2, 8, アレスバロｰズ,---,浜中俊, 0.1, 63, -29,  23, 4,  5.4,⑤⑤⑤, 2, 2,Ｈロｰドフォワｰド, 80,北村友, 0.4, 80,   6,  16, 5,  7.7,③⑤⑤
 3,14,Ｅサンマルメジャｰル, 56,和田竜, 1.0, 60,*  1,  -7, 6, 27.7, ③③, 3, 2,Ｅテイエムクロタカ, 55,川須栄, 0.2, 56,* -5,  -4, 6, 22.2, ①①, 3, 2, ケンブリッジナイン,---,北村友, 0.3, 57,*-26,  14, 6, 26.1,②②②, 3,11,Ｄシュミット, 84,岩田康, 0.5, 80,   6,  16, 1,  3.9,⑤⑥⑥
 4, 9,Ｄデンコウコハク, 56,国分恭, 1.4, 54,   0,  -9, 8, 31.1, ⑥⑥, 4,10,Ｉウインガニオン, 49,国分恭, 0.4, 58, -10,   3, 5,  8.6, ⑨⑨, 4, 7, レｰヴミストラル,---,岩田康, 0.3, 64, -31,  24, 1,  2.6,⑦⑦⑦, 4, 7,Ｋダノンクリエｰタｰ, 77,福永祐, 0.6, 78,*  7,  12, 4,  7.5,①②②
 5, 4,Ｐイノチクレナイ, 30,岡田祥, 1.8, 53,   0, -12,15,305.0, ⑤⑤, 5,12,Ｂテイエムシャンパン, 60,小林徹, 0.6, 58, -15,*  8, 8, 26.4, ⑭⑬, 5, 1, トｰコｰリバｰス,---,小牧太, 0.5, 56,*-27,  13, 5, 14.5,③③③, 5, 8,Ｂスズカルパン, 84,和田竜, 0.6, 81,   5,  17, 7, 14.3,⑨⑨⑨
 6, 2,Ｂタキオンレディｰ, 57,花田大, 1.8, 48,  -7,  -6, 3,  8.2, ⑩⑪, 6, 8,Ｄオマケ, 55,北村友, 0.6, 55, -10,   1, 9, 27.5, ⑥⑧, 6, 5, アイファｰラブオｰ,---,藤懸貴, 0.6, 51,*-25,   7, 8, 83.6,①①①, 6, 5,Ｃソルモンタｰレ, 84,荻野琢, 0.7, 80,   2,* 21, 8, 19.2,⑭⑭⑪
 7, 3,Ｇサクラティンクル, 46,福永祐, 2.1, 45, -10,  -6, 4, 13.4, ⑫⑫, 7,18,Ｐアドマイヤロワ, 34,福永祐, 0.6, 56, -13,   5, 2,  4.4, ⑪⑪, 7, 9, ドリｰムタイド,---,福永祐, 1.3, 44,*-27,   1, 3,  4.2,④④④, 7, 4,Ｉアナザｰバｰジョン, 78,国分優, 0.9, 77,   5,  14, 3,  6.0,⑧⑧⑧
 8,11,Ｃエイシンアンティｰ, 56,岩田康, 2.1, 48,   0, -16, 2,  4.6, ④④, 8,15,Ｇノウゼンハレン, 52,太宰啓, 0.8, 56, -17,*  8,12, 69.8, ⑯⑮, 8, 4, ヤマニントライブ,---,藤田伸, 1.5, 48, -31,   8, 7, 27.7,⑧⑧⑧, 8,14,Ｏバイオレットアロｰ, 73,太宰啓, 1.0, 77,   6,  11,14,134.8,④④④
 9,16,Ｆチトセチヨ, 46,尾島徹, 2.3, 46,  -5, -10, 9, 41.2, ⑪⑩, 9, 6,Ｑステｰジダイブ, 30,和田竜, 0.8, 53, -13,   0, 7, 23.8, ⑩⑩,,,,,,,,,,,,, 9,10,Ｇナンヨｰカノン, 81,藤懸貴, 1.0, 78,   3,  16, 9, 21.5,⑬⑬⑬
10, 5,Ｉマルシゲスタチュｰ, 44,義英真, 2.4, 43,  -4, -14,16,386.9, ⑨⑧,10, 1,Ｏプレｰゴブレッサ, 35,浜中俊, 1.0, 46,  -8, -11,13, 86.3, ③⑤,,,,,,,,,,,,,10, 3,Ｌカリスマサンタイム, 76,岡田祥, 1.3, 76,   3,  13,12,117.1,⑪⑪⑫
11,12,Ｈイッツマイン, 45,北村友, 2.7, 43,*  2, -23, 5, 21.8, ②②,11, 9,Ｋイワヌガハナ, 46,川島信, 1.0, 47,* -5, -15,15,108.0, ⑦③,,,,,,,,,,,,,11, 1,Ｅメイショウシンシア, 83,武幸四, 1.3, 78,   2,  18, 6, 13.0,⑮⑮⑮
