14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,11,Ｊモズハナニカゼ, 51,浜中俊, 1.0, 51, -17,   6, 5, 11.8, ⑪⑨, 7, 7,Ｆナリタマクリス, 66,北村友, 1.1, 64,  -7,  10,11,185.2, ⑨⑩, 7, 8,Ｈアダムスピｰク, 73,ルメｰ, 0.6, 73,* 14, -14, 1,  2.0, ②②, 7, 6,Ｃサクラテイオｰ, 74,幸英明, 1.4, 71,   0,   6,10, 37.8, ⑫⑨
 8,14,Ｅフジノゴｰルド, 55,和田竜, 1.0, 53, -19,* 10, 4, 11.6, ⑯⑮, 8, 2,Ｂマッシヴヒｰロｰ, 77,池添謙, 1.1, 63,  -6,   9, 2,  4.1, ⑩⑨, 8, 9,Ｅホｰマンベルウィン, 74,北村友, 1.0, 72,  -5,* 11, 8, 73.7, ⑩⑩, 8,13,Ｊマｰメイドティアラ, 69,岩田康, 1.5, 69,   5,   0,13,141.6, ⑥⑦
 9, 4,Ｌカシマフェニックス, 51,北村友, 1.3, 49, -18,   6,11,125.4, ⑭⑭, 9, 6,Ｊメイショウムロト, 62,浜中俊, 1.2, 62,  -4,   5, 7, 25.6, ⑤⑤, 9, 3,Ｊリフトザウイングス, 64,横山典, 1.1, 66,  -1,   2, 7, 33.1, ⑧⑧, 9, 7,Ｎエクスクライム, 58,藤田伸, 1.6, 68,   3,   2,12, 74.7, ⑧⑧
10, 3,Ｐプレシャスベガ,  1,森一馬, 1.4, 47, -15,   1,14,196.5, ⑨⑩,10, 4,Ｈサチヒメ, 65,森一馬, 1.8, 56,  -6,   2,10,160.5, ⑧⑧,10, 4,Ｇパｰプルタイヨｰ, 73,幸英明, 1.2, 69,   1,  -1,10,287.8, ⑨⑨,10,10,Ｌテイエムオデッセイ, 64,国分恭, 1.6, 67,   1,   3,14,182.7, ⑪⑬
11,13,Ｉパｰプルパルピナ, 53,秋山真, 1.5, 47, -19,   6,16,253.5, ⑮⑯,11, 9,Ｉバンブｰバッジョ, 65,和田竜, 2.2, 53,  -5,  -3, 6, 22.4, ⑦⑥,,,,,,,,,,,,,11, 1,Ｈスナイプビッド, 71,和田竜, 1.6, 69,  -5,* 10, 4, 10.6, ⑮⑮
12, 7,Ｋテイケイマテリアル, 51,国分恭, 1.5, 48, -13,   0,10, 77.0, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,,12,15,Ｉハギノブシドウ, 70,福永祐, 1.7, 65,*  9,  -8, 5, 17.2, ③③
13,16,Ｃキタサンワイルド, 59,国分優, 1.8, 44, -14,  -4, 8, 32.8, ⑧⑦,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｅハドソンシチｰ, 73,浜中俊, 1.8, 66,   3,  -1, 7, 23.1, ⑨⑪
14, 2,Ｍメイショウハｰバｰ, 49,酒井学, 2.0, 43, -17,  -2,12,145.3, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｂスズカブリザｰド, 77,国分優, 1.9, 64,   8,  -8, 8, 27.5, ④⑤
15, 6,Ｏフェスティヴァｰロ, 40,藤田伸, 2.5, 40, -15,  -8,15,216.8, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｍトｰブプリンセス, 60,鮫島良, 2.0, 66,  -2,   3,15,504.4, ⑭⑭
16,12,Ｇコスモユピテル, 54,丹内祐, 2.5, 38, -13, -12, 9, 48.2, ⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,
単勝:460円 複勝:08=170円 01=170円 09=360円 枠連:660円,,,,,,,,,,,,"単勝:1,710円 複勝:05=430円 03=110円 10=570円 枠連:2,180円",,,,,,,,,,,,"単勝:540円 複勝:02=220円 06=200円 07=230円 枠連:1,700円",,,,,,,,,,,,"単勝:4,220円 複勝:08=910円 03=250円 14=790円 枠連:2,650円",,,,,,,,,,,
"馬連:950円 ワイド:01-08=460円 08-09=950円 01-09=1,130円",,,,,,,,,,,,"馬連:1,960円 ワイド:03-05=820円 05-10=4,520円 03-10=960円",,,,,,,,,,,,"馬連:1,500円 ワイド:02-06=470円 02-07=450円 06-07=440円",,,,,,,,,,,,"馬連:12,190円 ワイド:03-08=3,320円 08-14=9,310円 03-14=2,720円",,,,,,,,,,,
"馬単:2,460円 3連複:4,640円 3連単:20,700円",,,,,,,,,,,,"馬単:4,930円 3連複:10,830円 3連単:75,490円",,,,,,,,,,,,"馬単:3,070円 3連複:2,150円 3連単:13,640円",,,,,,,,,,,,"馬単:36,120円 3連複:78,050円 3連単:692,340円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
