14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 1月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2000m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,若駒ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 9,Ｏフミキュン, 35,国分恭, 1.9, 44, -14,  -1, 8, 28.0, ⑮⑭,13,15, オｰシャンブルグ,---,藤田伸, 2.0, 41, -31,*  9,13,121.1, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
14,13,Ｉバルサムホロウ, 52,四位洋, 2.7, 40, -15,  -6, 6, 21.6, ⑯⑯,14, 4, パｰプルセブン,---,小坂忠, 2.3, 36, -25,  -3,12, 86.4, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
15,10,Ｍラフェドフルｰル, 39,岡田祥, 2.9, 37, -10, -14,13,114.8, ⑭⑬,15,12, スナｰクパｰル,---,丹内祐, 3.0, 29, -22, -13,16,359.1, ⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Ｋアイアンミライ, 40,酒井学, 5.8, 12,  -9, -40,15,197.0, ⑪⑮,16, 6, ニホンピロハｰト,---,畑端省, 3.1, 29, -22, -13,15,268.3, ⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-3),,,,,,,,,,,
単勝:480円 複勝:05=140円 06=120円 08=170円 枠連:550円,,,,,,,,,,,,"単勝:1,540円 複勝:16=340円 14=160円 03=750円 枠連:1,600円",,,,,,,,,,,,"単勝:470円 複勝:04=210円 08=460円 05=250円 枠連:4,200円",,,,,,,,,,,,単勝:140円 複勝:08=100円 06=160円 09=190円 枠連:480円,,,,,,,,,,,
馬連:550円 ワイド:05-06=210円 05-08=430円 06-08=290円,,,,,,,,,,,,"馬連:2,890円 ワイド:14-16=890円 03-16=4,000円 03-14=1,800円",,,,,,,,,,,,"馬連:4,210円 ワイド:04-08=1,420円 04-05=680円 05-08=1,410円",,,,,,,,,,,,馬連:500円 ワイド:06-08=190円 08-09=220円 06-09=520円,,,,,,,,,,,
"馬単:1,380円 3連複:850円 3連単:4,680円",,,,,,,,,,,,"馬単:6,580円 3連複:21,600円 3連単:160,660円",,,,,,,,,,,,"馬単:6,800円 3連複:11,090円 3連単:57,440円",,,,,,,,,,,,"馬単:590円 3連複:750円 3連単:1,770円",,,,,,,,,,,
